,0,TF
MS00797|Sox17,0.08478593026272548,Sox17
UP00206|Hoxb7,0.08699802834515796,Hoxb7
MC00347|STAT4,0.08714660850994277,STAT4
MS00489|HOXB13,0.08731479992684683,HOXB13
MS00076|MEF2D,0.08912930896025681,MEF2D
MS00325|Jdp2,0.09121606919520467,Jdp2
MS00218|T,0.09295131619904314,T
MS00147|POU3F4,0.09384392013543427,POU3F4
MS00045|GATA5,0.09631871364846532,GATA5
MS00220|TEAD1,0.09693471276852983,TEAD1
MS00053|TCF7L1,0.09796092355249672,TCF7L1
MS00444|EMX2,0.10748913307724572,EMX2
UP00215|Vax1,0.1088177586380413,Vax1
UP00242|HOXC8,0.11011343447428072,HOXC8
MC00356|Tbx21,0.11025191224902518,Tbx21
MS00543|LMX1A,0.1152375390922799,LMX1A
MS00057|HIC2,0.11579223749938977,HIC2
MS00505|HOXC13,0.11801068130963244,HOXC13
MS00040|SPIC,0.11902457064633984,SPIC
M00220|SREBF1,0.12015458197723602,SREBF1
UP00071|Sox21,0.1201771581013044,Sox21
UP00012|Bbx,0.12051129134419003,Bbx
MC00357|Crx,0.1213549208191868,Crx
UP00138|Bsx,0.12586965735467098,Bsx
MS00060|HSF4,0.12771751384270302,HSF4
M01127|ISL1,0.1280834393382994,ISL1
MS00349|FOXC1,0.12838815967042572,FOXC1
UP00189|HOXA5,0.13081176312859513,HOXA5
MS00652|NR2E1,0.131308090749001,NR2E1
UP00130|LHX3,0.1333009117458397,LHX3
M00624|DBP,0.13460068020499813,DBP
M01132|SF1,0.13504707291251342,SF1
MS00461|GBX2,0.13597570387657182,GBX2
MC00511|Rxrg,0.13734630705112377,Rxrg
MC00104|Foxa1,0.13778238788480457,Foxa1
MS00271|NEUROD2,0.1429966953777052,NEUROD2
MS00436|DPRX,0.14563991426640477,DPRX
M00809|FOXH1,0.14644286203819293,FOXH1
MS00730|ZNF435,0.15087916413445004,ZNF435
MS00750|SOX15,0.15090489144242636,SOX15
MS00487|HOXA2,0.15539581069110253,HOXA2
UP00221|PHOX2A,0.15744662489000769,PHOX2A
MS00475|HMX3,0.15874369841994027,HMX3
MS00805|Sox3,0.15971573540178802,Sox3
UP00152|Arx,0.1622221491992218,Arx
MC00352|Nr5a2,0.16321374467384822,Nr5a2
MS00536|LHX2,0.16505411008429435,LHX2
MS00519|Hoxd13,0.16683294550229225,Hoxd13
MS00054|Tcf7,0.16771506912066964,Tcf7
MC00512|Esrrb,0.16839005095403795,Esrrb
MS00390|ZNF238,0.17035329032391805,ZNF238
UP00159|SIX2,0.1725449682626478,SIX2
MC00474|BCL11A,0.1751553977379558,BCL11A
UP00139|Nkx1-2,0.17883180395686304,Nkx1-2
MS00498|HOXC11,0.1814488078053519,HOXC11
MS00668|Nr2e1,0.1825214043291586,Nr2e1
M00964|NR1I2,0.183095270329983,NR1I2
MS00318|Hlf,0.1833822830922205,Hlf
MS00464|GSC,0.18616733860360826,GSC
M01112|RBPJ,0.1930092074365529,RBPJ
MS00476|HNF1A,0.19309806867889934,HNF1A
UP00113|HOXC4,0.19725187600631,HOXC4
MS00438|DUXA,0.20374577807496883,DUXA
M01728|NR2F6,0.20374949730106304,NR2F6
MS00403|ALX3,0.20695203413209348,ALX3
MS00515|Hoxa11,0.20863333356595318,Hoxa11
MS00316|Dbp,0.20997817216995202,Dbp
UP00121|Hoxd10,0.21084075152083367,Hoxd10
MA0031|FOXD1,0.2110106054719413,FOXD1
M01075|ZBTB16,0.21213399152484735,ZBTB16
MS00033|SPDEF,0.21770743660959774,SPDEF
MC00334|SIX5,0.21927425740347906,SIX5
MS00366|FOXJ2,0.22069490434085917,FOXJ2
MS00563|Meox2,0.22125749795788155,Meox2
MS00051|LEF1,0.22655790284708566,LEF1
UP00182|HOXA6,0.2285009457298905,HOXA6
M01081|ZNF628,0.23057630307127322,ZNF628
MC00231|MEF2C,0.23092584501790953,MEF2C
MC00378|POU5F1,0.23366725059162122,POU5F1
MC00389|CDX2,0.23436129658111626,CDX2
MC00396|Nr3c1,0.23697329242877901,Nr3c1
UP00259|HOXB6,0.23794295969419788,HOXB6
MC00326|Gata3,0.23866508211827858,Gata3
MS00657|NR2F1,0.24307281203061218,NR2F1
MC00321|JUN,0.24556832542098414,JUN
MS00619|Uncx,0.25085927241570677,Uncx
MS00585|OTX2,0.2517574069549059,OTX2
UP00244|TLX2,0.2539105191456503,TLX2
MS00126|PAX7,0.2563966163393476,PAX7
M01450|Obox1,0.2579862923355539,Obox1
MS00490|ZSCAN4,0.25995309865322125,ZSCAN4
M01306|ZNF217,0.26046111132841354,ZNF217
MS00169|RFX5,0.2611622726829528,RFX5
MS00555|MIXL1,0.26123404498372105,MIXL1
UP00238|Nkx6-3,0.26449638106414597,Nkx6-3
MS00393|Foxg1,0.26470965764306675,Foxg1
MS00269|MYF6,0.26547003026935434,MYF6
UP00137|Hoxb3,0.2709025519620113,Hoxb3
M00632|GATA4,0.27400951311546057,GATA4
MS00486|HOXA1,0.274119633298584,HOXA1
MS00606|RAX,0.2751936671685774,RAX
MC00456|JUND,0.27590062581905667,JUND
MS00551|MEOX1,0.28006485316078494,MEOX1
MS00575|NKX6-1,0.2933149111170522,NKX6-1
UP00023|Sox30,0.29343998493997747,Sox30
MS00609|RHOXF1,0.2941730672756039,RHOXF1
MS00481|HOXA10,0.3012739291084164,HOXA10
MS00473|HMX1,0.30139971216034556,HMX1
MS00541|LHX9,0.3019339923884668,LHX9
MS00599|PRRX1,0.30574341865010024,PRRX1
UP00055|HBP1,0.30786797847642344,HBP1
MS00407|Alx1,0.3084157492381277,Alx1
MC00388|Tal1,0.3107742228766159,Tal1
MS00756|E2F7,0.31598047463133266,E2F7
UP00388|SIX6,0.3166713294687529,SIX6
M00495|BACH1,0.31805132453602036,BACH1
MS00573|NKX3-2,0.32047558391435815,NKX3-2
MC00453|STAT5A,0.3281467780968738,STAT5A
UP00168|Hoxd8,0.33086118347284554,Hoxd8
MS00114|NFIB,0.3320303633948732,NFIB
MC00452|STAT5B,0.33227345451912405,STAT5B
MS00408|Alx4,0.3378228224965167,Alx4
MC00358|Ebf1,0.3396192413717315,Ebf1
MC00178|Nkx2-5,0.3407948196356873,Nkx2-5
M00465|POU6F1,0.3446258129436025,POU6F1
MS00604|Prrx2,0.3467826049818952,Prrx2
MS00155|POU6F2,0.35542920589175564,POU6F2
MS00621|VAX2,0.3565560965244471,VAX2
MS00276|OLIG1,0.35747321834489504,OLIG1
MS00243|Ascl2,0.35799248337856093,Ascl2
MS00437|DRGX,0.35837425479925505,DRGX
MS00811|RARB,0.3600710058474461,RARB
M00433|Hmx3,0.36126859683092594,Hmx3
MS00620|VAX1,0.36217601507073277,VAX1
MC00250|Nkx3-1,0.36428313138207963,Nkx3-1
MS00261|ID4,0.36746882534248504,ID4
MS00086|Meis2,0.36912194790226915,Meis2
UP00129|Pou3f1,0.3707439473077464,Pou3f1
MC00211|NFATC1,0.37186303969918777,NFATC1
MC00455|Cdx2,0.3740001020663405,Cdx2
M00640|HOXA4,0.3747045280434491,HOXA4
MC00117|GATA6,0.37685434642966015,GATA6
MS00581|Nkx6-1,0.379607439659019,Nkx6-1
MS00151|POU4F3,0.38016922313492435,POU4F3
MS00634|CUX2,0.3803517039491065,CUX2
MS00313|Creb5,0.3818660122140912,Creb5
UP00260|Hoxc6,0.38789842114655504,Hoxc6
UP00064|Sox18,0.3895156031762566,Sox18
MS00617|UNCX,0.3937204001808817,UNCX
MS00459|GBX1,0.3954273310642025,GBX1
MS00501|Zfp652,0.40029989512613623,Zfp652
MC00311|FOXA1,0.40421626132771366,FOXA1
M01650|NR2E3,0.4082833331330784,NR2E3
M00678|ETV7,0.4093067725228354,ETV7
MC00205|Stat5a,0.4161642773535079,Stat5a
MS00425|CDX1,0.41785053755588397,CDX1
MC00371|JUNB,0.42720991483856985,JUNB
MS00558|MSX1,0.4316299690712483,MSX1
UP00161|Hmbox1,0.4316355580649288,Hmbox1
UP00175|Lhx9,0.43385707799750994,Lhx9
MS00339|TEF,0.4404149641025208,TEF
UP00019|ZBTB12,0.44549424093502843,ZBTB12
MS00557|MNX1,0.4458531680492911,MNX1
MS00577|NKX6-2,0.45520949595231486,NKX6-2
MS00528|ISL2,0.4574954261172999,ISL2
UP00195|SIX3,0.4695608027045848,SIX3
M01004|IKZF2,0.4822980957793681,IKZF2
MS00479|ZNF784,0.4857934874532637,ZNF784
MS00277|OLIG2,0.49053940964453946,OLIG2
M01326|GSX2,0.49661628742733777,GSX2
MS00561|MSX2,0.5096033142816017,MSX2
MS00458|En2,0.5122886940280069,En2
MS00627|VSX2,0.5166194744446426,VSX2
MS00452|ESX1,0.5170127932414914,ESX1
MS00222|TEAD3,0.5207268752653148,TEAD3
MS00516|Hoxa2,0.5221902991844851,Hoxa2
UP00261|LHX4,0.5237447486566749,LHX4
MS00531|ISX,0.5290386449314306,ISX
MS00597|PROP1,0.529789659535333,PROP1
MS00467|Gbx1,0.5300808745948276,Gbx1
MS00595|PITX1,0.5302745089748206,PITX1
MS00440|Dlx2,0.532404562337593,Dlx2
MS00439|Dlx1,0.5371617460258888,Dlx1
MS00455|EVX2,0.5374487813871778,EVX2
MS00717|Tp53,0.5576058572106948,Tp53
MS00669|Nr2f6,0.5608858181522489,Nr2f6
MS00190|SCRT2,0.5632183928451164,SCRT2
MC00276|EOMES,0.5762082651682017,EOMES
MC00465|NR3C1,0.5791135881883585,NR3C1
MS00419|BSX,0.5853022103255678,BSX
M01483|Dbx1,0.5854230942432732,Dbx1
MC00351|FOSL1,0.5939642136824278,FOSL1
MS00690|ONECUT3,0.5995621910437531,ONECUT3
MS00429|DLX3,0.6000946394781128,DLX3
MS00149|POU4F2,0.6064934504626274,POU4F2
MC00280|NR4A1,0.6080511522627099,NR4A1
MC00329|Srf,0.6123777698949204,Srf
MS00628|Vsx1,0.6187480754598393,Vsx1
M01268|NR1H4,0.6265270946215897,NR1H4
MS00450|EN2,0.6315737720487651,EN2
MS00191|TBR1,0.6380628573753613,TBR1
MS00665|NR4A2,0.6392002483528693,NR4A2
MC00165|Pdx1,0.6434855953642098,Pdx1
MS00197|TBX1,0.6496099485266298,TBX1
MS00280|OLIG3,0.651539464220837,OLIG3
UP00252|HOXC5,0.6534372011954442,HOXC5
MS00245|BHLHA15,0.6560894804842285,BHLHA15
MS00084|MEIS3,0.6566955065922317,MEIS3
MS00613|SHOX2,0.6668588585989159,SHOX2
M01262|TBX18,0.66857981087582,TBX18
MS00807|MSC,0.673125659689756,MSC
MS00593|PHOX2B,0.6734597331181148,PHOX2B
MS00432|DLX6,0.6756608685168151,DLX6
MS00492|HOXB3,0.6763774754751339,HOXB3
MS00106|NFAT5,0.6771438797242042,NFAT5
MS00667|ONECUT1,0.6786051614844971,ONECUT1
MS00083|MEIS2,0.6819024419804085,MEIS2
MC00293|Gfi1b,0.6845587853965831,Gfi1b
MC00260|Pax3,0.6884309426440802,Pax3
MS00474|HMX2,0.68928346166906,HMX2
UP00197|HOXC9,0.691775913615899,HOXC9
MS00468|ZNF75A,0.6974431549507094,ZNF75A
MC00217|FOXA2,0.6979041123101526,FOXA2
MC00416|Rbfox2,0.7004868724779052,Rbfox2
MS00148|POU4F1,0.7020313028274525,POU4F1
MS00454|EVX1,0.7180980207440633,EVX1
MS00405|ARX,0.7252863495292589,ARX
MS00731|ZNF713,0.7311180985818097,ZNF713
MS00521|Hoxd3,0.7416029649436056,Hoxd3
MC00303|Sox2,0.7454609663186131,Sox2
MS00424|CART1,0.7466733423689217,CART1
MC00204|Stat5b,0.7583747848875371,Stat5b
MC00157|Tead4,0.7653749606543723,Tead4
MS00192|TBX15,0.766909663153513,TBX15
UP00170|Isl2,0.768505262982518,Isl2
MC00354|Neurod1,0.7723930468387898,Neurod1
MC00226|Nanog,0.7742123738548917,Nanog
MS00513|HOXD8,0.7762383413992027,HOXD8
MS00250|BHLHE23,0.7824773482376501,BHLHE23
MS00469|Gbx2,0.7825814608122779,Gbx2
MS00615|Shox2,0.7906538895411479,Shox2
MC00348|STAT1,0.792046563013354,STAT1
MS00201|SNAI2,0.7952567817699762,SNAI2
MS00412|ZNF410,0.7986429090316681,ZNF410
MC00305|Sox6,0.8010686226124117,Sox6
M01230|ZNF333,0.804225094733025,ZNF333
MS00614|SHOX,0.8045247269656377,SHOX
UP00218|Dbx2,0.8073529074129668,Dbx2
MS00679|ONECUT2,0.8174598646222898,ONECUT2
MS00430|DLX4,0.8191062943091043,DLX4
MC00186|Nr1d2,0.8274872756291198,Nr1d2
MS00272|NEUROG2,0.8350593112376276,NEUROG2
MS00605|RAXL1,0.8607454619424232,RAXL1
MC00341|Olig2,0.8641094492903165,Olig2
M01282|PPARA,0.8699258620554147,PPARA
MS00291|Tcf21,0.8791276865995064,Tcf21
MS00202|TBX20,0.886326259456912,TBX20
MS00470|HESX1,0.8952672628762771,HESX1
MS00431|DLX5,0.8975544570981097,DLX5
MC00119|GATA3,0.9092123695494438,GATA3
UP00033|Zfp410,0.9186505458243329,Zfp410
UP00151|BARX2,0.920428053904425,BARX2
MC00265|Tcf3,0.9219130802466964,Tcf3
UP00237|Otp,0.9276362191967756,Otp
MS00596|PITX3,0.9279630300968663,PITX3
MS00336|NFE2,0.929972174391015,NFE2
UP00391|HOXA3,0.9312856947118029,HOXA3
MA0152|NFATC2,0.9316611114307469,NFATC2
MC00126|TCF12,0.9326154105031135,TCF12
MS00564|Msx3,0.939218657275562,Msx3
M01295|ATF5,0.9411083297355526,ATF5
M01722|RORB,0.9431517845027699,RORB
MS00491|HOXB2,0.9508441445064716,HOXB2
MS00603|PRRX2,0.9536703729058036,PRRX2
MA0125|Nobox,0.9618384847338921,Nobox
MS00287|TFAP4,0.9631859533219725,TFAP4
MC00105|Foxa2,0.9683058710085525,Foxa2
M01195|TBX22,0.9710699315186799,TBX22
MC00195|Myf5,0.9713615688392054,Myf5
MS00254|FIGLA,0.9716852620694352,FIGLA
MC00309|TCF7L2,0.9742581889928914,TCF7L2
UP00166|BARHL1,0.977891712565821,BARHL1
MA0103|ZEB1,0.9867748394870733,ZEB1
M00712|MYOG,0.988195023969754,MYOG
MC00471|Rxra,0.99664875527445,Rxra
MS00096|TGIF2,0.9993993043940129,TGIF2
MS00094|TGIF1,0.9996604746322031,TGIF1
MS00095|TGIF2LX,0.9998867779002999,TGIF2LX
MC00369|Myod1,0.9999265881344115,Myod1
MS00093|Pknox2,0.9999607953544153,Pknox2
MS00092|PKNOX2,0.9999770180358147,PKNOX2
MS00091|PKNOX1,0.9999925028403199,PKNOX1
