Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
RUNX2,MS00173;3.12E-10,MS00174;9.73E-09,MC00215;9.18E-02,,
Ovol2,M01104;6.87E-10,,,,
Egr3,MS00789;1.00E-09,,,,
MYBL1,MS00100;1.90E-09,MS00097;2.84E-07,,,
HINFP,MA0131;2.06E-09,,,,
EGR3,MS00567;3.70E-09,,,,
CENPB,MS00534;6.07E-09,,,,
E2f3,MC00510;1.03E-08,,,,
EGR4,MS00678;1.39E-08,,,,
HES1,M01009;1.53E-08,,,,
E2F1,MS00815;1.56E-08,MC00182;1.14E-07,,,
ZBTB7A,MS00301;1.92E-08,MC00376;5.04E-07,M01100;3.49E-05,,
RFX3,MC00203;2.39E-08,,,,
ERF,MS00846;3.08E-08,,,,
ZFP42,M01744;3.67E-08,,,,
WT1,M01118;3.98E-08,,,,
GLIS2,MS00035;5.06E-08,,,,
E2F3,UP00003;5.37E-08,MS00734;1.07E-05,,,
MAFK,MS00331;5.59E-08,MS00330;2.01E-01,,,
ETV3,MC00160;6.35E-08,,,,
TEAD2,M00695;6.77E-08,,,,
E2f4,MC00158;7.52E-08,,,,
PPARG::RXRA,M00518;7.53E-08,M00515;1.20E-01,,,
YY2,MS00268;8.79E-08,,,,
BRCA1,MC00299;9.67E-08,,,,
Zscan10,M01742;1.07E-07,,,,
KLF12,M00468;1.13E-07,,,,
Tcfap2c,UP00087;1.30E-07,,,,
ELK4,MC00207;1.32E-07,,,,
Creb3l2,MS00311;1.57E-07,,,,
Tcfap2a,MS00240;1.60E-07,MS00239;4.39E-07,MS00241;7.99E-07,,
KLF16,MS00146;1.69E-07,,,,
E2F4,MC00523;1.70E-07,,,,
E2F2,UP00001;2.11E-07,MS00712;1.11E-01,,,
PAX3,M00327;2.20E-07,MS00119;1.51E-01,,,
PAX5,M00143;2.59E-07,MA0014;1.49E-06,MC00332;1.84E-05,,
ZIC1,M00448;2.59E-07,UP00102;3.31E-06,MS00334;5.37E-06,,
Zfp281,UP00021;2.61E-07,,,,
EGR2,MC00319;2.72E-07,,,,
Zbtb3,UP00031;2.88E-07,,,,
MYC,MC00394;3.08E-07,,,,
VDR,M00961;3.20E-07,MC00412;3.52E-04,M00444;2.01E-03,,
Klf7,UP00093;3.75E-07,,,,
PAX4,M00373;3.93E-07,M00378;1.70E-04,MS00121;3.57E-01,,
TFCP2L1,M01592;4.81E-07,,,,
ZIC3,MS00346;4.85E-07,,,,
Tbx3,MC00221;5.31E-07,,,,
ZBTB7C,MS00323;6.02E-07,,,,
E2F6,MC00254;6.21E-07,M01252;7.85E-03,,,
ZNF219,M01122;6.43E-07,,,,
Zfx,MC00328;6.53E-07,,,,
TFE3,MS00288;6.58E-07,,,,
Osr1,UP00027;7.01E-07,,,,
SREBF2,M01177;7.21E-07,MS00281;2.19E-05,,,
Rfx1,MC00144;7.32E-07,,,,
Zfp161,UP00065;7.42E-07,,,,
Tcfap2e,UP00028;9.00E-07,,,,
SP2,M01783;9.07E-07,,,,
Zfp128,UP00094;9.19E-07,,,,
