,coefficients,cell_line,cell_type,tissue
40722,-1.4799437463781215,,,Fetal Skin Biceps Right
63925,0.8071844211014538,A549,Epithelium,
44934,0.6959262641704737,,Epithelium,Amnion
45025,0.6918037916656287,LHCN-M2,Myoblast,Skeletal Muscle
45054,0.45097203743284764,PANC-1,Epithelium,Pancreas
40697,0.3925118839052732,WI-38,Fibroblast,Embryonic Lung
44974,0.3357920178490032,,Epithelium,Mammary Gland
64337,0.270338917298572,K562,Erythroblast,
40756,-0.2574709742387525,,Fibroblast,Fetal Skin Scalp
45053,-0.0453287175160391,PANC-1,Epithelium,Pancreas
