,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
71281|WDR5,0.000000000000000000000000000000000000000054682319510966953433197240875201049721088816997053259741225074820217643217153204661197832430763746558069633164417933161463730461667913395527848090482876695864405262278427491836996361323871017657184741,Homo sapiens,WDR5,cr,BGC823,human gastric cancer cells,None,1,WDR5
72342|MYC,0.0000000000000000000000032702146727147727781884216624338738406963254653074542983055059640648261240729575806708760394833022631847558620672168551195110264526522068529060368251065740794946018766353858270721377520844223443798385,Homo sapiens,MYC,tf,U87,Glioblastoma cell,None,1,MYC
58334|MED1,2.885247596395857e-12,Homo sapiens,MED1,predicted transcription factor,LNCaP-abl,Epithelium,Prostate,1,MED1
45635|KAT2B,9.240441745106409e-12,Homo sapiens,KAT2B,predicted chromatin regulator,GM12878,B Lymphocyte,Blood,1,KAT2B
70965|BRD4,6.165301602578666e-11,Homo sapiens,BRD4,cr,Raji,B Lymphocyte,Blood,1,BRD4
69216|BIRA,7.457134909572005e-11,Homo sapiens,BIRA,not sure,BJAB,GCB DLBCL cells,None,0,BIRA
49267|BMI1,3.622848132600609e-10,Homo sapiens,BMI1,cr,293T-Rex,None,None,1,BMI1
71925|GTF2B,4.714569290520387e-10,Homo sapiens,GTF2B,tf,K562,None,Haematopoietic and lymphoid,1,GTF2B
54676|YAP1,9.481244678255507e-10,Homo sapiens,YAP1,other,NCI-H2052,Epithelium,Lung,1,YAP1
62958|NFE2L2,1.872826005389072e-09,Homo sapiens,NFE2L2,tf,IMR90,Fibroblast,Lung,1,NFE2L2
42788|TAL1,2.1238583669536126e-09,Homo sapiens,TAL1,tf,LoVo,None,Colon,0,TAL1
75043|E2F1,3.3458702475286373e-09,Homo sapiens,E2F1,tf,MDA-MB-231,None,Breast,1,E2F1
68228|NR3C1,3.565038098063411e-09,Homo sapiens,NR3C1,tf,BEAS-2B,Epithelium,Lung,1,NR3C1
45864|MAFK,4.3007106764747505e-09,Homo sapiens,MAFK,tf,IMR90,Fibroblast,Lung,1,MAFK
1991|FOS,4.467003933417146e-09,Homo sapiens,FOS,tf,K562,Erythroblast,Bone Marrow,1,FOS
69457|TP53,5.097460065162096e-09,Homo sapiens,TP53,predicted transcription factor,None,None,Foreskin,1,TP53
47577|SMAD3,5.575304273808257e-09,Homo sapiens,SMAD3,tf,NCI-H441,Epithelium,Lung,1,SMAD3
46362|TCF12,5.616167420008367e-09,Homo sapiens,TCF12,tf,SK-N-SH,Neuroblastoma cell,Brain,1,TCF12
50112|MAFB,6.643378291926183e-09,Homo sapiens,MAFB,tf,None,Keratinocyte,Foreskin,1,MAFB
41411|ERCC3,7.854491168579614e-09,Homo sapiens,ERCC3,predicted chromatin regulator,HT1080,None,Connective Tissue,1,ERCC3
43195|FOXM1,1.0313674192463651e-08,Homo sapiens,FOXM1,tf,HeLa,Epithelium,Cervix,1,FOXM1
41412|ERCC2,1.0564199959262055e-08,Homo sapiens,ERCC2,tf,HT1080,None,Connective Tissue,1,ERCC2
36318|RELA,1.3993692649094669e-08,Homo sapiens,RELA,tf,GM15510,Lymphoblastoid,Blood,1,RELA
50380|EZH2,1.4848685614410329e-08,Homo sapiens,EZH2,cr,None,Proerythroblast,Fetal Liver,1,EZH2
