Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
Spdef,UP00038;1.82E-07,,,,
E2F4,MC00523;2.74E-07,,,,
GLIS1,MS00024;3.77E-07,,,,
Ikzf3,MC00337;5.92E-07,,,,
ATF4,M00514;6.74E-07,MS00293;3.09E-02,,,
GLIS2,MS00035;8.72E-07,,,,
Zfx,MC00328;9.22E-07,,,,
PAX1,MS00117;9.90E-07,M00326;3.46E-04,M00808;2.28E-03,,
ZNF306,MS00401;1.21E-06,,,,
MTF1,M01243;1.58E-06,MS00725;1.42E-04,,,
E2F1::TFDP2,M00737;1.77E-06,,,,
TCF3,M00222;1.81E-06,UP00058;5.18E-01,,,
TBX21,MS00207;1.91E-06,MS00208;7.53E-03,,,
PAX2,MS00118;1.99E-06,MA0067;6.71E-05,M00486;5.12E-03,,
TBX2,MS00211;2.17E-06,MS00213;1.53E-02,,,
EHF,MS00778;2.44E-06,,,,
PAX5,M00143;2.82E-06,MC00332;4.31E-05,MA0014;8.73E-05,,
Zscan10,M01742;3.28E-06,,,,
Stat3,MC00140;3.31E-06,,,,
PAX8,M00717;3.41E-06,,,,
GLI3,M01596;3.64E-06,,,,
ZIC2,M00449;3.70E-06,UP00057;6.20E-05,,,
GFI1,M01067;3.81E-06,,,,
E2f4,MC00158;3.94E-06,,,,
Mafb,MS00335;4.18E-06,MS00333;2.84E-03,,,
ZFP42,M01744;4.51E-06,,,,
Foxk1,MS00398;4.52E-06,MS00399;9.95E-01,,,
Tfcp2,MC00518;4.65E-06,,,,
Tcfcp2l1,MA0145;4.69E-06,,,,
Elf4,UP00413;5.03E-06,,,,
Pax5,MC00257;5.68E-06,,,,
ETV3,MC00160;7.40E-06,,,,
ETV5,MS00019;7.43E-06,,,,
E2F1::TFDP1,M00736;8.37E-06,,,,
PAX9,MS00128;8.72E-06,,,,
AHR,M00139;8.76E-06,,,,
E2F1,MC00182;8.77E-06,MS00815;5.32E-05,,,
ZBTB49,MS00727;9.01E-06,,,,
FOXO4,MS00383;1.04E-05,MS00381;8.10E-01,,,
GMEB2,MS00183;1.09E-05,MS00182;1.34E-04,MS00721;1.52E-02,,
Glis2,UP00024;1.09E-05,,,,
GCM1,MS00048;1.16E-05,MS00047;2.36E-04,,,
KLF15,M01714;1.16E-05,,,,
ZBTB33,MC00418;1.41E-05,M01119;2.84E-03,,,
BRCA1,MC00299;1.49E-05,,,,
ETS1,MS00851;1.59E-05,MC00278;1.76E-03,,,
PRDM4,MS00726;1.60E-05,,,,
EGR3,MS00567;1.67E-05,,,,
Etv5,UP00412;1.69E-05,,,,
ZNF143,MC00391;1.69E-05,,,,
ELF3,MS00812;1.79E-05,,,,
GLI2,MS00843;1.83E-05,,,,
GLI1,M01037;1.86E-05,,,,
Nfic,MC00475;1.88E-05,,,,
ZBTB6,M00085;1.92E-05,,,,
Zfp740,MS00512;1.95E-05,,,,
PLAGL1,UP00088;2.06E-05,,,,
Tcfap2a,MS00239;2.06E-05,MS00241;6.42E-05,MS00240;6.57E-04,,
TEAD2,M00695;2.11E-05,,,,
FOXN1,M00332;2.15E-05,,,,
E2F3,UP00003;2.34E-05,MS00734;1.00E-03,,,
ZIC1,MS00334;2.36E-05,UP00102;1.31E-04,M00448;5.71E-04,,
ETV1,MC00427;2.38E-05,,,,
Trp53,MC00377;2.46E-05,,,,
HINFP1,MS00090;2.50E-05,MS00079;1.79E-04,,,
RUNX2,MS00173;2.61E-05,MS00174;9.50E-04,MC00215;1.13E-01,,
ZNF219,M01122;2.65E-05,,,,
Hnf4a,MC00344;2.65E-05,,,,
Gmeb1,UP00084;2.66E-05,,,,
Osr2,UP00052;2.83E-05,,,,
ZIC4,MS00357;2.96E-05,,,,
Rara,MC00252;2.97E-05,MS00698;1.93E-02,,,
ELF2,UP00404;3.13E-05,,,,
PAX4,M00373;3.38E-05,M00378;9.88E-04,MS00121;7.87E-02,,
GLIS3,MS00046;3.40E-05,,,,
HMGN1,MC00502;3.43E-05,,,,
Fli1,MC00129;3.45E-05,,,,
ELF4,MS00834;3.60E-05,,,,
Myb,MC00408;3.65E-05,,,,
Creb3l2,MS00311;3.82E-05,,,,
TFAP2A,MS00227;3.86E-05,MC00530;3.75E-03,,,
EGR4,MS00678;3.92E-05,,,,
NKX2-3,MS00566;3.95E-05,UP00190;4.10E-02,,,
HES7,MS00256;4.01E-05,,,,
NRL,MS00338;4.13E-05,,,,
Zic3,MS00523;4.13E-05,UP00006;6.08E-05,,,
E2F2,UP00001;4.24E-05,MS00712;3.25E-03,,,
Egr3,MS00789;4.30E-05,,,,
FOXH1,MC00304;4.31E-05,M00809;8.22E-01,,,
ELF1,MC00457;4.33E-05,,,,
SMAD4,M00733;4.34E-05,MC00392;4.05E-04,,,
HNF4A,MC00432;4.43E-05,UP00066;9.62E-03,,,
E2f3,MC00510;4.53E-05,,,,
EPAS1,MC00224;4.95E-05,,,,
KLF12,M00468;5.05E-05,,,,
BHLHB2,MS00247;5.16E-05,,,,
ZBTB7A,MS00301;5.28E-05,M01100;1.94E-04,MC00376;2.20E-04,,
NR1H3,M00647;5.42E-05,,,,
EGR2,MC00319;5.48E-05,,,,
ELK4,MC00207;5.55E-05,,,,
Egr2,MC00430;5.84E-05,,,,
ZIC3,MS00346;6.08E-05,,,,
NR0B1,M01248;6.35E-05,,,,
RXRG,MS00694;6.49E-05,,,,
CTCF,MC00128;6.64E-05,,,,
Zfp281,UP00021;6.84E-05,,,,
SCRT1,MS00179;6.93E-05,,,,
Ovol2,M01104;6.94E-05,,,,
TFCP2L1,M01592;7.73E-05,,,,
MYBL2,MS00103;7.78E-05,MS00102;3.24E-04,MS00105;2.05E-02,,
NFE2L2,MC00339;7.83E-05,,,,
NFIX,MS00115;7.96E-05,MS00822;7.40E-03,,,
ARNT,MC00262;8.06E-05,,,,
GABPB1,M00341;8.23E-05,,,,
SCRT2,MS00190;8.28E-05,,,,
BACH2,M00490;8.38E-05,,,,
HINFP,MA0131;8.50E-05,,,,
Sfpi1,UP00085;8.54E-05,MC00395;3.51E-02,MC00180;3.51E-02,,
MGA,MS00188;8.90E-05,MS00186;8.56E-02,,,
DEAF1,M01002;9.12E-05,,,,
AR,MC00468;9.26E-05,,,,
MAZ,M00649;9.53E-05,,,,
GTF2IRD1,M01241;9.88E-05,M01229;1.08E-02,,,
E4F1,M00694;9.88E-05,,,,
ZBTB7B,M01175;1.04E-04,MS00312;2.89E-04,,,
Bhlhb2,MS00252;1.07E-04,,,,
ATF2,M00179;1.10E-04,,,,
ZNF740,MS00445;1.14E-04,,,,
Zfp410,UP00033;1.14E-04,,,,
Elf5,MS00022;1.15E-04,,,,
Ets1,MC00385;1.16E-04,,,,
Max,MC00461;1.19E-04,,,,
EGR1,MC00320;1.24E-04,,,,
ESR2,MC00333;1.25E-04,,,,
Ctcf,MC00187;1.25E-04,,,,
YY1,MC00342;1.28E-04,,,,
ETV4,MS00018;1.31E-04,,,,
Tbx3,MC00221;1.36E-04,,,,
FOXK1,MS00371;1.38E-04,,,,
HEY1,MS00258;1.39E-04,,,,
Hoxb4,MC00136;1.41E-04,UP00144;7.74E-01,,,
ELK3,MS00844;1.42E-04,,,,
Gm5454,UP00423;1.44E-04,,,,
SP3,M00665;1.50E-04,MS00223;7.41E-04,,,
PGR,MC00170;1.51E-04,,,,
