,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
54676|YAP1,3.173115688742645e-10,Homo sapiens,YAP1,other,NCI-H2052,Epithelium,Lung,1
8099|MYC,7.639590532566152e-10,Homo sapiens,MYC,tf,HeLa,Epithelium,Cervix,1
75043|E2F1,1.1153014964807619e-09,Homo sapiens,E2F1,tf,MDA-MB-231,None,Breast,1
45864|MAFK,1.4581060928979146e-09,Homo sapiens,MAFK,tf,IMR90,Fibroblast,Lung,1
1991|FOS,1.4918602943383749e-09,Homo sapiens,FOS,tf,K562,Erythroblast,Bone Marrow,1
47577|SMAD3,1.8599337440706897e-09,Homo sapiens,SMAD3,tf,NCI-H441,Epithelium,Lung,1
46362|TCF12,1.874087693621373e-09,Homo sapiens,TCF12,tf,SK-N-SH,Neuroblastoma cell,Brain,1
68222|NR3C1,2.006281935602918e-09,Homo sapiens,NR3C1,tf,BEAS-2B,Epithelium,Lung,1
41411|ERCC3,2.651701635273154e-09,Homo sapiens,ERCC3,predicted chromatin regulator,HT1080,None,Connective Tissue,1
62958|NFE2L2,3.712140423675121e-09,Homo sapiens,NFE2L2,tf,IMR90,Fibroblast,Lung,1
68228|NR3C1,5.335606887149518e-09,Homo sapiens,NR3C1,tf,BEAS-2B,Epithelium,Lung,1
46349|MAX,5.495099494603395e-09,Homo sapiens,MAX,tf,SK-N-SH,Neuroblastoma cell,Brain,1
33197|MAX,6.748711294414698e-09,Homo sapiens,MAX,tf,U87,None,Brain,1
46001|MYC,7.475645696460692e-09,Homo sapiens,MYC,tf,MCF-10A,Epithelium,Breast,1
55895|T,7.809971989498078e-09,Homo sapiens,T,tf,None,Fibroblast,None,1
68227|NR3C1,9.366184022090907e-09,Homo sapiens,NR3C1,tf,BEAS-2B,Epithelium,Lung,1
57808|BRD4,1.0365095284172686e-08,Homo sapiens,BRD4,cr,LX2,Hepatic Stellate Cell,None,1
36362|GTF2B,1.0902596516486415e-08,Homo sapiens,GTF2B,tf,IMR90,Fibroblast,Lung,1
64946|BHLHE40,1.259170257488173e-08,Homo sapiens,BHLHE40,predicted transcription factor,IMR90,Fibroblast,Lung,1
40217|BRD4,1.352889811633542e-08,Homo sapiens,BRD4,cr,U87,None,Brain,1
64298|NFE2L2,1.3626257225738865e-08,Homo sapiens,NFE2L2,tf,HeLa-S3,Epithelium,Cervix,1
68230|NR3C1,1.5948527903383267e-08,Homo sapiens,NR3C1,tf,BEAS-2B,Epithelium,Lung,1
68223|NR3C1,1.5948527903383267e-08,Homo sapiens,NR3C1,tf,BEAS-2B,Epithelium,Lung,1
56558|SMC1A,1.6527557207612532e-08,Homo sapiens,SMC1A,predicted chromatin regulator,HuCCT1,None,None,1
49484|MED1,2.074629976508129e-08,Homo sapiens,MED1,predicted transcription factor,None,Myoblast,None,1
67317|SOX2,2.4063867575695942e-08,Homo sapiens,SOX2,tf,None,Neuronal Progenitor cell,None,1
68711|BRD4,2.600131782965418e-08,Homo sapiens,BRD4,cr,IMR90,None,None,1
39560|MYC,2.6931171488471e-08,Homo sapiens,MYC,tf,BJ,Fibroblast,Skin,1
46356|RXRA,2.7504467619377718e-08,Homo sapiens,RXRA,tf,SK-N-SH,Neuroblastoma cell,Brain,1
73526|BRD4,2.7698181289732727e-08,Homo sapiens,BRD4,cr,SUM159PT,mammary carcinoma cell line,Breast,1
76415|PMEL,2.7893216823933462e-08,Homo sapiens,PMEL,other,None,None,None,1
64945|BHLHE40,2.950214538138755e-08,Homo sapiens,BHLHE40,predicted transcription factor,IMR90,Fibroblast,Lung,1
2748|CREBBP,3.3927824399889053e-08,Homo sapiens,CREBBP,cr,T98G,None,Brain,1
67806|BRD4,4.009128482149628e-08,Homo sapiens,BRD4,cr,HCC1395,None,None,1
75042|TP53,4.386909112314229e-08,Homo sapiens,TP53,predicted transcription factor,MDA-MB-231,None,Breast,1
33198|MED1,5.036256306113301e-08,Homo sapiens,MED1,predicted transcription factor,U87,None,Brain,1
45880|JUND,5.071055323759279e-08,Homo sapiens,JUND,tf,K562,Erythroblast,Bone Marrow,1
52092|TP53,5.545172631078359e-08,Homo sapiens,TP53,predicted transcription factor,IMR90,Fibroblast,Lung,1
45999|FOS,6.273025878074922e-08,Homo sapiens,FOS,tf,MCF-10A,Epithelium,Breast,1
73525|BRD4,6.762450791723285e-08,Homo sapiens,BRD4,cr,SUM159PT,mammary carcinoma cell line,Breast,1
33720|MYC,6.808732181127018e-08,Homo sapiens,MYC,tf,BJ,Fibroblast,Skin,1
68229|NR3C1,7.239286322880538e-08,Homo sapiens,NR3C1,tf,BEAS-2B,Epithelium,Lung,1
41412|ERCC2,9.365740590977273e-08,Homo sapiens,ERCC2,tf,HT1080,None,Connective Tissue,1
68712|BRD4,1.0860751275805149e-07,Homo sapiens,BRD4,cr,IMR90,None,None,1
42788|TAL1,1.1929524741922194e-07,Homo sapiens,TAL1,tf,LoVo,None,Colon,0
50112|MAFB,1.209026768717268e-07,Homo sapiens,MAFB,tf,None,Keratinocyte,Foreskin,1
70569|MYC,1.2839874050463777e-07,Homo sapiens,MYC,tf,U2OS,None,Bone,1
56427|MYC,1.4002396720470568e-07,Homo sapiens,MYC,tf,None,Epithelium,Breast,1
59542|MYC,1.4002396720470568e-07,Homo sapiens,MYC,tf,IMEC,Epithelium,Breast,1
45866|MXI1,1.486608796302582e-07,Homo sapiens,MXI1,tf,IMR90,Fibroblast,Lung,1
73547|BRD4,1.5676818924508262e-07,Homo sapiens,BRD4,cr,SUM159PT,mammary carcinoma cell line,Breast,1
40016|MED1,1.6530158140551633e-07,Homo sapiens,MED1,predicted transcription factor,MM1.S,B Lymphocyte,Blood,1
45780|MYC,1.663992736844687e-07,Homo sapiens,MYC,tf,HeLa-S3,Epithelium,Cervix,1
44597|BRD3,1.6973473489983282e-07,Homo sapiens,BRD3,predicted chromatin regulator,VCaP,Epithelium,Prostate,1
46005|FOS,1.7086082877159825e-07,Homo sapiens,FOS,tf,MCF-10A,Epithelium,Breast,1
74206|BRD4,1.7199413268993976e-07,Homo sapiens,BRD4,cr,SF8628,None,Pontine,1
39978|TFAP2C,1.7543774980006368e-07,Homo sapiens,TFAP2C,predicted transcription factor,A375,None,Skin,1
5388|RELA,1.8132550616199786e-07,Homo sapiens,RELA,tf,A549,Epithelium,Lung,1
70568|MYC,1.825257291147345e-07,Homo sapiens,MYC,tf,U2OS,None,Bone,1
45868|CHD1,1.874037503493564e-07,Homo sapiens,CHD1,predicted chromatin regulator,IMR90,Fibroblast,Lung,1
57806|BRD3,1.874037503493564e-07,Homo sapiens,BRD3,predicted chromatin regulator,LX2,Hepatic Stellate Cell,None,1
4929|TAFII,1.9884361858686884e-07,Homo sapiens,TAFII,not sure,H1,Embryonic Stem Cell,Embryo,1
46348|TEAD4,2.014758240864126e-07,Homo sapiens,TEAD4,tf,SK-N-SH,Neuroblastoma cell,Brain,1
71935|MYC,2.0820426480950137e-07,Homo sapiens,MYC,tf,U2OS,None,Bone,1
73504|BRD4,2.109559032367511e-07,Homo sapiens,BRD4,cr,SUM159PT,mammary carcinoma cell line,Breast,1
45867|MAZ,2.1942295577507256e-07,Homo sapiens,MAZ,tf,IMR90,Fibroblast,Lung,1
40230|BRD4,2.2231746671097822e-07,Homo sapiens,BRD4,cr,None,Plasma Cell,None,1
67802|BRD4,2.252487942459907e-07,Homo sapiens,BRD4,cr,SUM1315MO2,None,None,1
45743|JUND,2.312237030897741e-07,Homo sapiens,JUND,tf,HeLa-S3,Epithelium,Cervix,1
46361|GATA3,2.404736046535426e-07,Homo sapiens,GATA3,tf,SK-N-SH,Neuroblastoma cell,Brain,1
36356|POLR2B,2.600557290892732e-07,Homo sapiens,POLR2B,tf,IMR90,Fibroblast,Lung,1
54675|YAP1,2.600557290892732e-07,Homo sapiens,YAP1,other,NCI-H2052,Epithelium,Lung,1
73507|BRD4,2.651864721280766e-07,Homo sapiens,BRD4,cr,SUM159PT,mammary carcinoma cell line,Breast,1
54104|DAXX,2.83003437250068e-07,Homo sapiens,DAXX,not sure,PC-3,Epithelium,Prostate,1
51627|MYC,2.942417684651709e-07,Homo sapiens,MYC,tf,HUES64,Embryonic Stem Cell,Embryo,0
46166|TCF12,3.4144166983446836e-07,Homo sapiens,TCF12,tf,H1,Embryonic Stem Cell,Embryo,1
47283|KDM5B,3.5262783590186905e-07,Homo sapiens,KDM5B,cr,MDA-MB-231,Epithelium,Breast,1
46360|SIN3A,3.7365884866265767e-07,Homo sapiens,SIN3A,tf,SK-N-SH,Neuroblastoma cell,Brain,1
42890|ZNF83,3.9336327429717017e-07,Homo sapiens,ZNF83,tf,LoVo,None,Colon,1
40221|BRD4,3.95895593380094e-07,Homo sapiens,BRD4,cr,U87,None,Brain,1
33191|MAX,4.114224636519437e-07,Homo sapiens,MAX,tf,MM1.S,B Lymphocyte,Blood,1
52091|TP53,4.3027881579303095e-07,Homo sapiens,TP53,predicted transcription factor,IMR90,Fibroblast,Lung,1
