Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
WDR5,71281;5.47E-41,52434;2.16E-37,71280;6.38E-36,48249;4.30E-18,58506;1.80E-06
MYC,72342;3.27E-24,72343;2.16E-17,49280;7.69E-11,8099;1.63E-09,52360;1.12E-08
MED1,58334;2.89E-12,58492;4.80E-08,49484;6.22E-08,33198;1.51E-07,58333;3.21E-07
KAT2B,45635;9.24E-12,45742;2.01E-10,4418;1.74E-06,8788;1.25E-04,45418;1.25E-04
BRD4,70965;6.17E-11,71233;8.28E-10,57808;1.39E-08,40217;4.06E-08,68711;7.40E-08
BIRA,69216;7.46E-11,69218;8.75E-04,56247;6.69E-03,69217;2.67E-02,
BMI1,49267;3.62E-10,49259;1.56E-02,32776;2.71E-02,50014;3.38E-02,50010;3.95E-02
GTF2B,71925;4.71E-10,36362;3.15E-08,71922;6.38E-07,45932;1.19E-05,56958;1.24E-05
YAP1,54676;9.48E-10,54675;7.23E-07,55512;2.96E-06,55292;3.53E-06,55513;5.35E-06
NFE2L2,62958;1.87E-09,64298;3.62E-08,38850;1.20E-05,64299;2.37E-05,62959;1.40E-04
TAL1,42788;2.12E-09,53309;5.72E-05,4610;1.51E-04,72356;5.02E-04,45872;5.58E-04
E2F1,75043;3.35E-09,1212;1.13E-05,45991;1.10E-04,2279;1.23E-04,44336;1.28E-04
NR3C1,68228;3.57E-09,68222;5.68E-09,68227;2.54E-08,68223;3.36E-08,68230;3.84E-08
MAFK,45864;4.30E-09,45815;4.23E-04,45746;6.38E-04,41625;9.58E-04,45954;1.06E-02
FOS,1991;4.47E-09,45999;1.50E-07,46005;4.25E-07,46004;1.02E-05,46007;1.35E-04
TP53,69457;5.10E-09,69456;8.23E-08,75042;1.32E-07,52092;1.66E-07,52091;1.28E-06
SMAD3,47577;5.58E-09,34017;1.83E-06,47584;7.35E-06,276;1.46E-04,278;1.68E-04
TCF12,46362;5.62E-09,46166;1.02E-06,37602;6.89E-06,9198;1.56E-04,46120;1.89E-04
MAFB,50112;6.64E-09,42691;4.95E-02,,,
ERCC3,41411;7.85E-09,,,,
FOXM1,43195;1.03E-08,43194;1.09E-06,46350;2.53E-05,34999;3.00E-05,53259;1.55E-04
ERCC2,41412;1.06E-08,,,,
RELA,36318;1.40E-08,5388;5.44E-07,4972;7.43E-07,4943;8.61E-07,4945;1.11E-06
EZH2,50380;1.48E-08,45294;5.15E-05,48763;6.28E-05,41788;3.25E-04,50379;1.06E-03
DNMT3B,70174;1.63E-08,70178;3.89E-06,62875;2.39E-05,62874;3.12E-03,73890;3.67E-02
