,0,TF
M01069|GZF1,0.1749129291184755,GZF1
MC00354|Neurod1,0.18400763949963048,Neurod1
MS00668|Nr2e1,0.18474943946164915,Nr2e1
MC00411|BATF,0.18705521527394814,BATF
MC00205|Stat5a,0.19056428501216743,Stat5a
UP00040|Irf5,0.193301552251262,Irf5
UP00030|Sox11,0.19357301984287137,Sox11
MS00472|HMBOX1,0.19619778279380468,HMBOX1
M00105|CUX1,0.199666291396837,CUX1
MS00559|MSX1,0.20143341018561273,MSX1
MS00528|ISL2,0.20787167690775807,ISL2
MC00118|GATA2,0.21107639333111927,GATA2
MS00402|ALX3,0.21893017610378235,ALX3
UP00195|SIX3,0.2243552679469736,SIX3
MS00317|HLF,0.23186020344801891,HLF
MS00459|GBX1,0.2329018539125462,GBX1
MC00349|Jun,0.23405493528189292,Jun
MS00421|Barhl1,0.2419790245796059,Barhl1
MC00309|TCF7L2,0.24360072368258273,TCF7L2
MS00390|ZNF238,0.24495090301719327,ZNF238
MS00461|GBX2,0.25437390110331276,GBX2
MS00555|MIXL1,0.2554046981391667,MIXL1
MS00653|NR2E1,0.26354448050747353,NR2E1
MS00450|EN2,0.26670750123596043,EN2
MS00429|DLX3,0.2695589045138676,DLX3
MS00467|Gbx1,0.26970887839253616,Gbx1
MC00505|POLR2B,0.27440217894158875,POLR2B
MS00626|VSX1,0.27579897723782093,VSX1
M01300|HMGA2,0.2769249599281987,HMGA2
MS00438|DUXA,0.28347516109654824,DUXA
MC00341|Olig2,0.28719069019173127,Olig2
MA0051|IRF2,0.29599403175512273,IRF2
MS00770|SOX7,0.296594727729913,SOX7
UP00175|Lhx9,0.29962134167333637,Lhx9
MC00154|Jund,0.3069280504719826,Jund
UP00237|Otp,0.3075394869631705,Otp
MC00471|Rxra,0.3177563807952354,Rxra
M01734|NFATC4,0.32311822847526084,NFATC4
UP00125|PITX2,0.32717541134065325,PITX2
MS00427|DLX1,0.3286754162563514,DLX1
M01312|NKX2-1,0.33020330066334375,NKX2-1
M01694|Yy2,0.3407970360077444,Yy2
MS00430|DLX4,0.3646118333910264,DLX4
M01127|ISL1,0.3646299511738611,ISL1
M01151|Dmrtc2,0.36643889454342843,Dmrtc2
UP00139|Nkx1-2,0.37168289955221273,Nkx1-2
MS00369|FOXJ3,0.37833313838968174,FOXJ3
MS00439|Dlx1,0.38301352201950406,Dlx1
MS00556|GRHL1,0.3845526302441832,GRHL1
MC00141|Stat1,0.3855808652471103,Stat1
M01480|Obox5,0.4011962424665273,Obox5
UP00012|Bbx,0.4035320490492415,Bbx
MS00748|SOX14,0.4047883266060345,SOX14
MS00465|GSX1,0.4164182355901239,GSX1
M01108|HOXA7,0.4195166650379143,HOXA7
MS00072|IRF8,0.4219895746154694,IRF8
MA0365|RFX1,0.4241425559971814,RFX1
MC00327|Gata1,0.4260719665722785,Gata1
MS00428|DLX2,0.43612238582149176,DLX2
MS00836|HOXD12,0.44035254058380646,HOXD12
MS00800|Sox1,0.44610907697399593,Sox1
MC00524|Nr1d1,0.4512422384118606,Nr1d1
MC00120|GATA1,0.4523972457977824,GATA1
UP00215|Vax1,0.45493523228654686,Vax1
MC00104|Foxa1,0.45531678013937993,Foxa1
MS00441|EMX1,0.45575236091601756,EMX1
MS00578|NOTO,0.4583195229902597,NOTO
MS00106|NFAT5,0.47068288611708453,NFAT5
MS00759|SOX21,0.4729002515371292,SOX21
MS00287|TFAP4,0.477204038639537,TFAP4
MC00122|Cebpa,0.48242994745191026,Cebpa
MS00134|POU2F2,0.4843032975288183,POU2F2
UP00155|Hmx2,0.4926078797355451,Hmx2
UP00055|HBP1,0.4930067652913235,HBP1
MS00076|MEF2D,0.5002300526749248,MEF2D
MA0108|TBP,0.5070136996525636,TBP
MS00470|HESX1,0.517397177259364,HESX1
UP00207|HOXB9,0.5200726452049284,HOXB9
M01450|Obox1,0.524174680046189,Obox1
MS00432|DLX6,0.533453666222621,DLX6
MS00191|TBR1,0.5348498810152946,TBR1
MS00051|LEF1,0.5424201780419826,LEF1
MC00325|Gata2,0.5472160018413715,Gata2
UP00197|HOXC9,0.5515367528765658,HOXC9
MS00628|Vsx1,0.551975424831656,Vsx1
UP00261|LHX4,0.5573440743598217,LHX4
M00416|ALX1,0.5647665235898809,ALX1
UP00023|Sox30,0.5700729018901963,Sox30
MS00316|Dbp,0.5711024133749095,Dbp
MS00480|HOXA10,0.5768381688576802,HOXA10
UP00119|Nkx2-9,0.5819662572749198,Nkx2-9
MS00588|PDX1,0.5861558006627978,PDX1
MS00785|SOX9,0.5887920393407773,SOX9
MS00531|ISX,0.5984930981154117,ISX
MS00059|HSF2,0.6060327023141104,HSF2
MS00505|HOXC13,0.6077526506214418,HOXC13
UP00152|Arx,0.6108114851252827,Arx
MC00326|Gata3,0.6210253227956166,Gata3
UP00221|PHOX2A,0.622361723314767,PHOX2A
MS00144|POU3F3,0.6247138588870724,POU3F3
MS00444|EMX2,0.6262841525044831,EMX2
MS00476|HNF1A,0.6332953430638832,HNF1A
MS00517|Hoxc10,0.6334067697048775,Hoxc10
MS00129|POU1F1,0.6357343113211483,POU1F1
MC00324|Gata4,0.6370729530838755,Gata4
MC00504|Scx,0.6430335759088521,Scx
M01399|Hlx,0.6430748983642767,Hlx
MS00513|HOXD8,0.6450628252826673,HOXD8
UP00214|HOXB5,0.6477004230747742,HOXB5
MS00501|Zfp652,0.6560791432023383,Zfp652
MS00613|SHOX2,0.6582128603137016,SHOX2
UP00248|Pax7,0.6594557369689531,Pax7
MC00514|Cbfa2t2,0.6602067263036725,Cbfa2t2
MS00318|Hlf,0.6714943383592549,Hlf
MS00537|LHX2,0.6785237900733575,LHX2
MS00153|POU5F1P1,0.6851690026688466,POU5F1P1
MA0125|Nobox,0.6857130577847818,Nobox
MS00272|NEUROG2,0.6914926412201035,NEUROG2
UP00388|SIX6,0.6941433416745214,SIX6
MC00231|MEF2C,0.694775533362235,MEF2C
MS00606|RAX,0.6975149084145562,RAX
MS00521|Hoxd3,0.6977782651275599,Hoxd3
UP00161|Hmbox1,0.7016988201575464,Hmbox1
MS00603|PRRX2,0.7020090473364078,PRRX2
MS00497|HOXC11,0.7033668672874464,HOXC11
MS00599|PRRX1,0.7124175694115928,PRRX1
MS00388|Foxc1,0.7140944182797628,Foxc1
MC00178|Nkx2-5,0.7156524678115794,Nkx2-5
MS00615|Shox2,0.7207199086283838,Shox2
MS00245|BHLHA15,0.7282840963569248,BHLHA15
UP00128|POU3F2,0.7283118940996842,POU3F2
MS00491|HOXB2,0.7287201446796997,HOXB2
MS00075|MEF2B,0.7387783465375257,MEF2B
UP00196|HOXA4,0.7396372049978055,HOXA4
MS00033|SPDEF,0.746278587884299,SPDEF
MS00424|CART1,0.7462946061583906,CART1
UP00206|Hoxb7,0.7524556120695937,Hoxb7
MS00137|POU2F3,0.7547468837147342,POU2F3
MS00495|HOXC10,0.7574002322754324,HOXC10
MS00541|LHX9,0.7577301657429112,LHX9
MC00105|Foxa2,0.7592439837801215,Foxa2
MS00425|CDX1,0.7670455042233792,CDX1
MS00419|BSX,0.7684894835085909,BSX
MS00418|BARX1,0.7722474586550148,BARX1
M01075|ZBTB16,0.7745476583315974,ZBTB16
MS00803|Sox3,0.7748396360950967,Sox3
MS00055|HOMEZ,0.7799490723958853,HOMEZ
M01230|ZNF333,0.7833274693827391,ZNF333
MS00511|HOXD13,0.7843123592084538,HOXD13
UP00260|Hoxc6,0.784492306585943,Hoxc6
M00289|FOXI1,0.7880795352342567,FOXI1
M00062|IRF1,0.7929042488797247,IRF1
MS00132|POU2F1,0.7999923781399281,POU2F1
MS00440|Dlx2,0.8042893361556772,Dlx2
UP00241|HOXD3,0.8072625797670836,HOXD3
MC00165|Pdx1,0.8112928592173517,Pdx1
MS00616|UNCX,0.8121050429034328,UNCX
UP00263|Hoxb8,0.8183151328379104,Hoxb8
MS00732|CPEB1,0.8194209816068245,CPEB1
UP00223|Irx3,0.8213525238834867,Irx3
UP00259|HOXB6,0.8238257892932566,HOXB6
MS00469|Gbx2,0.826885744085877,Gbx2
MS00516|Hoxa2,0.8279565261417787,Hoxa2
UP00211|Pou3f3,0.8334689283052092,Pou3f3
MS00458|En2,0.8339462510004716,En2
MA0041|FOXD3,0.8340478992802628,FOXD3
MC00260|Pax3,0.8345766966034566,Pax3
UP00187|ALX4,0.838571053990815,ALX4
MA0103|ZEB1,0.8392445980383287,ZEB1
UP00037|Zfp105,0.8400626453732041,Zfp105
UP00213|HOXA9,0.8463523615563259,HOXA9
MS00485|HOXA13,0.8471562602384087,HOXA13
M00478|CDC5L,0.8473613050421447,CDC5L
MS00787|SRY,0.8551848700272081,SRY
MS00614|SHOX,0.8606239116740938,SHOX
MS00619|Uncx,0.8611158168736875,Uncx
MS00553|MEOX2,0.8637013182557672,MEOX2
MC00416|Rbfox2,0.8639894997480545,Rbfox2
MS00604|Prrx2,0.8677599252150183,Prrx2
M01326|GSX2,0.8696100058726173,GSX2
MS00474|HMX2,0.8710562576318146,HMX2
M01150|Dmrta2,0.8713276456667627,Dmrta2
MS00771|SOX8,0.8722341880760206,SOX8
MS00126|PAX7,0.8737149717316607,PAX7
MS00520|Hoxd13,0.8743491580841564,Hoxd13
UP00113|HOXC4,0.8766787888683344,HOXC4
MC00378|POU5F1,0.8784632452890286,POU5F1
MC00303|Sox2,0.8792949959039705,Sox2
MS00455|EVX2,0.8802551359952852,EVX2
MS00593|PHOX2B,0.8809799544743047,PHOX2B
MS00762|SOX2,0.8812725662020678,SOX2
MS00473|HMX1,0.8814319046869415,HMX1
MS00489|HOXB13,0.8907686232198194,HOXB13
MS00750|SOX15,0.8959614622679408,SOX15
MS00151|POU4F3,0.8999505059402704,POU4F3
MS00794|Sox10,0.9047537980403555,Sox10
MC00389|CDX2,0.9055368416037259,CDX2
MA0030|FOXF2,0.9077981185017284,FOXF2
MS00073|IRF9,0.9091632850944469,IRF9
UP00137|Hoxb3,0.9101113917705891,Hoxb3
MS00797|Sox17,0.9136274882894544,Sox17
MS00492|HOXB3,0.9184351668740788,HOXB3
UP00041|Foxj1,0.9202165930771916,Foxj1
UP00252|HOXC5,0.9204097587108881,HOXC5
UP00138|Bsx,0.9213846585563392,Bsx
MC00402|Hoxc9,0.9233070483418395,Hoxc9
M01723|SATB1,0.925755743715162,SATB1
MS00551|MEOX1,0.9287748666194674,MEOX1
UP00166|BARHL1,0.93148215766735,BARHL1
UP00082|Zfp187,0.9360384818161155,Zfp187
M01004|IKZF2,0.9371267426713032,IKZF2
M01148|DMRT3,0.9418255513757545,DMRT3
MS00581|Nkx6-1,0.9424107617627084,Nkx6-1
M00294|Foxf1a,0.9430481313674205,Foxf1a
UP00121|Hoxd10,0.9448169130496208,Hoxd10
UP00004|Sox14,0.9451072352217227,Sox14
UP00096|SOX13,0.9470503691517376,SOX13
MS00454|EVX1,0.9479444308215483,EVX1
MS00431|DLX5,0.9483501813144717,DLX5
MS00406|Alx1,0.9485403231864576,Alx1
MC00455|Cdx2,0.9516066825062938,Cdx2
M00987|FOXP1,0.9538281373753563,FOXP1
MS00437|DRGX,0.9538643804537795,DRGX
UP00244|TLX2,0.9546457705539223,TLX2
MS00605|RAXL1,0.9548404032999525,RAXL1
UP00150|IRX6,0.9556270963434174,IRX6
MC00311|FOXA1,0.9575023198888338,FOXA1
UP00064|Sox18,0.9600141660204586,Sox18
MS00634|CUX2,0.9611869806888543,CUX2
M01149|Dmrta1,0.9621570005127122,Dmrta1
UP00189|HOXA5,0.9632701705859174,HOXA5
UP00182|HOXA6,0.9633779794382747,HOXA6
MS00408|Alx4,0.9636955671423356,Alx4
MS00690|ONECUT3,0.9637424183811364,ONECUT3
MS00277|OLIG2,0.9654338014543364,OLIG2
MS00405|ARX,0.9687210906023557,ARX
MS00575|NKX6-1,0.9690315876501059,NKX6-1
MS00349|FOXC1,0.9699857833666197,FOXC1
MS00577|NKX6-2,0.9745446088785746,NKX6-2
UP00075|Sox15,0.9750788598917378,Sox15
MA0040|Foxq1,0.9751059016712953,Foxq1
MS00250|BHLHE23,0.9759312299844308,BHLHE23
UP00391|HOXA3,0.9775271953553549,HOXA3
MS00564|Msx3,0.9786480038290863,Msx3
MS00561|MSX2,0.979011524185494,MSX2
M01147|DMRT2,0.9794323002410483,DMRT2
MS00147|POU3F4,0.9800555111487264,POU3F4
M01483|Dbx1,0.9812745518389804,Dbx1
UP00071|Sox21,0.98163380559739,Sox21
UP00151|BARX2,0.981664589201227,BARX2
UP00238|Nkx6-3,0.9820191794551484,Nkx6-3
UP00242|HOXC8,0.9827370819990011,HOXC8
UP00091|SOX5,0.9829313673494411,SOX5
MS00627|VSX2,0.9838959680470183,VSX2
MS00280|OLIG3,0.9842718644484421,OLIG3
MC00474|BCL11A,0.9843665069011491,BCL11A
UP00129|Pou3f1,0.9843868499224633,Pou3f1
UP00218|Dbx2,0.9844454144867923,Dbx2
MS00373|FOXL1,0.9854850309251766,FOXL1
UP00140|Hoxd1,0.985847931999437,Hoxd1
MS00155|POU6F2,0.9861579147731199,POU6F2
MS00621|VAX2,0.9868883990782799,VAX2
MS00547|Lhx4,0.9875051406786352,Lhx4
UP00194|IRX4,0.9876671842463963,IRX4
MS00679|ONECUT2,0.9894634352742646,ONECUT2
MC00226|Nanog,0.9907101960158226,Nanog
MC00233|Pou5f1,0.9923250320708504,Pou5f1
MS00149|POU4F2,0.9927865126585637,POU4F2
UP00168|Hoxd8,0.9928035237992187,Hoxd8
MS00249|BHLHE22,0.9928147095707153,BHLHE22
MS00543|LMX1A,0.9931709858264327,LMX1A
MS00667|ONECUT1,0.9931933421489968,ONECUT1
MC00146|Smad2/3,0.9935713201425661,Smad2/3
MS00557|MNX1,0.9948773648963096,MNX1
UP00078|ARID3A,0.994912981191744,ARID3A
MS00563|Meox2,0.9965063066321056,Meox2
UP00130|LHX3,0.9966090278787466,LHX3
UP00034|Sox7,0.9970471628041023,Sox7
UP00262|Lhx1,0.9974395343864773,Lhx1
MS00753|SOX18,0.9979335288976703,SOX18
MC00217|FOXA2,0.9980322144388913,FOXA2
UP00169|LMX1B,0.99811149536694,LMX1B
MS00620|VAX1,0.998163484609581,VAX1
MS00597|PROP1,0.9985074546197332,PROP1
UP00051|Sox8,0.9985639562649383,Sox8
M01146|DMRT1,0.9986333025828847,DMRT1
MS00366|FOXJ2,0.9986751147954384,FOXJ2
MS00355|FOXD2,0.998899312322205,FOXD2
MS00352|FOXC2,0.9990090175018815,FOXC2
MS00148|POU4F1,0.9990733855123471,POU4F1
UP00101|Sox12,0.9990855229764461,Sox12
MS00276|OLIG1,0.9993789168506778,OLIG1
UP00212|LHX5,0.9993966781917355,LHX5
UP00170|Isl2,0.9995756591006844,Isl2
MA0031|FOXD1,0.9999909344665797,FOXD1
