,0,TF
UP00056|RFX4,2.812424981763781e-06,RFX4
MC00475|Nfic,2.8508645136756735e-06,Nfic
M01728|NR2F6,2.8573015041440978e-06,NR2F6
MA0161|NFIC,2.8643613131205715e-06,NFIC
MC00136|Hoxb4,2.8657697707528636e-06,Hoxb4
MS00256|HES7,3.07121156774872e-06,HES7
MC00125|Rest,3.283714519066931e-06,Rest
UP00001|E2F2,3.4198602161586075e-06,E2F2
M01175|ZBTB7B,3.4460956943313718e-06,ZBTB7B
MS00346|ZIC3,3.573408436640067e-06,ZIC3
MS00308|CREB3,3.820474139324955e-06,CREB3
M00647|NR1H3,3.884735624172097e-06,NR1H3
MS00685|RORA,4.078934721157021e-06,RORA
MS00252|Bhlhb2,4.122934186555837e-06,Bhlhb2
MS00018|ETV4,4.22256287298977e-06,ETV4
UP00404|ELF2,4.246650700503486e-06,ELF2
MC00388|Tal1,4.267948824356983e-06,Tal1
MC00319|EGR2,4.287021149011956e-06,EGR2
MC00461|Max,4.308210064029618e-06,Max
UP00148|Hdx,4.474183170908045e-06,Hdx
UP00031|Zbtb3,4.550111909138708e-06,Zbtb3
MS00022|Elf5,4.594157252004513e-06,Elf5
MS00248|BHLHB3,4.6050664461250845e-06,BHLHB3
MS00326|MAFF,4.692506166405561e-06,MAFF
MC00168|ERG,4.719240184950144e-06,ERG
M01104|Ovol2,5.0646990225043785e-06,Ovol2
MC00224|EPAS1,5.128061297472015e-06,EPAS1
MA0131|HINFP,5.2095442561581464e-06,HINFP
UP00085|Sfpi1,5.235011282681955e-06,Sfpi1
MS00301|ZBTB7A,5.299604795879996e-06,ZBTB7A
MC00385|Ets1,5.3616008877741195e-06,Ets1
MC00358|Ebf1,5.447867050712424e-06,Ebf1
M00736|E2F1::TFDP1,5.745299450535088e-06,E2F1::TFDP1
MS00253|CLOCK,5.770868368441227e-06,CLOCK
M01248|NR0B1,5.9174039548859524e-06,NR0B1
MS00124|KLF13,5.994562352424858e-06,KLF13
MS00260|HEY2,6.256394814734178e-06,HEY2
MS00294|ATF7,6.344976441361351e-06,ATF7
MA0101|REL,6.36761242428133e-06,REL
MC00320|EGR1,6.407221335889097e-06,EGR1
MC00430|Egr2,6.649598906065881e-06,Egr2
MS00025|FEV,6.733610280135003e-06,FEV
MS00694|RXRG,6.855183699165089e-06,RXRG
M00373|PAX4,6.867027965041833e-06,PAX4
MS00844|ELK3,6.9551900158325e-06,ELK3
MS00023|Elk3,6.968895709814564e-06,Elk3
MS00046|GLIS3,7.227725448037447e-06,GLIS3
MS00016|ETV2,7.4398494701613e-06,ETV2
UP00418|Etv6,7.509127999632041e-06,Etv6
MS00534|CENPB,7.981857003174555e-06,CENPB
M01656|Trp63,8.258852045762717e-06,Trp63
MC00142|PPARG,9.214432087314393e-06,PPARG
MS00050|GCM2,9.464434811959834e-06,GCM2
MS00265|MLXIPL,9.577003834739394e-06,MLXIPL
MC00510|E2f3,9.792877204978297e-06,E2f3
UP00033|Zfp410,1.0008917490969903e-05,Zfp410
MC00254|E2F6,1.0325160129766934e-05,E2F6
MS00729|ZNF282,1.0721836992552223e-05,ZNF282
MS00274|NHLH1,1.1028651342862851e-05,NHLH1
