,coefficients,cell_line,cell_type,tissue
62176,0.7377150074730987,,Hematopoietic Stem Cell,Liver
54189,0.4923835901898237,SUM159PT,Epithelium,Mammary Gland
37928,-0.43918756226746963,,Endothelial Cell,Umbilical Vein
55861,0.431585353204424,293T-Rex,,
53038,-0.376509205856208,FT33,Epithelium,Fallopian tube secretory
53130,0.34823196947306007,BJ,Fibroblast,Skin
45283,-0.29954326859744507,HeLa-S3,Epithelium,Cervix
45462,0.27725048128912055,,Astrocyte,Brain
61842,0.16230412018394683,,,
61841,-0.03237376487982673,,,
