,coefficients,cell_line,cell_type,tissue
36599,-0.8517984645961976,,Myoblast,Skeletal Muscle
50418,0.5335740896345437,hMADS-3,Adipocyte,Adipose
62070,0.4585768058182798,IMR90,Fibroblast,Lung
38255,0.25324575670061084,,,Rectal Mucosa
61907,0.16228676467118275,,,
38233,0.1611524850447574,,Mesenchymal Stem Cell,Bone Marrow
52381,0.14783674047614698,,Melanoma Cell,
38236,0.1442412759147465,,Mesenchymal Stem Cell,Bone Marrow
61978,0.07344982900996054,IMR90,Fibroblast,Lung
38266,0.004751329412239023,,Mesenchymal Stem Cell,Bone Marrow
