Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
E2F2,UP00001;1.42E-06,MS00712;1.09E-01,,,
E2F3,UP00003;1.68E-06,MS00734;1.34E-02,,,
ZBTB7A,MS00301;2.72E-06,MC00376;3.07E-03,M01100;1.07E-02,,
E2F1,MC00182;3.31E-06,MS00815;3.74E-04,,,
EGR3,MS00567;5.73E-06,,,,
Zfp691,UP00095;7.36E-06,,,,
E2f4,MC00158;1.02E-05,,,,
KLF15,M01714;1.55E-05,,,,
GMEB2,MS00183;1.58E-05,MS00182;8.08E-03,MS00721;2.12E-01,,
Zscan10,M01742;1.61E-05,,,,
Pax5,MC00257;1.74E-05,,,,
GLI2,MS00843;2.24E-05,,,,
Zfp161,UP00065;2.82E-05,,,,
PATZ1,M00491;2.90E-05,,,,
NFKB1,MS00110;2.93E-05,,,,
Zfp281,UP00021;3.44E-05,,,,
RUNX2,MS00173;3.50E-05,MS00174;2.07E-03,MC00215;6.33E-01,,
PAX8,M00717;3.95E-05,,,,
E2F6,MC00254;4.12E-05,M01252;1.54E-01,,,
Egr3,MS00789;4.45E-05,,,,
EGR4,MS00678;5.97E-05,,,,
E2f3,MC00510;6.33E-05,,,,
Tcfap2b,UP00010;6.43E-05,,,,
KLF13,MS00124;6.89E-05,,,,
TP73,MC00132;8.23E-05,,,,
WT1,M01118;8.26E-05,,,,
DEAF1,M01002;8.94E-05,,,,
SP3,M00665;9.59E-05,MS00223;3.90E-04,,,
PAX4,M00378;1.01E-04,M00373;2.87E-04,MS00121;1.32E-01,,
SP4,MS00235;1.03E-04,,,,
Tcfap2a,MS00239;1.16E-04,MS00240;1.52E-03,MS00241;5.10E-03,,
ZBTB49,MS00727;1.25E-04,,,,
Mafb,MS00333;1.27E-04,MS00335;2.70E-04,,,
NFE2,MS00336;1.28E-04,,,,
KLF16,MS00146;1.30E-04,,,,
XBP1,UP00330;1.31E-04,MS00342;3.11E-03,,,
HEY2,MS00260;1.34E-04,,,,
TFAP2A,MC00530;1.45E-04,MS00227;1.34E-03,,,
TFAP2B,MS00228;1.47E-04,MS00229;2.06E-03,MS00230;2.84E-02,,
RREB1,MA0073;1.47E-04,,,,
MYBL1,MS00100;1.52E-04,MS00097;4.35E-02,,,
Ovol2,M01104;1.53E-04,,,,
EGR2,MC00319;1.62E-04,,,,
CENPB,MS00534;1.64E-04,,,,
PAX3,M00327;1.82E-04,MS00119;5.53E-01,,,
BRCA1,MC00299;1.85E-04,,,,
PAX5,M00143;1.88E-04,MA0014;2.63E-04,MC00332;5.75E-04,,
Pparg,MC00130;1.90E-04,,,,
Gmeb1,UP00084;2.03E-04,,,,
ZBTB7C,MS00323;2.07E-04,,,,
PLAG1,MA0163;2.17E-04,,,,
Egr2,MC00430;2.29E-04,,,,
KLF14,MS00135;2.43E-04,,,,
EGR1,MC00320;2.46E-04,,,,
AHR,M00139;2.70E-04,,,,
SP1,MS00212;2.78E-04,MC00113;3.89E-03,,,
RFX4,UP00056;3.08E-04,,,,
PPARG,MC00142;3.10E-04,MA0066;4.04E-01,,,
NFIB,MS00114;3.14E-04,,,,
ZNF589,M01109;3.92E-04,,,,
ZBTB6,M00085;4.03E-04,,,,
ZBTB7B,MS00312;4.36E-04,M01175;1.61E-02,,,
Ppara,MC00134;4.42E-04,,,,
PLAGL1,UP00088;4.46E-04,,,,
SMAD1,M00792;4.53E-04,M01590;1.99E-01,,,
IRF3,UP00086;4.62E-04,,,,
ZBTB33,MC00418;5.10E-04,M01119;1.23E-01,,,
ESR2,MC00333;5.24E-04,,,,
Irf4,UP00018;5.42E-04,MC00190;1.17E-01,,,
NFIX,MS00115;5.95E-04,MS00822;3.89E-01,,,
PAX2,MA0067;6.53E-04,M00486;1.26E-03,MS00118;5.11E-03,,
LBX2,MS00533;6.61E-04,MS00535;3.79E-01,,,
ZNF143,MC00391;6.70E-04,,,,
TEAD2,M00695;7.16E-04,,,,
Zbtb3,UP00031;7.25E-04,,,,
E2F1::TFDP1,M00736;7.65E-04,,,,
SMAD4,M00733;7.68E-04,MC00392;1.27E-02,,,
E2F4,MC00523;8.21E-04,,,,
SREBF2,M01177;8.29E-04,MS00281;3.11E-01,,,
TP53,MC00359;8.42E-04,,,,
BACH2,M00490;8.63E-04,,,,
ETV1,MC00427;8.65E-04,,,,
