Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
CEBPB,54127;1.07E-10,54126;2.25E-09,45762;7.27E-09,45861;9.32E-09,71242;4.85E-08
PPARG,50411;1.90E-10,50408;1.76E-07,50409;1.19E-06,4494;1.45E-06,41166;6.65E-05
RELA,53598;2.25E-10,53599;5.08E-09,32899;3.01E-07,53596;4.66E-07,5388;1.10E-05
MED1,53594;1.49E-09,50690;1.55E-08,53592;1.98E-07,50693;4.35E-07,53593;4.49E-07
BRD4,39025;2.52E-09,68711;3.69E-08,49977;5.60E-08,40217;7.31E-08,49980;9.71E-08
PR,41374;1.53E-08,68966;2.36E-04,33571;2.56E-04,39767;6.92E-04,68968;8.60E-04
TFAP2C,39978;2.13E-08,45770;2.13E-06,9509;1.34E-04,9508;7.56E-04,2403;2.25E-03
TCF12,46362;3.88E-08,46120;4.37E-04,9198;7.60E-04,35308;4.71E-03,46228;9.77E-03
GATA3,67518;5.31E-08,67494;1.72E-06,67502;1.74E-06,67503;3.52E-06,67519;3.58E-06
REST,46377;5.62E-08,46337;1.57E-04,46359;2.49E-04,46286;3.91E-04,46113;1.50E-03
CEBPA,8444;7.73E-08,3006;1.42E-07,8446;1.44E-07,41167;1.77E-06,1374;4.31E-05
BCL3,63884;8.32E-08,63883;8.98E-07,64914;2.50E-06,63885;6.95E-06,63002;1.45E-05
TP53,52091;8.63E-08,52092;1.82E-07,69457;2.81E-06,52090;1.53E-05,69456;4.91E-05
BHLHE40,64945;1.00E-07,64946;1.85E-06,42813;7.81E-04,45632;2.32E-03,45916;3.35E-03
MAZ,74571;1.01E-07,65115;1.69E-05,45788;1.65E-03,45924;3.82E-03,45867;4.08E-03
PAX6,50898;1.02E-07,51532;3.77E-01,71776;3.83E-01,71777;5.24E-01,
PBX3,46358;1.06E-07,56901;6.22E-05,46121;8.35E-03,46082;5.08E-02,42859;1.00E+00
KMT2A,73707;1.54E-07,59165;1.20E-04,73708;2.73E-04,73716;6.45E-04,77486;9.08E-04
MAFB,50112;1.59E-07,42691;5.38E-01,,,
MITF,42179;1.87E-07,42176;4.29E-07,42178;8.68E-04,52548;1.03E-03,42177;5.87E-03
SPI1,67927;2.25E-07,34565;6.65E-07,50879;1.22E-06,67928;3.98E-06,67929;4.66E-06
EOMES,1006;2.98E-07,51448;5.96E-02,51445;1.64E-01,38649;4.30E-01,
FOXM1,34997;3.01E-07,39460;1.98E-06,39443;2.44E-02,46134;3.69E-02,34999;5.54E-02
ZNF341,65129;3.35E-07,62931;1.08E-03,62930;1.76E-03,,
GATA1,55730;3.42E-07,55729;2.99E-06,3273;2.53E-05,8411;4.55E-05,5573;1.64E-04
NKX2-1,74052;3.57E-07,35474;5.09E-05,35471;4.18E-04,35475;1.77E-02,74050;2.34E-02
POLR2B,36356;3.84E-07,9216;4.72E-04,,,
FLI1,5443;4.25E-07,37057;7.43E-06,37056;2.76E-04,5441;4.24E-04,72360;5.31E-04
SMC1A,56558;4.35E-07,38778;6.56E-05,56557;2.57E-04,9317;7.94E-04,2895;4.74E-03
MYF5,72878;5.03E-07,,,,
ASXL1,76682;5.59E-07,,,,
KDM5B,47265;5.67E-07,47283;6.86E-06,8791;3.23E-05,47266;3.44E-05,45390;6.34E-05
TAF1,46221;5.85E-07,46345;7.89E-07,46320;3.03E-04,46334;3.05E-04,46258;4.19E-04
WDR5,52436;7.35E-07,52432;1.35E-04,49877;1.09E-02,33917;1.94E-02,58506;2.79E-02
MYC,70561;1.09E-06,45745;1.34E-06,46008;8.04E-06,45857;1.62E-05,8112;1.62E-05
TAL1,44433;1.12E-06,44435;3.48E-06,43447;7.77E-06,4610;2.37E-04,45872;4.12E-04
MAX,38119;1.30E-06,45749;1.30E-06,33197;2.45E-05,45778;4.94E-05,46292;6.39E-05
AR,48088;1.56E-06,57277;3.46E-06,56256;5.81E-06,56265;6.03E-06,57279;6.47E-06
GATA6,47432;1.61E-06,47595;3.46E-05,50979;5.15E-04,47599;5.19E-04,43163;1.25E-03
GATA4,47598;1.94E-06,47594;1.91E-03,72959;2.16E-03,72934;4.24E-03,72947;7.33E-03
STAT1,41289;2.16E-06,41290;4.43E-06,41288;7.30E-06,41287;1.51E-05,45775;6.68E-04
JUND,46036;2.27E-06,46308;2.97E-05,71238;6.67E-05,46213;1.10E-04,46232;1.20E-04
BRD1,41574;2.40E-06,56279;2.65E-01,56280;3.04E-01,56281;4.93E-01,56282;5.32E-01
IRF1,41303;2.56E-06,41301;6.83E-06,41302;1.03E-05,42725;3.77E-04,45925;5.01E-03
FOS,1740;2.69E-06,45853;1.40E-05,46004;1.15E-04,46005;1.20E-04,46007;2.28E-04
NFE2,50381;3.47E-06,67768;1.11E-05,39357;8.33E-05,45608;1.19E-02,63878;1.52E-02
MEF2B,53874;3.55E-06,53873;3.76E-04,53878;5.31E-04,55585;6.08E-04,53877;8.61E-04
AFF4,48996;3.58E-06,48994;2.46E-04,48997;2.75E-04,48999;4.03E-04,48995;1.76E-03
FOXA2,37366;3.65E-06,52683;4.23E-04,55321;1.35E-03,52681;1.38E-03,51455;1.64E-03
NR3C1,68223;4.47E-06,68227;1.82E-05,41737;1.82E-05,68222;4.15E-05,46052;2.95E-04
SP2,64559;4.59E-06,65084;5.67E-06,64560;3.46E-05,46176;6.39E-01,46287;6.43E-01
OGT,70759;4.69E-06,34001;1.53E-02,39911;8.16E-01,,
FOSL2,54241;4.92E-06,46243;2.08E-05,46346;1.40E-03,63859;3.47E-03,46072;1.47E-02
C11orf30,63363;4.93E-06,63362;3.46E-03,,,
FOXA1,36842;4.94E-06,35473;5.82E-06,46368;9.68E-06,71216;1.26E-05,56665;1.83E-05
GTF2B,56961;5.65E-06,36362;3.61E-05,56978;7.65E-05,56958;3.12E-04,56982;2.78E-03
FOXP2,46333;6.10E-06,46340;3.59E-02,42659;1.00E+00,,
TBP,45781;6.43E-06,45791;8.98E-05,50163;6.96E-04,45881;1.07E-03,45684;3.05E-03
HMGN3,45920;7.89E-06,,,,
GATA2,1743;8.17E-06,45852;4.91E-05,67748;7.09E-05,46032;1.25E-04,1742;1.97E-04
PROX1,49669;9.14E-06,74485;1.18E-01,74488;4.89E-01,,
STAT3,45997;9.27E-06,34236;1.21E-04,45771;1.61E-04,46002;2.83E-04,42212;6.99E-03
JMJD1C,59001;9.28E-06,59006;1.19E-02,59004;1.86E-02,57960;4.36E-02,
TCF7L2,8448;9.35E-06,45714;3.04E-05,46022;6.96E-05,36841;1.82E-04,8435;5.69E-04
SP1,70815;9.81E-06,5395;3.94E-05,70814;2.53E-04,46060;3.93E-04,70811;7.65E-04
RUNX1,72094;1.01E-05,55493;8.64E-05,49536;8.64E-05,2121;9.38E-05,72352;3.23E-04
TCF7L1,70804;1.02E-05,40166;5.20E-05,46140;1.29E-04,70802;8.99E-04,70803;1.95E-03
NFE2L2,62958;1.02E-05,62959;6.36E-04,64299;3.21E-02,38850;6.29E-02,38909;2.29E-01
YY1,46226;1.04E-05,46153;1.27E-04,46204;3.30E-04,65204;3.92E-04,7060;4.08E-04
SMAD1,8447;1.08E-05,8416;1.56E-03,8415;3.21E-02,8432;4.71E-02,8414;5.01E-02
CDK8,57165;1.08E-05,57167;3.22E-05,34081;3.48E-05,57171;4.12E-05,57169;4.30E-05
FEZF1,65116;1.11E-05,64604;1.68E-03,64605;2.20E-02,,
PAF1,55667;1.20E-05,55664;1.61E-05,55668;4.15E-05,55666;1.10E-04,55682;1.48E-04
CPSF3L,49021;1.24E-05,49010;4.64E-04,49009;1.58E-03,49022;4.03E-03,49012;1.02E-02
ERG,33458;1.35E-05,53296;4.75E-05,72359;1.50E-04,37583;4.12E-04,37639;6.05E-04
ATF3,68464;1.38E-05,32784;1.14E-04,63683;8.36E-04,63684;8.57E-04,68460;1.16E-03
FOXK1,70731;1.52E-05,9505;2.33E-01,42657;4.30E-01,9506;6.51E-01,
TFAP4,74431;1.55E-05,74432;2.21E-04,62715;3.98E-04,62716;1.13E-01,
DCP1A,36231;1.56E-05,36226;1.86E-04,,,
T,55895;1.69E-05,69884;1.19E-03,73454;3.50E-03,74831;5.90E-03,73453;8.28E-03
XRN2,36234;1.70E-05,58844;5.36E-05,58840;5.69E-05,58841;7.00E-05,58842;1.91E-04
RPE,49481;1.75E-05,,,,
NEUROG2,76812;1.79E-05,76813;9.12E-04,76817;1.16E-03,76818;2.71E-03,76814;3.32E-03
SOX4,71748;1.94E-05,71747;3.92E-05,71746;2.54E-03,38749;2.36E-01,47591;4.39E-01
SUPT5H,53325;1.97E-05,64773;4.23E-03,64772;5.87E-03,70927;5.01E-02,43450;1.75E-01
KAT7,8482;2.01E-05,,,,
KLF11,50415;2.04E-05,50414;7.42E-05,50412;1.61E-04,50413;5.23E-04,42728;4.50E-01
CREBBP,2748;2.41E-05,42637;6.49E-04,42638;7.59E-04,73720;1.04E-02,1935;1.75E-02
MECP2,34392;2.46E-05,34396;2.71E-04,34400;3.35E-03,34399;1.45E-02,34394;4.07E-02
JUN,45848;2.51E-05,55299;3.69E-04,45874;6.86E-04,2078;6.86E-04,45744;1.05E-03
FOXO1,54243;2.60E-05,75851;4.93E-02,58300;1.08E-01,58301;1.81E-01,75852;3.79E-01
EGR2,65147;2.68E-05,65179;2.49E-03,34567;2.31E-02,64861;3.24E-02,34563;5.82E-02
TCF21,52496;2.69E-05,52495;1.05E-03,52498;6.63E-01,52497;7.00E-01,
CDK9,43081;2.92E-05,53347;5.19E-05,53346;4.93E-04,33123;9.38E-04,69880;1.76E-03
CTCF,35855;2.94E-05,35854;1.33E-04,35832;2.79E-04,45713;3.13E-04,35845;7.75E-04
SIN3A,46208;2.99E-05,46360;5.05E-04,46329;5.55E-04,46236;1.88E-03,46335;3.35E-03
ZFP2,63525;3.00E-05,63524;5.88E-01,,,
