,0,TF
M01288|NEUROD1,0.0010524716225590648,NEUROD1
MS00848|ERG,0.001054794651129279,ERG
M00514|ATF4,0.0010578895410611093,ATF4
MC00339|NFE2L2,0.0010681262840873485,NFE2L2
UP00093|Klf7,0.001077882913546175,Klf7
MC00356|Tbx21,0.001133120009716447,Tbx21
MC00427|ETV1,0.0011373057362221199,ETV1
M01177|SREBF2,0.00115449128156002,SREBF2
MS00726|PRDM4,0.0011553559974086611,PRDM4
UP00011|IRF6,0.0011950120923647752,IRF6
MC00191|Nfya,0.0012620736902417447,Nfya
MC00388|Tal1,0.0012708361201934904,Tal1
MS00472|HMBOX1,0.0012716069508283273,HMBOX1
MS00523|Zic3,0.0012814593234507859,Zic3
MC00389|CDX2,0.0013463043863143381,CDX2
M00448|ZIC1,0.0013666295505787112,ZIC1
MC00326|Gata3,0.001435599155130768,Gata3
MS00027|FLI1,0.0014436678179540045,FLI1
M01081|ZNF628,0.0015558525828449567,ZNF628
MC00468|AR,0.0015653272266550452,AR
MS00048|GCM1,0.0015853559985962034,GCM1
MC00144|Rfx1,0.0015981719786485632,Rfx1
M01733|MZF1,0.0016479789322980628,MZF1
MS00378|FOXO3,0.001654247026632762,FOXO3
MC00502|HMGN1,0.0016985736676472306,HMGN1
MC00226|Nanog,0.0017282148919941815,Nanog
MC00475|Nfic,0.0017498707283223258,Nfic
MC00328|Zfx,0.0017776038199951646,Zfx
MC00140|Stat3,0.0018157754798679888,Stat3
UP00184|Lhx8,0.0019874590027477413,Lhx8
UP00066|HNF4A,0.0020226475819822174,HNF4A
MC00187|Ctcf,0.0020485577220205804,Ctcf
M00115|CNTN2::CREB1,0.0020563193827723317,CNTN2::CREB1
MS00308|CREB3,0.0022576152952612206,CREB3
UP00040|Irf5,0.0022780475183730798,Irf5
MC00351|FOSL1,0.002335524233696034,FOSL1
MS00346|ZIC3,0.002348820857042655,ZIC3
MS00445|ZNF740,0.0023757365564399864,ZNF740
MS00512|Zfp740,0.002462661980719916,Zfp740
MC00377|Trp53,0.0024915883008166237,Trp53
MC00477|ZNF711,0.002510455339390441,ZNF711
MS00357|ZIC4,0.002575783186543947,ZIC4
MC00262|ARNT,0.00258966969150238,ARNT
MS00258|HEY1,0.0026590669059257115,HEY1
MC00347|STAT4,0.002733035240671087,STAT4
MS00728|ZNF232,0.002776737848608888,ZNF232
MC00504|Scx,0.0027820721634825166,Scx
MS00652|NR2E1,0.002786409673308212,NR2E1
MC00373|Mxi1,0.0027953238625383087,Mxi1
MS00194|TBX19,0.0028070649130773413,TBX19
MS00390|ZNF238,0.003084241644704561,ZNF238
MS00571|NKX2-8,0.003097002415513772,NKX2-8
M01010|HMGA1,0.003097059570888388,HMGA1
UP00391|HOXA3,0.0031380529617464543,HOXA3
M01783|SP2,0.003175671453113417,SP2
MC00221|Tbx3,0.0031844098262391483,Tbx3
MS00171|Rfx2,0.003275540660440563,Rfx2
MS00362|FOXI1,0.0033298072751958684,FOXI1
UP00052|Osr2,0.003359862846972432,Osr2
UP00009|Nr2f2,0.003399953880302992,Nr2f2
MC00211|NFATC1,0.0034753131885583697,NFATC1
MS00394|Foxj3,0.003610503647845178,Foxj3
MS00393|Foxg1,0.003740839603416899,Foxg1
MC00456|JUND,0.0038255067085247113,JUND
MC00154|Jund,0.0038452869407472417,Jund
UP00214|HOXB5,0.003845788868411018,HOXB5
M01122|ZNF219,0.0038630492896521247,ZNF219
M01009|HES1,0.0040047703068411674,HES1
M00672|TEF,0.0040116684229297055,TEF
MS00062|HSFY2,0.004347097365027555,HSFY2
M01150|Dmrta2,0.004418829566437638,Dmrta2
MS00504|HOXC13,0.004430590153908909,HOXC13
MC00170|PGR,0.004563381890999883,PGR
M00621|CEBPD,0.004641810511293507,CEBPD
MC00335|ESR1,0.00466170411104261,ESR1
MS00311|Creb3l2,0.0047049590992551795,Creb3l2
UP00087|Tcfap2c,0.004779675237106393,Tcfap2c
MS00256|HES7,0.004791331327194033,HES7
MS00348|FOXB1,0.0049431542276869266,FOXB1
M01425|HNF1B,0.00495333636163572,HNF1B
MC00295|Esr1,0.00502375565719167,Esr1
MS00510|HOXD13,0.005274940668653854,HOXD13
MC00509|NR2C2,0.005535592758218039,NR2C2
MS00441|EMX1,0.005597719415361858,EMX1
M00737|E2F1::TFDP2,0.0056907868391774495,E2F1::TFDP2
MC00203|RFX3,0.00570218350422949,RFX3
MS00280|OLIG3,0.0059413974316889565,OLIG3
MS00579|TFCP2,0.006127603748603014,TFCP2
MC00458|TAL1,0.006171743881366603,TAL1
MS00128|PAX9,0.00626559174823109,PAX9
MC00303|Sox2,0.0063093192523415095,Sox2
UP00132|Evx2,0.0064593653005887,Evx2
MC00280|NR4A1,0.006489771302452404,NR4A1
MA0031|FOXD1,0.0065642820335103675,FOXD1
M00467|ZNF423,0.006601960137594864,ZNF423
MS00327|MAFG,0.00663534488890566,MAFG
MC00465|NR3C1,0.006728844172710619,NR3C1
MS00359|FOXD3,0.006812614876373235,FOXD3
MS00302|CEBPG,0.006901665784935179,CEBPG
MC00439|TP63,0.006960648355178266,TP63
MS00024|GLIS1,0.007026439668253647,GLIS1
MC00183|Snai1,0.0070574732917811295,Snai1
MS00487|HOXA2,0.0072663785816277,HOXA2
MS00243|Ascl2,0.007376952882236244,Ascl2
MC00232|MEF2A,0.007411386502197366,MEF2A
MS00207|TBX21,0.007439256179848124,TBX21
UP00137|Hoxb3,0.007440416233195763,Hoxb3
