,0,TF
MS00557|MNX1,0.14820475130652794,MNX1
M00062|IRF1,0.14940413563009486,IRF1
MC00233|Pou5f1,0.1506389993208004,Pou5f1
MS00408|Alx4,0.15297060511434013,Alx4
M00483|ATF6,0.15382217971032724,ATF6
MC00368|Hsf1,0.15437531288753378,Hsf1
UP00259|HOXB6,0.15661119303013626,HOXB6
MS00476|HNF1A,0.156942193738549,HNF1A
MS00556|GRHL1,0.15703310180201832,GRHL1
M00241|NKX2-5,0.1580292493112889,NKX2-5
MS00249|BHLHE22,0.16058295077168142,BHLHE22
MS00536|LHX2,0.16109904568134037,LHX2
MS00596|PITX3,0.16210026724828736,PITX3
UP00020|ATF1,0.1632028942392888,ATF1
MS00221|TEAD3,0.16464736523382362,TEAD3
M01147|DMRT2,0.16826552063262357,DMRT2
MS00245|BHLHA15,0.1684312682391538,BHLHA15
MS00638|ESRRG,0.16908270188781488,ESRRG
MS00041|Spic,0.16923314591381308,Spic
UP00252|HOXC5,0.17065202962863923,HOXC5
MS00603|PRRX2,0.1747116270811537,PRRX2
UP00096|SOX13,0.17522374785893977,SOX13
MS00555|MIXL1,0.17610011476963938,MIXL1
MS00604|Prrx2,0.18090336982352254,Prrx2
MS00188|MGA,0.1836982019184572,MGA
MS00800|Sox1,0.1905183092014694,Sox1
M00999|AIRE,0.1921940854106781,AIRE
M01435|Rhox6,0.19462146712970727,Rhox6
MS00313|Creb5,0.19687626331230718,Creb5
MS00387|FOXP3,0.19807813413202288,FOXP3
MA0125|Nobox,0.20326918677361888,Nobox
M01295|ATF5,0.20342371196828285,ATF5
MS00271|NEUROD2,0.2051036811710077,NEUROD2
MS00452|ESX1,0.20728697000514226,ESX1
MS00274|NHLH1,0.2130354315001868,NHLH1
MS00740|SOX10,0.21499953394956547,SOX10
MS00054|Tcf7,0.21669946442354415,Tcf7
MS00731|ZNF713,0.22167925251009352,ZNF713
MS00338|NRL,0.22238767549464566,NRL
M00809|FOXH1,0.22492433844337487,FOXH1
M00456|BPTF,0.22791303504368052,BPTF
UP00166|BARHL1,0.2286947523042273,BARHL1
M00964|NR1I2,0.228740040977068,NR1I2
UP00412|Etv5,0.23082785389922836,Etv5
MS00628|Vsx1,0.23128730720812637,Vsx1
M00465|POU6F1,0.23216893400733538,POU6F1
MS00491|HOXB2,0.23238026907966336,HOXB2
M01480|Obox5,0.23514380083668757,Obox5
MS00829|ESRRA,0.23571177490148784,ESRRA
MS00268|YY2,0.23729177544015975,YY2
UP00169|LMX1B,0.23808889366572109,LMX1B
MS00492|HOXB3,0.23938296195601108,HOXB3
MS00022|Elf5,0.24041670947989352,Elf5
MS00191|TBR1,0.24405370104767432,TBR1
MS00075|MEF2B,0.24832611620328268,MEF2B
MA0145|Tcfcp2l1,0.2500052299481681,Tcfcp2l1
MS00052|SOX9,0.25433901273650905,SOX9
MS00844|ELK3,0.25975038476876355,ELK3
UP00197|HOXC9,0.2619532308242734,HOXC9
MS00805|Sox3,0.2621722635301802,Sox3
MS00406|Alx1,0.26327531590576625,Alx1
MS00797|Sox17,0.2653732437462031,Sox17
UP00161|Hmbox1,0.2667531009777744,Hmbox1
MS00436|DPRX,0.26862996260942607,DPRX
MS00708|Rxrb,0.2686434270504842,Rxrb
MC00119|GATA3,0.268787368064343,GATA3
MS00515|Hoxa11,0.27009156499853926,Hoxa11
MS00269|MYF6,0.2733317299431584,MYF6
MC00337|Ikzf3,0.27427767426193794,Ikzf3
MS00060|HSF4,0.27620121598943154,HSF4
MC00506|Spi1,0.2810141716992403,Spi1
MS00539|LHX6,0.28307996292353194,LHX6
MS00289|TFEB,0.28460624284805364,TFEB
MS00501|Zfp652,0.28511614791525847,Zfp652
MC00357|Crx,0.2860207615158369,Crx
MS00276|OLIG1,0.28693668341881773,OLIG1
M01149|Dmrta1,0.290950779045819,Dmrta1
MS00277|OLIG2,0.2975180449885268,OLIG2
MS00366|FOXJ2,0.2994980382389559,FOXJ2
MS00627|VSX2,0.30136813315002053,VSX2
MS00402|ALX3,0.30366832975962726,ALX3
UP00262|Lhx1,0.30508915842902307,Lhx1
UP00064|Sox18,0.30536223816449015,Sox18
MS00021|ETV6,0.3082206461415091,ETV6
MS00218|T,0.3082461539349729,T
MS00597|PROP1,0.30836135389908065,PROP1
MS00155|POU6F2,0.3126778734042035,POU6F2
MC00512|Esrrb,0.31430258238686853,Esrrb
MS00440|Dlx2,0.3145802531719583,Dlx2
MC00378|POU5F1,0.3172525913329736,POU5F1
MS00429|DLX3,0.31814707146954685,DLX3
MC00513|SFPI1,0.32016315067949763,SFPI1
MS00424|CART1,0.3239499972107949,CART1
MS00130|POU1F1,0.33434761463927815,POU1F1
M00712|MYOG,0.3358949385196,MYOG
M00694|E4F1,0.33590998414340684,E4F1
MS00405|ARX,0.33683082538620185,ARX
UP00138|Bsx,0.3369275231313133,Bsx
MS00547|Lhx4,0.3378026787485119,Lhx4
MS00616|UNCX,0.34077564587196657,UNCX
M00082|RUNX1,0.34671803199448853,RUNX1
MS00437|DRGX,0.3472143926287108,DRGX
MS00685|RORA,0.34851446321623997,RORA
MC00163|Creb1,0.35290645273453164,Creb1
MS00759|SOX21,0.36357181434568797,SOX21
MS00152|POU5F1P1,0.36443168271937204,POU5F1P1
M01709|MAFA,0.36511657007540693,MAFA
UP00101|Sox12,0.36644443190952064,Sox12
MC00309|TCF7L2,0.3706216765798748,TCF7L2
UP00117|Hoxd11,0.3707044707900261,Hoxd11
UP00023|Sox30,0.37120866476809644,Sox30
UP00211|Pou3f3,0.3719890732903274,Pou3f3
M01694|Yy2,0.37412259767657907,Yy2
M01282|PPARA,0.3822227964614615,PPARA
UP00199|SIX4,0.3825911361129391,SIX4
MS00748|SOX14,0.38285802945896535,SOX14
MS00296|BATF3,0.3832603179375125,BATF3
MS00151|POU4F3,0.38404390914252207,POU4F3
M01004|IKZF2,0.3853222546648024,IKZF2
M01146|DMRT1,0.38566218926712703,DMRT1
MS00846|ERF,0.39064441604141553,ERF
MC00269|SOX2,0.39207721194818806,SOX2
M00526|NR6A1,0.39593088675854654,NR6A1
UP00212|LHX5,0.40006670642524017,LHX5
MC00281|PBX3,0.4028256128640859,PBX3
MS00739|E2F8,0.406128876980826,E2F8
MS00073|IRF9,0.4105336259781339,IRF9
MC00471|Rxra,0.41238697216905973,Rxra
MS00605|RAXL1,0.41523339742221976,RAXL1
MS00834|ELF4,0.4177340461732689,ELF4
UP00130|LHX3,0.4183376679502645,LHX3
M01483|Dbx1,0.4191063575957308,Dbx1
MC00507|Meis1,0.42405074946926724,Meis1
UP00263|Hoxb8,0.4241852489804959,Hoxb8
UP00012|Bbx,0.4291127199045821,Bbx
MC00413|Runx1,0.4304146107444379,Runx1
MS00025|FEV,0.4310307705888684,FEV
MS00270|Mlx,0.4338887589470751,Mlx
MS00272|NEUROG2,0.4359928414625456,NEUROG2
MS00641|Esrra,0.43614412407463565,Esrra
MS00214|TBX4,0.4373881348953468,TBX4
MS00018|ETV4,0.4400633993919948,ETV4
UP00051|Sox8,0.4414472610551635,Sox8
M01445|Obox6,0.4418108569785064,Obox6
MS00136|POU2F3,0.4419849357693657,POU2F3
UP00045|MAFB,0.44901180599555834,MAFB
M01722|RORB,0.45285924213879736,RORB
M01306|ZNF217,0.4596284816935843,ZNF217
UP00237|Otp,0.47059580738821305,Otp
UP00043|Bcl6b,0.4743670577689916,Bcl6b
MS00692|RXRB,0.4771187006617237,RXRB
UP00107|Nkx2-4,0.48249820978648583,Nkx2-4
UP00175|Lhx9,0.4909391148266997,Lhx9
MC00524|Nr1d1,0.49201277135010957,Nr1d1
MS00250|BHLHE23,0.4932836560008823,BHLHE23
M01300|HMGA2,0.49374089704241064,HMGA2
MA0017|NR2F1,0.506107283035099,NR2F1
UP00078|ARID3A,0.5063075686028345,ARID3A
UP00034|Sox7,0.5068141963742798,Sox7
MS00316|Dbp,0.5088452505258189,Dbp
MS00577|NKX6-2,0.5112565277863792,NKX6-2
MS00778|EHF,0.5114648011608782,EHF
MS00083|MEIS2,0.5145143552298747,MEIS2
MC00206|ELK1,0.5165679051536399,ELK1
MS00468|ZNF75A,0.5223028365142124,ZNF75A
M01069|GZF1,0.5227824978282164,GZF1
UP00091|SOX5,0.5284977237185826,SOX5
MC00369|Myod1,0.528688281826913,Myod1
MS00430|DLX4,0.5289173209689743,DLX4
M01262|TBX18,0.5311839700225929,TBX18
MC00276|EOMES,0.5374007033053249,EOMES
MS00282|Srebf1,0.5380571915228933,Srebf1
MS00439|Dlx1,0.5386821809840333,Dlx1
MA0030|FOXF2,0.5430134826135634,FOXF2
MS00192|TBX15,0.5432778322933836,TBX15
MC00141|Stat1,0.5437375148984427,Stat1
M00632|GATA4,0.545830947389355,GATA4
MS00479|ZNF784,0.5460330286640667,ZNF784
UP00155|Hmx2,0.5507672949681974,Hmx2
MA0152|NFATC2,0.5508547233507708,NFATC2
MS00532|Irx3,0.5518293219753991,Irx3
MS00431|DLX5,0.5530723841923668,DLX5
MC00293|Gfi1b,0.556824935562976,Gfi1b
MS00564|Msx3,0.5573866460143235,Msx3
MS00543|LMX1A,0.5574560706043752,LMX1A
MS00474|HMX2,0.5645842783498974,HMX2
MS00812|ELF3,0.5703163793026894,ELF3
MS00561|MSX2,0.5756232075245205,MSX2
MS00091|PKNOX1,0.578707119750449,PKNOX1
MS00769|SOX7,0.5873849294411485,SOX7
MC00511|Rxrg,0.5898147030159376,Rxrg
UP00125|PITX2,0.5902601886806884,PITX2
UP00231|NKX2-2,0.5912397204576502,NKX2-2
MS00838|ELF5,0.5923429346382983,ELF5
M00624|DBP,0.6032505542843456,DBP
UP00244|TLX2,0.606404401160851,TLX2
MS00421|Barhl1,0.6088894508094201,Barhl1
UP00033|Zfp410,0.6174778827960283,Zfp410
MS00059|HSF2,0.6197854988208467,HSF2
MS00087|Meis2,0.6210945945996003,Meis2
MS00750|SOX15,0.62207391800198,SOX15
MS00787|SRY,0.6283794668985914,SRY
MS00668|Nr2e1,0.6307344753791266,Nr2e1
MS00730|ZNF435,0.6397949234148357,ZNF435
MS00094|TGIF1,0.6415354195528875,TGIF1
UP00147|Nkx2-6,0.6428706124511774,Nkx2-6
UP00242|HOXC8,0.6512328492632384,HOXC8
MS00016|ETV2,0.6513260108269491,ETV2
MS00093|Pknox2,0.6519805729940551,Pknox2
UP00170|Isl2,0.6633328145404128,Isl2
MS00201|SNAI2,0.6646801499209648,SNAI2
M01127|ISL1,0.6681703821692199,ISL1
MS00419|BSX,0.6698201113497584,BSX
MS00609|RHOXF1,0.6776818060712089,RHOXF1
MS00092|PKNOX2,0.6797714174065612,PKNOX2
MS00432|DLX6,0.6800994674427792,DLX6
MS00581|Nkx6-1,0.6868647868903028,Nkx6-1
MS00575|NKX6-1,0.6891334530382721,NKX6-1
MS00811|RARB,0.692453413843612,RARB
MS00624|VENTX,0.6948965227443531,VENTX
UP00218|Dbx2,0.6958414550743319,Dbx2
M01723|SATB1,0.7066890557850665,SATB1
MS00265|MLXIPL,0.7143986148889803,MLXIPL
UP00037|Zfp105,0.7193425276743832,Zfp105
M00678|ETV7,0.7196824609712077,ETV7
MS00023|Elk3,0.722545636479976,Elk3
MS00095|TGIF2LX,0.7382875695610334,TGIF2LX
MS00473|HMX1,0.7406938974219723,HMX1
MC00358|Ebf1,0.7505726138997475,Ebf1
MS00634|CUX2,0.760087822073599,CUX2
MS00667|ONECUT1,0.7698716547164586,ONECUT1
MS00295|Atf4,0.7768353501547024,Atf4
MS00679|ONECUT2,0.7832874236012758,ONECUT2
UP00121|Hoxd10,0.7842451152878359,Hoxd10
M01450|Obox1,0.7923507641262781,Obox1
M01151|Dmrtc2,0.7935993568486875,Dmrtc2
MA0130|ZNF354C,0.7985806007587655,ZNF354C
MC00126|TCF12,0.8027287240620792,TCF12
M01596|GLI3,0.8080229079816326,GLI3
MS00412|ZNF410,0.8090962834171962,ZNF410
UP00129|Pou3f1,0.8118099988087688,Pou3f1
MA0103|ZEB1,0.8145221316106295,ZEB1
UP00075|Sox15,0.8162984064215921,Sox15
MS00337|NFIL3,0.8169146578773145,NFIL3
MS00264|MESP1,0.8195487374072066,MESP1
MS00096|TGIF2,0.8241000117514088,TGIF2
UP00389|NKX3-1,0.8271052720206522,NKX3-1
UP00071|Sox21,0.8281474689903755,Sox21
MC00354|Neurod1,0.8314526867669869,Neurod1
MS00126|PAX7,0.8354388858470088,PAX7
MS00254|FIGLA,0.8356443558280069,FIGLA
MC00129|Fli1,0.8373252013783179,Fli1
M01207|ETS2,0.8446538305476079,ETS2
MS00317|HLF,0.8461801547847504,HLF
MS00756|E2F7,0.8618806243214074,E2F7
MS00573|NKX3-2,0.866043475040233,NKX3-2
MC00260|Pax3,0.8824081417830812,Pax3
MC00248|USF1,0.8853918363174901,USF1
UP00055|HBP1,0.8892816553377376,HBP1
M01399|Hlx,0.8906646570443582,Hlx
UP00168|Hoxd8,0.8986469167273852,Hoxd8
UP00004|Sox14,0.8997711256164773,Sox14
MS00055|HOMEZ,0.9011810548856789,HOMEZ
MS00794|Sox10,0.9017662947386436,Sox10
M01230|ZNF333,0.9137400085159958,ZNF333
MS00053|TCF7L1,0.9235723569905115,TCF7L1
UP00114|Homez,0.9277274874417412,Homez
M00420|MEIS1::HOXA9,0.9350624339464875,MEIS1::HOXA9
M00041|ATF2::JUN,0.9429081716705876,ATF2::JUN
MC00265|Tcf3,0.9444937269648652,Tcf3
MS00253|CLOCK,0.9457826764555897,CLOCK
MS00261|ID4,0.946400641958709,ID4
MS00224|TEAD4,0.9561280481837652,TEAD4
MS00690|ONECUT3,0.9579712063354346,ONECUT3
MC00195|Myf5,0.9636858346425912,Myf5
MS00051|LEF1,0.9851948322045674,LEF1
MS00197|TBX1,0.99553702724148,TBX1
UP00185|PBX1,0.9995376670711127,PBX1
