,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
33554|CTCF,0.6356287559248188,Homo sapiens,CTCF,tf,K562,Erythroblast,Bone Marrow,0
42656|FOXF1,0.6356287559248188,Homo sapiens,FOXF1,predicted transcription factor,LoVo,None,Colon,0
33598|FAIRE,0.6356287559248188,Homo sapiens,FAIRE,other,H1,Embryonic Stem Cell,Embryo,0
2650|PAX3,0.6356287559248188,Homo sapiens,PAX3,tf,RD,None,Muscle,0
42654|FOS,0.6356287559248188,Homo sapiens,FOS,tf,LoVo,None,Colon,0
33604|FAIRE,0.6356287559248188,Homo sapiens,FAIRE,other,NHEK,Keratinocyte,Skin,0
42795|CAMTA1,0.6356287559248188,Homo sapiens,CAMTA1,tf,LoVo,None,Colon,0
42803|UBP1,0.6356287559248188,Homo sapiens,UBP1,tf,LoVo,None,Colon,0
38291|RELA,0.6356287559248188,Homo sapiens,RELA,tf,None,Epithelium,Cervix,0
57953|NR3C1,0.6356287559248188,Homo sapiens,NR3C1,tf,MM1.RL,None,None,0
55783|CTCF,0.6356287559248188,Homo sapiens,CTCF,tf,MCF-7,Epithelium,Breast,1
74005|ESR1,0.6356287559248188,Homo sapiens,ESR1,tf,None,None,endometrioid adenocarcinoma,1
75038|SMARCC1,0.6356287559248188,Homo sapiens,SMARCC1,cr,None,HMLE-Twist-ER_125nM,None,0
42802|TFAM,0.6356287559248188,Homo sapiens,TFAM,tf,LoVo,None,Colon,0
40344|AR,0.6356287559248188,Homo sapiens,AR,tf,LNCaP,Epithelium,Prostate,0
58021|KDM1A,0.6356287559248188,Homo sapiens,KDM1A,cr,LNCaP,Epithelium,Prostate,0
42658|FOXO1,0.6356287559248188,Homo sapiens,FOXO1,tf,LoVo,None,Colon,0
42794|ZBTB33,0.6356287559248188,Homo sapiens,ZBTB33,tf,LoVo,None,Colon,0
42648|CAMTA1,0.6356287559248188,Homo sapiens,CAMTA1,tf,LoVo,None,Colon,0
37768|TALE,0.6356287559248188,Homo sapiens,TALE,other,K562,Erythroblast,Bone Marrow,0
43679|PARP1,0.6356287559248188,Homo sapiens,PARP1,not sure,T47D-MTVL,Epithelium,Mammary Gland,0
37767|TALE,0.6356287559248188,Homo sapiens,TALE,other,K562,Erythroblast,Bone Marrow,0
34446|LMNA,0.6356287559248188,Homo sapiens,LMNA,not sure,HGADFN167,Fibroblast,Forearm Skin Biopsy,0
42771|JUND,0.6356287559248188,Homo sapiens,JUND,tf,LoVo,None,Colon,0
40328|SIRT3,0.6356287559248188,Homo sapiens,SIRT3,cr,U2OS,None,Bone,0
42782|SMAD5,0.6356287559248188,Homo sapiens,SMAD5,tf,LoVo,None,Colon,0
42781|SALL4,0.6356287559248188,Homo sapiens,SALL4,tf,LoVo,None,Colon,0
42780|RXRA,0.6356287559248188,Homo sapiens,RXRA,tf,LoVo,None,Colon,0
1956|TAL1,0.6356287559248188,Homo sapiens,TAL1,tf,Jurkat,T Lymphocyte,Blood,0
37386|RUNX1,0.6356287559248188,Homo sapiens,RUNX1,tf,Jurkat E6-1,T Lymphocyte,Blood,0
56537|YAP1,0.6356287559248188,Homo sapiens,YAP1,other,HuCCT1,None,None,0
49729|ASCL1,0.6356287559248188,Homo sapiens,ASCL1,tf,HCC4018,Epithelium,Lung,1
42777|NR1H2,0.6356287559248188,Homo sapiens,NR1H2,tf,LoVo,None,Colon,0
42776|NR1D1,0.6356287559248188,Homo sapiens,NR1D1,tf,LoVo,None,Colon,0
74424|MYC,0.6356287559248188,Homo sapiens,MYC,tf,MDA-MB-468,None,Breast,0
44690|LANA,0.6356287559248188,Homo sapiens,LANA,other,iSLK-219,Epithelium,Kidney,0
42643|ARNTL,0.6356287559248188,Homo sapiens,ARNTL,predicted transcription factor,LoVo,None,Colon,0
56941|NR3C1,0.6356287559248188,Homo sapiens,NR3C1,tf,RS4,B Lymphocyte,None,1
76942|SRPK2,0.6356287559248188,Homo sapiens,SRPK2,other,MCF-10A,Epithelium,None,1
57113|LEF1,0.6356287559248188,Homo sapiens,LEF1,tf,RL95-2,None,Uterus,1
57109|EPO,0.6356287559248188,Homo sapiens,EPO,not sure,RL95-2,None,Uterus,1
56235|PARP1,0.6356287559248188,Homo sapiens,PARP1,not sure,MCF-7,Epithelium,Breast,0
42789|TCF7L1,0.6356287559248188,Homo sapiens,TCF7L1,tf,LoVo,None,Colon,0
37181|STAT4,0.6356287559248188,Homo sapiens,STAT4,tf,None,Monocyte,Blood,0
2169|SOX2,0.6356287559248188,Homo sapiens,SOX2,tf,LN229,Glioblastoma cell,Brain,0
57116|LEF1,0.6356287559248188,Homo sapiens,LEF1,tf,RL95-2,None,Uterus,1
42647|BHLHE41,0.6356287559248188,Homo sapiens,BHLHE41,tf,LoVo,None,Colon,0
42646|BATF3,0.6356287559248188,Homo sapiens,BATF3,tf,LoVo,None,Colon,0
37187|STAT4,0.6356287559248188,Homo sapiens,STAT4,tf,None,Monocyte,Blood,0
56292|LMNA,0.6356287559248188,Homo sapiens,LMNA,not sure,None,Adipocyte,None,1
56293|LMNA,0.6356287559248188,Homo sapiens,LMNA,not sure,None,Adipocyte,None,1
42644|ATF7,0.6356287559248188,Homo sapiens,ATF7,tf,LoVo,None,Colon,0
42786|STAT4,0.6356287559248188,Homo sapiens,STAT4,tf,LoVo,None,Colon,0
42785|STAT1,0.6356287559248188,Homo sapiens,STAT1,tf,LoVo,None,Colon,0
37184|STAT4,0.6356287559248188,Homo sapiens,STAT4,tf,None,Monocyte,Blood,0
47094|EPAS1,0.6356287559248188,Homo sapiens,EPAS1,tf,None,Macrophage,None,0
42806|ZNF3,0.6356287559248188,Homo sapiens,ZNF3,tf,LoVo,None,Colon,0
55644|CDK9,0.6356287559248188,Homo sapiens,CDK9,tf,HCT-116,None,Colon,1
42811|BBX,0.6356287559248188,Homo sapiens,BBX,tf,LoVo,None,Colon,0
38665|CBFB,0.6356287559248188,Homo sapiens,CBFB,predicted transcription factor,LoVo,None,Colon,0
42675|HOXD4,0.6356287559248188,Homo sapiens,HOXD4,tf,LoVo,None,Colon,0
58584|KDM1A,0.6356287559248188,Homo sapiens,KDM1A,cr,LNCaP,Epithelium,Prostate,0
38660|TGIF1,0.6356287559248188,Homo sapiens,TGIF1,tf,LoVo,None,Colon,0
38659|ERG,0.6356287559248188,Homo sapiens,ERG,other,LoVo,None,Colon,0
40252|AR,0.6356287559248188,Homo sapiens,AR,tf,LNCaP,Epithelium,Prostate,0
42810|ASH1L,0.6356287559248188,Homo sapiens,ASH1L,cr,LoVo,None,Colon,0
58582|KDM1A,0.6356287559248188,Homo sapiens,KDM1A,cr,LNCaP,Epithelium,Prostate,0
42809|ARNTL2,0.6356287559248188,Homo sapiens,ARNTL2,tf,LoVo,None,Colon,0
731|ZNF274,0.6356287559248188,Homo sapiens,ZNF274,predicted transcription factor,GM12878,B Lymphocyte,Blood,0
42674|HOXD13,0.6356287559248188,Homo sapiens,HOXD13,tf,LoVo,None,Colon,0
42673|HOXD11,0.6356287559248188,Homo sapiens,HOXD11,tf,LoVo,None,Colon,0
1351|STAT1,0.6356287559248188,Homo sapiens,STAT1,tf,HeLa-S3,Epithelium,Cervix,0
33288|RAD21,0.6356287559248188,Homo sapiens,RAD21,not sure,None,Proerythroblast,Fetal Liver,0
38667|NKX3-1,0.6356287559248188,Homo sapiens,NKX3-1,tf,LoVo,None,Colon,0
1350|STAT1,0.6356287559248188,Homo sapiens,STAT1,tf,HeLa-S3,Epithelium,Cervix,0
42769|JAZF1,0.6356287559248188,Homo sapiens,JAZF1,not sure,LoVo,None,Colon,0
42812|BCL11A,0.6356287559248188,Homo sapiens,BCL11A,predicted transcription factor,LoVo,None,Colon,0
73096|RAD51,0.6356287559248188,Homo sapiens,RAD51,predicted chromatin regulator,U2OS,sarcoma-derived cells,None,0
47090|HIF1A,0.6356287559248188,Homo sapiens,HIF1A,predicted chromatin regulator,None,Macrophage,None,0
38674|NKX2-1,0.6356287559248188,Homo sapiens,NKX2-1,tf,LoVo,None,Colon,0
42881|ZBTB4,0.6356287559248188,Homo sapiens,ZBTB4,tf,LoVo,None,Colon,0
47082|HIF1A,0.6356287559248188,Homo sapiens,HIF1A,predicted chromatin regulator,None,Macrophage,None,0
42679|IRF3,0.6356287559248188,Homo sapiens,IRF3,tf,LoVo,None,Colon,0
42678|IKZF5,0.6356287559248188,Homo sapiens,IKZF5,tf,LoVo,None,Colon,0
38649|EOMES,0.6356287559248188,Homo sapiens,EOMES,tf,LoVo,None,Colon,0
42677|ID4,0.6356287559248188,Homo sapiens,ID4,predicted transcription factor,LoVo,None,Colon,0
