,coefficients,cell_line,cell_type,tissue
44103,-0.684259808549252,,T Lymphocyte,Blood
43764,0.6420040529920427,DND-41,T Lymphocyte,Blood
56501,-0.46873224605835334,MOLM-13,,
35394,0.4295571313851638,K562,Erythroblast,Bone Marrow
33161,0.42744327955570116,U87,,Brain
43750,0.37433229602811796,KOPT-K1,T Lymphocyte,Blood
62160,0.27169506942318267,,,Pancreatic ductal
62162,0.226072208529658,,,Pancreatic ductal
35092,-0.15890731378400158,OCI-Ly1,B Lymphocyte,Bone Marrow
55850,-0.004922947389932319,1015c,,
