Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
GMEB2,MS00183;3.82E-10,MS00182;1.31E-04,MS00721;1.49E-02,,
XBP1,UP00330;1.56E-08,MS00342;5.98E-04,,,
E2F4,MC00523;2.89E-08,,,,
PAX8,M00717;3.92E-08,,,,
E2F1,MS00815;4.43E-08,MC00182;1.73E-07,,,
Zscan10,M01742;4.58E-08,,,,
EGR4,MS00678;5.74E-08,,,,
EGR3,MS00567;7.72E-08,,,,
E2f4,MC00158;9.83E-08,,,,
KLF13,MS00124;1.68E-07,,,,
TEAD2,M00695;2.27E-07,,,,
CENPB,MS00534;2.48E-07,,,,
Myb,MC00408;3.42E-07,,,,
Klf12,MS00157;3.54E-07,,,,
Zfp161,UP00065;6.09E-07,,,,
E2F3,UP00003;8.04E-07,MS00734;1.41E-01,,,
E2f3,MC00510;9.32E-07,,,,
GLI2,MS00843;9.51E-07,,,,
HINFP,MA0131;9.87E-07,,,,
PAX3,M00327;1.07E-06,MS00119;8.75E-01,,,
Mybl1,UP00081;1.24E-06,,,,
MYB,UP00092;1.25E-06,,,,
HIF1A,MC00316;1.66E-06,,,,
Etv5,UP00412;1.68E-06,,,,
RUNX2,MS00173;1.92E-06,MS00174;5.46E-06,MC00215;6.47E-01,,
DEAF1,M01002;1.96E-06,,,,
MYBL1,MS00100;2.01E-06,MS00097;2.08E-04,,,
ZBTB7A,MC00376;2.21E-06,MS00301;2.16E-05,M01100;1.52E-02,,
ZIC2,UP00057;2.26E-06,M00449;1.95E-03,,,
ETV1,MC00427;2.28E-06,,,,
CREB3,MS00308;2.34E-06,,,,
ARNT,MC00262;2.49E-06,,,,
Egr3,MS00789;2.77E-06,,,,
Tbx3,MC00221;2.79E-06,,,,
BRCA1,MC00299;3.15E-06,,,,
PAX1,MS00117;3.31E-06,M00326;7.15E-03,M00808;3.78E-01,,
E2F1::TFDP2,M00737;3.82E-06,,,,
PAX5,MA0014;3.90E-06,MC00332;6.18E-05,M00143;2.59E-04,,
Snai1,MC00183;3.91E-06,,,,
SMAD3,UP00000;3.95E-06,MS00080;3.84E-02,MC00503;4.84E-02,,
ELF2,UP00404;4.41E-06,,,,
HINFP1,MS00090;4.47E-06,MS00079;8.97E-06,,,
YY2,MS00268;4.55E-06,,,,
E2F2,UP00001;4.87E-06,MS00712;7.05E-01,,,
KLF14,MS00135;5.10E-06,,,,
NR2C2,MC00509;5.90E-06,MS00651;8.55E-01,,,
NFYA,MC00364;6.43E-06,,,,
ZBTB33,MC00418;6.64E-06,M01119;5.13E-02,,,
SP1,MC00113;6.79E-06,MS00212;2.39E-05,,,
Rara,MC00252;6.81E-06,MS00698;7.34E-01,,,
SP4,MS00235;7.08E-06,,,,
Zfp128,UP00094;7.09E-06,,,,
Zic3,UP00006;7.25E-06,MS00523;7.60E-03,,,
Nfya,MC00191;7.54E-06,,,,
SP2,M01783;8.46E-06,,,,
PROX1,MS00160;8.53E-06,,,,
ZNF143,MC00391;9.34E-06,,,,
Stat3,MC00140;9.94E-06,,,,
E2F6,MC00254;1.01E-05,M01252;6.95E-05,,,
NR0B1,M01248;1.03E-05,,,,
HES1,M01009;1.03E-05,,,,
PAX4,M00373;1.08E-05,M00378;2.74E-03,MS00121;9.17E-02,,
E2F1::TFDP1,M00736;1.08E-05,,,,
Elk3,MS00023;1.10E-05,,,,
Nkx1-1,M01334;1.14E-05,,,,
ZBTB7C,MS00323;1.24E-05,,,,
FOXN1,M00332;1.35E-05,,,,
Egr2,MC00430;1.38E-05,,,,
Max,MC00461;1.40E-05,,,,
REST,MC00174;1.45E-05,,,,
GTF2IRD1,M01241;1.51E-05,M01229;1.01E-01,,,
Gmeb1,UP00084;1.57E-05,,,,
VSX1,MS00626;1.62E-05,,,,
PLAGL1,UP00088;1.63E-05,,,,
ELK4,MC00207;1.74E-05,,,,
FEV,MS00025;1.98E-05,,,,
MYBL2,MS00102;2.07E-05,MS00105;8.97E-04,MS00103;2.45E-02,,
Klf7,UP00093;2.11E-05,,,,
NR1H3,M00647;2.45E-05,,,,
VDR,MC00412;2.65E-05,M00961;5.27E-03,M00444;5.85E-03,,
HMGN1,MC00502;2.80E-05,,,,
Elf4,UP00413;2.83E-05,,,,
ZBTB7B,MS00312;2.95E-05,M01175;2.46E-04,,,
