,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
32889|FOXM1,1.380482476310228e-114,Homo sapiens,FOXM1,tf,U2OS,None,Bone,1,FOXM1
63740|E2F4,1.7941853054203744e-101,Homo sapiens,E2F4,tf,MCF-7,Epithelium,Breast,0,E2F4
56251|MYBL2,4.1378123571229566e-95,Homo sapiens,MYBL2,tf,None,Epithelium,Mammary Gland,1,MYBL2
72935|HDAC2,5.046599639899782e-51,Homo sapiens,HDAC2,cr,None,Cardiomyocyte,None,0,HDAC2
1876|RBL2,3.4878061873970018e-43,Homo sapiens,RBL2,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,0,RBL2
67459|E2F1,1.2356543521950026e-36,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1,E2F1
8774|HDAC1,7.067959422476721e-35,Homo sapiens,HDAC1,cr,K562,Erythroblast,Bone Marrow,1,HDAC1
43572|RNF2,5.373220792808906e-34,Homo sapiens,RNF2,predicted transcription factor,None,Fibroblast,Foreskin,1,RNF2
5888|LIN9,4.94212946877632e-29,Homo sapiens,LIN9,not sure,HeLa,Epithelium,Cervix,1,LIN9
8799|SAP30,6.270703419747806e-27,Homo sapiens,SAP30,not sure,K562,Erythroblast,Bone Marrow,1,SAP30
77534|TFDP1,1.5019333767754124e-25,Homo sapiens,TFDP1,tf,U266B1,None,None,1,TFDP1
42738|NFYA,2.8978690141888117e-19,Homo sapiens,NFYA,tf,LoVo,None,Colon,1,NFYA
41572|ING2,1.457238640622673e-18,Homo sapiens,ING2,predicted chromatin regulator,RKO,Epithelium,Colon,1,ING2
45609|IRF3,2.7315058702855994e-18,Homo sapiens,IRF3,tf,GM12878,B Lymphocyte,Blood,1,IRF3
48594|AGO1,1.1092593961587143e-17,Homo sapiens,AGO1,other,MCF-7,Epithelium,Breast,1,AGO1
64039|HBP1,1.4209156019539906e-17,Homo sapiens,HBP1,tf,HepG2,Epithelium,Liver,1,HBP1
42752|BARX1,2.6906134464440505e-16,Homo sapiens,BARX1,tf,LoVo,None,Colon,1,BARX1
45758|NFYB,2.802044034083398e-16,Homo sapiens,NFYB,tf,HeLa-S3,Epithelium,Cervix,1,NFYB
68635|KMT2D,4.869728672350563e-16,Homo sapiens,KMT2D,cr,None,patient derived xenograft cells,None,1,KMT2D
42774|NFYC,5.144328785631042e-16,Homo sapiens,NFYC,tf,LoVo,None,Colon,1,NFYC
64868|SIN3A,6.534964208834171e-16,Homo sapiens,SIN3A,tf,K562,Erythroblast,Bone Marrow,1,SIN3A
63302|NKRF,2.6722446250208742e-15,Homo sapiens,NKRF,,K562,Erythroblast,Bone Marrow,1,NKRF
51750|FOXP1,5.124613708596697e-15,Homo sapiens,FOXP1,tf,LNCaP,Epithelium,Prostate,1,FOXP1
45606|FOS,6.0723898414013515e-15,Homo sapiens,FOS,tf,GM12878,B Lymphocyte,Blood,1,FOS
45802|CHD2,7.301410097523893e-15,Homo sapiens,CHD2,cr,HepG2,Epithelium,Liver,1,CHD2
38820|BARX2,1.5887353306327904e-14,Homo sapiens,BARX2,tf,LoVo,None,Colon,1,BARX2
56353|CDK8,1.844490006667076e-14,Homo sapiens,CDK8,tf,MOLM-14,Myeloid Cell,None,1,CDK8
68490|KAT5,3.002695798704533e-14,Homo sapiens,KAT5,cr,K562,Lymphoblast,None,1,KAT5
65057|TGIF2,4.015723205442977e-14,Homo sapiens,TGIF2,tf,HepG2,Epithelium,Liver,1,TGIF2
36362|GTF2B,8.441749331611259e-14,Homo sapiens,GTF2B,tf,IMR90,Fibroblast,Lung,1,GTF2B
63105|ATF1,1.1901741951987857e-13,Homo sapiens,ATF1,tf,HepG2,Epithelium,Liver,1,ATF1
53076|RBP2,2.850670412833855e-13,Homo sapiens,RBP2,other,U937,None,Pleura,1,RBP2
69815|NELFE,3.609019964316953e-13,Homo sapiens,NELFE,not sure,MCF-7,Human Breast Cancer Cell,Breast,1,NELFE
64302|E2F5,7.473595897101176e-13,Homo sapiens,E2F5,,K562,Erythroblast,Bone Marrow,1,E2F5
76205|AR,8.914029288441878e-13,Homo sapiens,AR,tf,None,Fibroblast,Prostate,1,AR
56049|CREB1,1.1380107486907936e-12,Homo sapiens,CREB1,tf,HepG2,Epithelium,Liver,1,CREB1
42715|GLI2,1.3236549829616168e-12,Homo sapiens,GLI2,tf,LoVo,None,Colon,1,GLI2
70755|MYC,1.3807705755240806e-12,Homo sapiens,MYC,tf,LNCaP,None,LNCaP cells,1,MYC
38724|GMEB2,2.695887559170848e-12,Homo sapiens,GMEB2,tf,LoVo,None,Colon,1,GMEB2
47416|ERG,3.0480894483204484e-12,Homo sapiens,ERG,other,Jurkat,T Lymphocyte,Blood,1,ERG
73696|LEO1,3.5485898406194195e-12,Homo sapiens,LEO1,predicted chromatin regulator,SEM,B Lymphocyte,None,1,LEO1
50107|CHRM2,3.906296301105588e-12,Homo sapiens,CHRM2,predicted chromatin regulator,U937,None,Pleura,1,CHRM2
1312|PHF8,7.521518234539412e-12,Homo sapiens,PHF8,cr,HeLa,Epithelium,Cervix,0,PHF8
38771|SP1,8.297706248693213e-12,Homo sapiens,SP1,predicted chromatin regulator,LoVo,None,Colon,1,SP1
53673|NIPBL,9.038942791238113e-12,Homo sapiens,NIPBL,not sure,None,Embryonic Stem Cell,None,1,NIPBL
72408|PARP1,1.075272098772717e-11,Homo sapiens,PARP1,not sure,MCF-7,Human Breast Cancer Cell,Breast,1,PARP1
71137|BRD4,1.157173093385242e-11,Homo sapiens,BRD4,cr,MCF-10A,Epithelium,None,1,BRD4
1226|TRRAP,1.1648281511104368e-11,Homo sapiens,TRRAP,cr,HeLa,Epithelium,Cervix,1,TRRAP
38784|RFX1,1.3304091610897205e-11,Homo sapiens,RFX1,tf,LoVo,None,Colon,1,RFX1
51103|CHD8,1.3627656877242244e-11,Homo sapiens,CHD8,cr,None,Neural Stem Cell,None,1,CHD8
64797|CREM,1.6327420384882826e-11,Homo sapiens,CREM,tf,HepG2,Epithelium,Liver,1,CREM
42744|RELA,1.740202177813909e-11,Homo sapiens,RELA,tf,LoVo,None,Colon,1,RELA
43400|XBP1,2.2111099833461046e-11,Homo sapiens,XBP1,tf,T47D,Epithelium,Mammary Gland,1,XBP1
74673|RUVBL1,3.2751032844920785e-11,Homo sapiens,RUVBL1,cr,HepG2,Epithelium,Liver,1,RUVBL1
55468|NELFA,3.4808145504958114e-11,Homo sapiens,NELFA,not sure,HeLa,Epithelium,Cervix,1,NELFA
63128|MNT,4.327333793700817e-11,Homo sapiens,MNT,tf,HepG2,Epithelium,Liver,1,MNT
49493|CDK7,5.200283072680925e-11,Homo sapiens,CDK7,predicted transcription factor,Jurkat,T Lymphocyte,Blood,1,CDK7
63029|MBD2,5.970161009721563e-11,Homo sapiens,MBD2,cr,K562,Erythroblast,Bone Marrow,1,MBD2
74209|BRD2,6.39924061783246e-11,Homo sapiens,BRD2,predicted chromatin regulator,SF8628,None,Pontine,1,BRD2
46077|TAF1,7.089834980756292e-11,Homo sapiens,TAF1,tf,A549,Epithelium,Lung,1,TAF1
38585|TAF3,7.490377717915359e-11,Homo sapiens,TAF3,cr,None,Epithelium,Colon,1,TAF3
63362|C11orf30,8.477834366738645e-11,Homo sapiens,C11orf30,,K562,Erythroblast,Bone Marrow,1,C11orf30
9216|POLR2B,1.0570604249526088e-10,Homo sapiens,POLR2B,tf,HeLa,Epithelium,Cervix,1,POLR2B
