,0,TF
MS00312|ZBTB7B,4.394868032529149e-06,ZBTB7B
M00222|TCF3,4.8039713942730515e-06,TCF3
MS00251|BHLHE41,5.75118556885861e-06,BHLHE41
MS00846|ERF,5.8636572607136446e-06,ERF
MC00144|Rfx1,5.866887650931855e-06,Rfx1
MC00281|PBX3,8.240931429019476e-06,PBX3
UP00028|Tcfap2e,9.71223255719925e-06,Tcfap2e
MC00457|ELF1,9.882191735489874e-06,ELF1
MS00050|GCM2,1.2006475429954879e-05,GCM2
UP00418|Etv6,1.2252557126584816e-05,Etv6
M01592|TFCP2L1,1.2422007956113933e-05,TFCP2L1
MS00016|ETV2,1.2481676708028786e-05,ETV2
MS00227|TFAP2A,1.3571396803042978e-05,TFAP2A
MC00257|Pax5,1.4497427987461372e-05,Pax5
UP00010|Tcfap2b,1.4923332105112282e-05,Tcfap2b
UP00038|Spdef,1.5511158193315467e-05,Spdef
MS00019|ETV5,1.636085442717035e-05,ETV5
MS00288|TFE3,1.8366496423101614e-05,TFE3
MC00448|Nr1h2,1.904347781767141e-05,Nr1h2
MS00146|KLF16,2.267647143623653e-05,KLF16
M01109|ZNF589,2.317233848456217e-05,ZNF589
MS00423|ZNF524,2.3725112110605312e-05,ZNF524
UP00035|HIC1,2.4943157625992474e-05,HIC1
MS00255|HES5,2.651087495692232e-05,HES5
MS00684|RARG,3.125341589781588e-05,RARG
MS00304|CREB3L1,3.333713497511022e-05,CREB3L1
M01425|HNF1B,3.6282003560255636e-05,HNF1B
MC00109|Klf4,3.693126796953369e-05,Klf4
MC00367|GABPA,3.911001202237325e-05,GABPA
MS00022|Elf5,4.073511441811809e-05,Elf5
MS00065|IRF4,4.6648973808832364e-05,IRF4
UP00052|Osr2,4.753563483175608e-05,Osr2
MC00224|EPAS1,5.789491410158196e-05,EPAS1
M00179|ATF2,5.9195783237679885e-05,ATF2
MS00067|IRF5,6.051803997826529e-05,IRF5
MS00171|Rfx2,6.31055354965021e-05,Rfx2
UP00086|IRF3,6.400369964930825e-05,IRF3
MC00203|RFX3,6.424897088311564e-05,RFX3
MC00187|Ctcf,7.41970925618727e-05,Ctcf
MC00110|Klf1,7.727099011351171e-05,Klf1
MS00223|SP3,7.763177735257627e-05,SP3
UP00056|RFX4,9.37631539719032e-05,RFX4
MC00319|EGR2,9.698862043988399e-05,EGR2
UP00018|Irf4,0.00010183360825996468,Irf4
MS00258|HEY1,0.00010334187689070236,HEY1
M01037|GLI1,0.00010611423084549273,GLI1
UP00027|Osr1,0.00011268667453761013,Osr1
MS00211|TBX2,0.00011520362583644904,TBX2
MS00335|Mafb,0.00012173223296933398,Mafb
MS00188|MGA,0.00012840360860126584,MGA
MC00160|ETV3,0.00013513352122744278,ETV3
MS00256|HES7,0.00013634770998678867,HES7
MS00202|TBX20,0.0001429254769375597,TBX20
MA0155|INSM1,0.000144530872750273,INSM1
MC00532|Mycn,0.0001459110209284244,Mycn
MS00357|ZIC4,0.0001459357061558199,ZIC4
MS00248|BHLHB3,0.00017494072684875051,BHLHB3
MS00331|MAFK,0.0001775865505465818,MAFK
MS00401|ZNF306,0.00018165257737927888,ZNF306
UP00112|Gsc,0.00019445054181628082,Gsc
MS00526|IRX2,0.0002067496300978609,IRX2
MS00027|FLI1,0.00022710397671738875,FLI1
MS00252|Bhlhb2,0.00024516000409049283,Bhlhb2
M00115|CNTN2::CREB1,0.0002451990639113712,CNTN2::CREB1
M00792|SMAD1,0.00025376484775383395,SMAD1
MC00473|ATF3,0.0002573291683666132,ATF3
MC00170|PGR,0.0002695949156693457,PGR
M00456|BPTF,0.0002710481907765186,BPTF
MC00458|TAL1,0.000281584048181874,TAL1
M00454|ARID5B,0.0003359243713651667,ARID5B
M00694|E4F1,0.0003442064019760197,E4F1
MS00414|BARHL2,0.00039815925621515405,BARHL2
M01104|Ovol2,0.0004486307581989889,Ovol2
MS00527|IRX5,0.0005035244922209045,IRX5
MS00085|MEIS3,0.0005147211086271209,MEIS3
MC00206|ELK1,0.0005568823578352713,ELK1
MC00388|Tal1,0.0005970761770715241,Tal1
M00733|SMAD4,0.000608868677161363,SMAD4
MC00328|Zfx,0.0007012210115390327,Zfx
MC00124|MAX,0.0007066103901377157,MAX
MC00394|MYC,0.000707376446439046,MYC
MC00333|ESR2,0.0007220220420899775,ESR2
MC00373|Mxi1,0.0007224198716417246,Mxi1
MS00247|BHLHB2,0.0007796439138042908,BHLHB2
MS00848|ERG,0.0008521026365795388,ERG
M00468|KLF12,0.0009044692526819691,KLF12
M00491|PATZ1,0.0009148709020124346,PATZ1
MS00214|TBX4,0.0009490548860878345,TBX4
MS00253|CLOCK,0.0009715306305579073,CLOCK
MA0161|NFIC,0.0011307788209075568,NFIC
MS00162|RFX2,0.0011745942699087273,RFX2
M00649|MAZ,0.0012084212664552091,MAZ
MS00021|ETV6,0.001222395033157568,ETV6
M00088|IKZF1,0.0012602319951431984,IKZF1
MS00070|IRF7,0.0013954031256701834,IRF7
MS00087|Meis2,0.001484005092367758,Meis2
M01714|KLF15,0.001487028925931243,KLF15
MS00291|Tcf21,0.0015955230423992204,Tcf21
MS00778|EHF,0.001597052398005385,EHF
M00133|POU3F1,0.001814079017863852,POU3F1
MS00243|Ascl2,0.0018661479302561183,Ascl2
MS00217|TBX5,0.0022446090589474926,TBX5
M00085|ZBTB6,0.0023456943482837596,ZBTB6
MS00057|HIC2,0.0023722922658106914,HIC2
MC00125|Rest,0.0024508039696967444,Rest
MS00433|DMBX1,0.002530960686542154,DMBX1
MC00372|Yy1,0.0026442087727643455,Yy1
MS00421|Barhl1,0.0027624984652110662,Barhl1
MS00290|ZBED1,0.0027960393228842082,ZBED1
UP00095|Zfp691,0.0028419666320736326,Zfp691
MS00475|HMX3,0.0028679337163091813,HMX3
M01734|NFATC4,0.003146653846042923,NFATC4
MS00838|ELF5,0.003429293282516436,ELF5
MS00300|CEBPE,0.0034969426660223504,CEBPE
UP00066|HNF4A,0.003568317003128695,HNF4A
M01262|TBX18,0.003575303726870892,TBX18
MS00612|CUX1,0.003659690068380912,CUX1
UP00193|Rhox11,0.0037220143378941454,Rhox11
MS00327|MAFG,0.004195024449329884,MAFG
MS00812|ELF3,0.004408072326479554,ELF3
M00041|ATF2::JUN,0.004611544257873766,ATF2::JUN
MC00342|YY1,0.004738385067556954,YY1
MC00370|Npas4,0.004819857661686632,Npas4
MS00756|E2F7,0.004996782468056121,E2F7
MA0145|Tcfcp2l1,0.005128227366553144,Tcfcp2l1
MS00274|NHLH1,0.005246043646509487,NHLH1
MS00246|SP8,0.005310421970958106,SP8
M01288|NEUROD1,0.005802768529565234,NEUROD1
MS00177|RUNX3,0.005825621870703926,RUNX3
M00999|AIRE,0.00628737253903849,AIRE
UP00243|Isx,0.006616979343466934,Isx
MC00468|AR,0.006803638197392424,AR
M00220|SREBF1,0.006823085227043498,SREBF1
MA0163|PLAG1,0.007301197328459368,PLAG1
MS00270|Mlx,0.0073837232661941084,Mlx
MC00407|Myc,0.007791873564634578,Myc
MC00111|Bcl6,0.007901937585110123,Bcl6
M01122|ZNF219,0.00798173147488959,ZNF219
MS00047|GCM1,0.007997135086253028,GCM1
MS00686|RORA,0.008045899539799025,RORA
MC00276|EOMES,0.008364243383930402,EOMES
MS00436|DPRX,0.008420137737164714,DPRX
MC00289|HSF1,0.008602063084218289,HSF1
MS00392|Foxg1,0.008848386405067365,Foxg1
MC00477|ZNF711,0.009252831006266525,ZNF711
MS00110|NFKB1,0.009938343694451237,NFKB1
MS00479|ZNF784,0.01002898783102634,ZNF784
UP00132|Evx2,0.010730409847129703,Evx2
MC00377|Trp53,0.010802714237066767,Trp53
MS00694|RXRG,0.010987475946255447,RXRG
MC00305|Sox6,0.011205184738788085,Sox6
M01118|WT1,0.011284957491493428,WT1
MS00727|ZBTB49,0.011549325983488016,ZBTB49
UP00019|ZBTB12,0.011589763615743983,ZBTB12
UP00033|Zfp410,0.011920862708229257,Zfp410
UP00114|Homez,0.01207962144029609,Homez
MS00359|FOXD3,0.012797485091847796,FOXD3
MC00355|SRF,0.013243510518128344,SRF
MS00729|ZNF282,0.013368531738400174,ZNF282
MS00638|ESRRG,0.013622658179125292,ESRRG
MS00739|E2F8,0.013685388688865277,E2F8
MS00338|NRL,0.015206458068087975,NRL
MC00163|Creb1,0.015427004670039882,Creb1
MS00266|MLX,0.015552286069536967,MLX
MS00093|Pknox2,0.016040659743242414,Pknox2
MC00439|TP63,0.016374938052522697,TP63
M01207|ETS2,0.016542919498062664,ETS2
M00433|Hmx3,0.016670015487384438,Hmx3
MC00518|Tfcp2,0.017417634788760596,Tfcp2
MC00356|Tbx21,0.01778366247077936,Tbx21
M00155|NR2F2,0.01795292940357394,NR2F2
MS00398|Foxk1,0.01857575431861397,Foxk1
MS00710|THRB,0.018873701329090883,THRB
MS00101|Hic1,0.019971079116683273,Hic1
MS00072|IRF8,0.02042228498723276,IRF8
MC00121|Cebpb,0.02078658244308078,Cebpb
MS00282|Srebf1,0.020859329599244483,Srebf1
MC00223|SMAD2/3,0.022241987001224806,SMAD2/3
MA0108|TBP,0.022278439889225666,TBP
MS00588|PDX1,0.02264865949612168,PDX1
MC00339|NFE2L2,0.02388864544962897,NFE2L2
MC00440|NANOG,0.024144926812220687,NANOG
MS00194|TBX19,0.02625168457605877,TBX19
MS00055|HOMEZ,0.026512685387464686,HOMEZ
MC00335|ESR1,0.02747476101916578,ESR1
MC00288|POU2F1,0.028464476519489197,POU2F1
MS00294|ATF7,0.03051349493552078,ATF7
M01105|ZNF350,0.03058578048966999,ZNF350
MC00232|MEF2A,0.030652813980840972,MEF2A
MS00269|MYF6,0.03275687278582874,MYF6
M01195|TBX22,0.033122186905742854,TBX22
MS00169|RFX5,0.033932775936299155,RFX5
M00159|CEBPA,0.03420881068786337,CEBPA
M00678|ETV7,0.034593681424192536,ETV7
MS00383|FOXO4,0.035675897698791356,FOXO4
M00072|TFCP2,0.03632625873937468,TFCP2
M01112|RBPJ,0.036922047428476906,RBPJ
M00644|UBP1,0.037514733902650754,UBP1
M01399|Hlx,0.03847756702500991,Hlx
MC00476|Rarg,0.03880910519849391,Rarg
MS00658|NR2F6,0.03899058816335971,NR2F6
MS00311|Creb3l2,0.039503026559351714,Creb3l2
MS00115|NFIX,0.03974747952522965,NFIX
M00518|PPARG::RXRA,0.039873141638457954,PPARG::RXRA
MC00475|Nfic,0.041102525517004634,Nfic
MS00553|MEOX2,0.041378219417772075,MEOX2
MS00073|IRF9,0.04159837285366268,IRF9
M01108|HOXA7,0.04160617432486006,HOXA7
MA0081|SPIB,0.0417238071950972,SPIB
UP00199|SIX4,0.04262630218030524,SIX4
MC00272|CEBPB,0.04330929897249794,CEBPB
MC00362|Arntl,0.04354034857306876,Arntl
UP00020|ATF1,0.04760420813408118,ATF1
MA0017|NR2F1,0.048459358682582034,NR2F1
MS00709|THRA,0.049425936178665364,THRA
MS00092|PKNOX2,0.0508160576515784,PKNOX2
MS00089|Meis3,0.052478153182570327,Meis3
MS00197|TBX1,0.05344051845310886,TBX1
MC00129|Fli1,0.05347527018821348,Fli1
MS00325|Jdp2,0.054128871097598605,Jdp2
UP00082|Zfp187,0.05449815778623249,Zfp187
MC00465|NR3C1,0.055129917551539676,NR3C1
MS00662|NR3C2,0.05559267062616997,NR3C2
UP00259|HOXB6,0.055625282233888566,HOXB6
MS00464|GSC,0.05876963135703464,GSC
MS00387|FOXP3,0.06024082624326288,FOXP3
MA0116|Zfp423,0.0610261204833898,Zfp423
UP00045|MAFB,0.06395510387014225,MAFB
M00500|STAT6,0.0671606350830284,STAT6
MS00285|TCF4,0.06736196562890655,TCF4
MS00386|FOXO6,0.06832447488047708,FOXO6
MS00320|JDP2,0.06983780299783482,JDP2
MS00125|PAX6,0.06994882987009556,PAX6
MS00473|HMX1,0.07027067620441207,HMX1
UP00031|Zbtb3,0.07181627445294007,Zbtb3
MS00313|Creb5,0.07307485151879467,Creb5
MC00374|TFAP2C,0.07923543095579823,TFAP2C
MS00289|TFEB,0.08467200607880299,TFEB
MS00556|GRHL1,0.0849643579969004,GRHL1
MS00795|Sox11,0.08767604109879563,Sox11
MS00472|HMBOX1,0.09122763831287675,HMBOX1
MS00394|Foxj3,0.09275828622928152,Foxj3
