,0,TF
MS00555|MIXL1,0.6584136087313504,MIXL1
MC00385|Ets1,0.6588558500782202,Ets1
MS00520|Hoxd13,0.6687102030902733,Hoxd13
MS00634|CUX2,0.6687202039367897,CUX2
MS00316|Dbp,0.67693595241646,Dbp
UP00177|Hoxd12,0.6778416044251967,Hoxd12
MC00501|FOXP1,0.6783598793628671,FOXP1
M00241|NKX2-5,0.681790233395776,NKX2-5
MS00361|FOXG1,0.6828567773689784,FOXG1
MS00437|DRGX,0.6829742632062962,DRGX
MS00153|POU5F1P1,0.6844140228512474,POU5F1P1
MS00571|NKX2-8,0.6868501806454475,NKX2-8
MC00514|Cbfa2t2,0.6897837498189314,Cbfa2t2
MS00805|Sox3,0.6901351704644465,Sox3
UP00242|HOXC8,0.6945452357859621,HOXC8
M00712|MYOG,0.6967171332059192,MYOG
MS00390|ZNF238,0.698544551477478,ZNF238
MS00137|POU2F3,0.7040722218480293,POU2F3
MS00487|HOXA2,0.7046032870322161,HOXA2
UP00262|Lhx1,0.7066489457836906,Lhx1
MS00369|FOXJ3,0.7091126039517361,FOXJ3
MS00731|ZNF713,0.7098066462032655,ZNF713
MC00204|Stat5b,0.710993341483176,Stat5b
MS00126|PAX7,0.7131187994119081,PAX7
MS00439|Dlx1,0.7142214640289054,Dlx1
MC00162|LMO2,0.7159587148768036,LMO2
MS00750|SOX15,0.7176332407986012,SOX15
MC00347|STAT4,0.717712806790195,STAT4
MC00154|Jund,0.7202658747836524,Jund
MC00151|SPI1,0.7211201196350405,SPI1
M01312|NKX2-1,0.7220599908419914,NKX2-1
MA0031|FOXD1,0.7263295805611291,FOXD1
M01326|GSX2,0.728049725849979,GSX2
UP00223|Irx3,0.7282245871772729,Irx3
MS00402|ALX3,0.7314525656357577,ALX3
MA0051|IRF2,0.7318971310585873,IRF2
M00420|MEIS1::HOXA9,0.7320453009525894,MEIS1::HOXA9
MS00378|FOXO3,0.735060185808861,FOXO3
MC00453|STAT5A,0.7353659303608457,STAT5A
MC00280|NR4A1,0.7396116763218883,NR4A1
MS00041|Spic,0.7424729931938463,Spic
MS00785|SOX9,0.742567644044733,SOX9
MC00452|STAT5B,0.7444260894757287,STAT5B
MS00618|Uncx,0.7451656011662117,Uncx
M00648|MAF,0.7458753130962037,MAF
MS00143|POU3F3,0.7463468946856591,POU3F3
M01450|Obox1,0.7482952004422974,Obox1
UP00091|SOX5,0.7485497651909823,SOX5
MS00769|SOX7,0.7491806611324743,SOX7
UP00139|Nkx1-2,0.7515687247890879,Nkx1-2
MS00836|HOXD12,0.7520861064045337,HOXD12
MS00708|Rxrb,0.7537856185972465,Rxrb
UP00237|Otp,0.7552994256057828,Otp
MS00521|Hoxd3,0.755766444042082,Hoxd3
MC00134|Ppara,0.7558473071058218,Ppara
M01694|Yy2,0.7597087827599392,Yy2
UP00388|SIX6,0.7609799320772697,SIX6
MS00593|PHOX2B,0.7611918825599331,PHOX2B
M00495|BACH1,0.7618056396199815,BACH1
M00632|GATA4,0.7636945608686682,GATA4
MS00485|HOXA13,0.7652260099114547,HOXA13
UP00391|HOXA3,0.7664717619210912,HOXA3
UP00014|Sox17,0.7665233810977559,Sox17
MC00369|Myod1,0.7678618840283691,Myod1
M01075|ZBTB16,0.7775130607288651,ZBTB16
MS00566|NKX2-3,0.7806359478152554,NKX2-3
MS00445|ZNF740,0.7821297127645936,ZNF740
MA0030|FOXF2,0.782967751127373,FOXF2
M00467|ZNF423,0.7852699068806177,ZNF423
MS00528|ISL2,0.7863629939105179,ISL2
M01004|IKZF2,0.789268547868285,IKZF2
MS00757|SOX21,0.7894460659954807,SOX21
MS00578|NOTO,0.7895211275461729,NOTO
MS00787|SRY,0.7922366512892398,SRY
UP00168|Hoxd8,0.7928149599630014,Hoxd8
MS00295|Atf4,0.7932178670835991,Atf4
MS00563|Meox2,0.7937481212818509,Meox2
MC00358|Ebf1,0.7965885276075433,Ebf1
MS00628|Vsx1,0.7988624826559767,Vsx1
MS00059|HSF2,0.7991280723400527,HSF2
MS00573|NKX3-2,0.8007533825104434,NKX3-2
UP00130|LHX3,0.807939000086847,LHX3
MC00312|RUNX1,0.8084987386803681,RUNX1
UP00189|HOXA5,0.8132041809235998,HOXA5
MS00551|MEOX1,0.8161709986103467,MEOX1
UP00170|Isl2,0.8206479694746253,Isl2
MS00452|ESX1,0.823062193456522,ESX1
MS00060|HSF4,0.82509712812123,HSF4
MS00083|MEIS2,0.8255884643835294,MEIS2
MC00524|Nr1d1,0.8291906608508663,Nr1d1
MC00178|Nkx2-5,0.8294315717818932,Nkx2-5
MS00575|NKX6-1,0.8300828809170914,NKX6-1
MS00149|POU4F2,0.8323559175987874,POU4F2
MS00512|Zfp740,0.8326465304427585,Zfp740
MS00224|TEAD4,0.8342669602022142,TEAD4
MS00497|HOXC11,0.837259187580683,HOXC11
M01295|ATF5,0.8390371658967043,ATF5
MS00602|PRRX1,0.8409274032843683,PRRX1
UP00012|Bbx,0.8420463803561287,Bbx
UP00064|Sox18,0.8426543412111787,Sox18
M01146|DMRT1,0.8441598106242476,DMRT1
MS00547|Lhx4,0.8444115215412424,Lhx4
MS00444|EMX2,0.8462082487180987,EMX2
M01479|POU6F1,0.8493962399705837,POU6F1
M01282|PPARA,0.8505976886329407,PPARA
MS00075|MEF2B,0.8540201931656898,MEF2B
M01268|NR1H4,0.8540951894159176,NR1H4
UP00182|HOXA6,0.8546716790037392,HOXA6
UP00194|IRX4,0.8587047133541865,IRX4
UP00069|Sox1,0.8590147609049644,Sox1
MS00267|MNT,0.8590845614340102,MNT
MC00233|Pou5f1,0.8595677229090308,Pou5f1
MS00774|SOX8,0.8601338163033514,SOX8
UP00041|Foxj1,0.8606328447876341,Foxj1
MS00408|Alx4,0.8633658320806463,Alx4
MC00506|Spi1,0.8650041502538998,Spi1
MC00325|Gata2,0.8667941447203791,Gata2
MC00327|Gata1,0.867454600853055,Gata1
M01723|SATB1,0.8676897483158164,SATB1
MS00054|Tcf7,0.8680189927051751,Tcf7
UP00215|Vax1,0.8703458235689348,Vax1
MC00120|GATA1,0.8774472993378861,GATA1
MS00201|SNAI2,0.8774543020527478,SNAI2
M01151|Dmrtc2,0.8778460609857058,Dmrtc2
MC00411|BATF,0.882543327580279,BATF
MS00561|MSX2,0.8833268972491756,MSX2
MA0125|Nobox,0.8859229124587946,Nobox
MA0152|NFATC2,0.8878400083091147,NFATC2
MS00405|ARX,0.8906367779665052,ARX
MS00480|HOXA10,0.8921628291364603,HOXA10
MS00794|Sox10,0.8953717072992712,Sox10
M01069|GZF1,0.8959514349647458,GZF1
MS00431|DLX5,0.8985951261634292,DLX5
UP00037|Zfp105,0.8986974983879414,Zfp105
MS00558|MSX1,0.9019543310395317,MSX1
MC00165|Pdx1,0.9077733175301336,Pdx1
UP00260|Hoxc6,0.9102804392410018,Hoxc6
MS00287|TFAP4,0.9115435197886715,TFAP4
UP00151|BARX2,0.9116135937660776,BARX2
MS00581|Nkx6-1,0.9126642172837228,Nkx6-1
MS00669|Nr2f6,0.9145431119616805,Nr2f6
MC00195|Myf5,0.9149259947955366,Myf5
MA0103|ZEB1,0.9162180150779082,ZEB1
M00294|Foxf1a,0.9164300871355104,Foxf1a
UP00071|Sox21,0.9188230969385536,Sox21
MS00496|HOXC10,0.9220847117061335,HOXC10
MS00564|Msx3,0.9221651439523113,Msx3
M01722|RORB,0.9244308699266259,RORB
MS00076|MEF2D,0.9256652427725247,MEF2D
M01300|HMGA2,0.9277668457346938,HMGA2
MS00492|HOXB3,0.9293102213695427,HOXB3
MS00486|HOXA1,0.9299742974009882,HOXA1
UP00241|HOXD3,0.9304319665435253,HOXD3
MS00151|POU4F3,0.9304664615271752,POU4F3
MS00348|FOXB1,0.9311728845218729,FOXB1
MS00502|HOXC12,0.9318449077681359,HOXC12
UP00244|TLX2,0.9344672822074062,TLX2
MA0040|Foxq1,0.9371424189436847,Foxq1
MS00430|DLX4,0.9373254192323675,DLX4
MS00604|Prrx2,0.9374331200043695,Prrx2
MS00572|NKX3-1,0.9379047107385524,NKX3-1
MS00507|HOXD11,0.9379538103387469,HOXD11
M01733|MZF1,0.938164086326489,MZF1
MS00432|DLX6,0.9382994019769592,DLX6
UP00004|Sox14,0.9393802422318218,Sox14
UP00169|LMX1B,0.942427193985272,LMX1B
MS00261|ID4,0.944509200340073,ID4
MC00511|Rxrg,0.9462806672891024,Rxrg
MC00135|Rela,0.9471943381712326,Rela
UP00119|Nkx2-9,0.9482826851430226,Nkx2-9
UP00185|PBX1,0.9482889415807022,PBX1
MS00679|ONECUT2,0.949284356732037,ONECUT2
MC00351|FOSL1,0.9498104877360134,FOSL1
MC00512|Esrrb,0.949830730279433,Esrrb
MS00543|LMX1A,0.9499704141350979,LMX1A
MS00692|RXRB,0.9501225721987924,RXRB
MS00603|PRRX2,0.9502569993039485,PRRX2
MS00505|HOXC13,0.9539200689667784,HOXC13
MC00250|Nkx3-1,0.9553245955989341,Nkx3-1
UP00206|Hoxb7,0.9556382453538856,Hoxb7
MS00366|FOXJ2,0.9559574961425203,FOXJ2
MS00667|ONECUT1,0.9560058611227518,ONECUT1
MC00329|Srf,0.956294175230135,Srf
MS00732|CPEB1,0.9570090483587023,CPEB1
UP00211|Pou3f3,0.9576364213583793,Pou3f3
M00750|HMGA1,0.9581236937997034,HMGA1
M01127|ISL1,0.9584101113744887,ISL1
MS00490|ZSCAN4,0.9584485912760047,ZSCAN4
MS00605|RAXL1,0.9591015819734823,RAXL1
MS00429|DLX3,0.959739610261465,DLX3
UP00147|Nkx2-6,0.959789752006605,Nkx2-6
MS00168|PRDM1,0.9601810989161743,PRDM1
MS00458|En2,0.9618025402852697,En2
MS00427|DLX1,0.9623189103572197,DLX1
MC00508|Batf,0.9633712352952061,Batf
MS00461|GBX2,0.9635163588152305,GBX2
MS00350|FOXC1,0.9648437583458381,FOXC1
M00062|IRF1,0.9667494459526187,IRF1
UP00121|Hoxd10,0.9680463869057409,Hoxd10
MS00352|FOXC2,0.9686748580611383,FOXC2
MS00179|SCRT1,0.9691696256824781,SCRT1
MC00105|Foxa2,0.9703748331659722,Foxa2
MC00354|Neurod1,0.9712918269705788,Neurod1
MS00516|Hoxa2,0.9715914800589003,Hoxa2
M01480|Obox5,0.9731132728610435,Obox5
MS00627|VSX2,0.9735048378348603,VSX2
MS00438|DUXA,0.9736470495965003,DUXA
UP00055|HBP1,0.9740400857885044,HBP1
MS00040|SPIC,0.9741843711209772,SPIC
MC00118|GATA2,0.975364395790288,GATA2
UP00117|Hoxd11,0.9755288792445276,Hoxd11
MC00193|RELA,0.9757264625137209,RELA
M01148|DMRT3,0.9770593609232281,DMRT3
MS00615|Shox2,0.9777881155731016,Shox2
MC00303|Sox2,0.9786334469803875,Sox2
MS00597|PROP1,0.9806065621516676,PROP1
MS00469|Gbx2,0.980684078732045,Gbx2
MS00531|ISX,0.9829653870499377,ISX
MS00621|VAX2,0.9830374352160358,VAX2
MS00748|SOX14,0.9836106418316684,SOX14
MS00542|LHX9,0.9836775577711624,LHX9
MS00450|EN2,0.9837882837577236,EN2
MS00613|SHOX2,0.9843730581462059,SHOX2
MS00106|NFAT5,0.9847763069566509,NFAT5
MS00148|POU4F1,0.9851535259464224,POU4F1
UP00107|Nkx2-4,0.9853220620066883,Nkx2-4
MS00442|EMX1,0.9856277204794954,EMX1
MS00459|GBX1,0.9862471503139847,GBX1
MS00155|POU6F2,0.9869913708698705,POU6F2
MS00614|SHOX,0.9876231876890804,SHOX
UP00207|HOXB9,0.9884465104379635,HOXB9
MS00440|Dlx2,0.9887465498933101,Dlx2
MS00690|ONECUT3,0.9890033936841726,ONECUT3
MC00217|FOXA2,0.9896956045007773,FOXA2
MC00455|Cdx2,0.9899776206823696,Cdx2
UP00150|IRX6,0.9900979882043178,IRX6
MS00489|HOXB13,0.9901721795590654,HOXB13
MS00820|NFIA,0.9903851032702089,NFIA
MC00309|TCF7L2,0.9918249485950914,TCF7L2
MC00330|FOS,0.9918583493467567,FOS
MC00402|Hoxc9,0.9921823323988577,Hoxc9
MC00311|FOXA1,0.9923362709102841,FOXA1
MS00245|BHLHA15,0.993187452192871,BHLHA15
MS00606|RAX,0.9936829388905798,RAX
MS00620|VAX1,0.9939131245903435,VAX1
MC00504|Scx,0.9942539572372163,Scx
MC00117|GATA6,0.9948283898126721,GATA6
MC00416|Rbfox2,0.9955009801699002,Rbfox2
M01081|ZNF628,0.9955492644204748,ZNF628
MS00811|RARB,0.995874400838433,RARB
MS00467|Gbx1,0.9959622730461184,Gbx1
MS00250|BHLHE23,0.9962802682032074,BHLHE23
MC00122|Cebpa,0.9963444595631363,Cebpa
MS00276|OLIG1,0.9974272448890881,OLIG1
MS00511|HOXD13,0.9976405442741498,HOXD13
MS00517|Hoxc10,0.9977856621752851,Hoxc10
MS00277|OLIG2,0.9980666309051726,OLIG2
MS00051|LEF1,0.9985897166055004,LEF1
MC00371|JUNB,0.998609030104935,JUNB
MS00557|MNX1,0.9987592343911639,MNX1
MS00577|NKX6-2,0.9988007314156488,NKX6-2
MS00425|CDX1,0.9988429338500359,CDX1
MS00280|OLIG3,0.9988539769123124,OLIG3
MS00753|SOX18,0.9990106743931042,SOX18
MS00336|NFE2,0.9994074932524855,NFE2
MS00470|HESX1,0.9994691067585922,HESX1
M01132|SF1,0.9994856312755006,SF1
MC00349|Jun,0.9996390323241249,Jun
MC00119|GATA3,0.9996932766601504,GATA3
MC00205|Stat5a,0.9997495952868191,Stat5a
MS00388|Foxc1,0.9998111301439565,Foxc1
MC00352|Nr5a2,0.9998133388782369,Nr5a2
MC00104|Foxa1,0.9998277023041672,Foxa1
MC00456|JUND,0.9998720164225026,JUND
MS00190|SCRT2,0.9999098328476969,SCRT2
M01147|DMRT2,0.9999359041434412,DMRT2
MC00507|Meis1,0.999939660147399,Meis1
MS00254|FIGLA,0.9999455784286694,FIGLA
MS00249|BHLHE22,0.9999731701356337,BHLHE22
MC00389|CDX2,0.99997338341961,CDX2
MC00471|Rxra,0.9999824561419841,Rxra
MS00412|ZNF410,0.9999943343438172,ZNF410
MS00272|NEUROG2,0.9999955145821899,NEUROG2
