,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
49480|E2F4,5.4021786282461375e-28,Homo sapiens,E2F4,tf,None,Retinal pigment cell,None,1,E2F4
34995|FOXM1,1.026716731651157e-25,Homo sapiens,FOXM1,tf,MCF-7,Epithelium,Breast,1,FOXM1
1876|RBL2,9.06956704600181e-25,Homo sapiens,RBL2,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,0,RBL2
43572|RNF2,2.118492017207861e-24,Homo sapiens,RNF2,predicted transcription factor,None,Fibroblast,Foreskin,1,RNF2
8774|HDAC1,1.3663142923858873e-23,Homo sapiens,HDAC1,cr,K562,Erythroblast,Bone Marrow,1,HDAC1
67457|E2F1,8.41021269026892e-23,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1,E2F1
56251|MYBL2,2.9599886786354947e-21,Homo sapiens,MYBL2,tf,None,Epithelium,Mammary Gland,1,MYBL2
77534|TFDP1,7.497374112219486e-20,Homo sapiens,TFDP1,tf,U266B1,None,None,1,TFDP1
8799|SAP30,4.924000122615457e-19,Homo sapiens,SAP30,not sure,K562,Erythroblast,Bone Marrow,1,SAP30
72935|HDAC2,8.113683527898723e-19,Homo sapiens,HDAC2,cr,None,Cardiomyocyte,None,0,HDAC2
5888|LIN9,9.409024076592472e-18,Homo sapiens,LIN9,not sure,HeLa,Epithelium,Cervix,1,LIN9
45758|NFYB,1.0915574405697881e-16,Homo sapiens,NFYB,tf,HeLa-S3,Epithelium,Cervix,1,NFYB
50039|FOXA1,1.7568226352585172e-16,Homo sapiens,FOXA1,tf,LNCaP,Epithelium,Prostate,1,FOXA1
63656|SIN3A,2.498180556493072e-16,Homo sapiens,SIN3A,tf,MCF-7,Epithelium,Breast,1,SIN3A
64039|HBP1,4.268107253175545e-16,Homo sapiens,HBP1,tf,HepG2,Epithelium,Liver,1,HBP1
68635|KMT2D,7.664195142635975e-16,Homo sapiens,KMT2D,cr,None,patient derived xenograft cells,None,1,KMT2D
45802|CHD2,9.106852057173005e-16,Homo sapiens,CHD2,cr,HepG2,Epithelium,Liver,1,CHD2
47416|ERG,1.8072904426975763e-15,Homo sapiens,ERG,other,Jurkat,T Lymphocyte,Blood,1,ERG
42738|NFYA,2.7930531769703325e-15,Homo sapiens,NFYA,tf,LoVo,None,Colon,1,NFYA
63302|NKRF,3.4139324262715505e-15,Homo sapiens,NKRF,,K562,Erythroblast,Bone Marrow,1,NKRF
42752|BARX1,7.894056810903314e-15,Homo sapiens,BARX1,tf,LoVo,None,Colon,1,BARX1
63128|MNT,1.1588471629258154e-14,Homo sapiens,MNT,tf,HepG2,Epithelium,Liver,1,MNT
46234|SP1,1.579231174614877e-14,Homo sapiens,SP1,predicted chromatin regulator,HepG2,Epithelium,Liver,1,SP1
67715|CREB1,1.7683228427556902e-14,Homo sapiens,CREB1,tf,LNCaP,Epithelium,Prostate,1,CREB1
55468|NELFA,1.8806729449169902e-14,Homo sapiens,NELFA,not sure,HeLa,Epithelium,Cervix,1,NELFA
46077|TAF1,3.5053947030512845e-14,Homo sapiens,TAF1,tf,A549,Epithelium,Lung,1,TAF1
38724|GMEB2,4.2932409632207e-14,Homo sapiens,GMEB2,tf,LoVo,None,Colon,1,GMEB2
56353|CDK8,5.307733836000587e-14,Homo sapiens,CDK8,tf,MOLM-14,Myeloid Cell,None,1,CDK8
1309|PHF8,6.556894404647959e-14,Homo sapiens,PHF8,cr,HeLa,Epithelium,Cervix,1,PHF8
43763|BRD4,8.680861577505738e-14,Homo sapiens,BRD4,cr,DND-41,T Lymphocyte,Blood,1,BRD4
53672|NIPBL,9.309706890166555e-14,Homo sapiens,NIPBL,not sure,None,Embryonic Stem Cell,None,1,NIPBL
74209|BRD2,9.592718460863376e-14,Homo sapiens,BRD2,predicted chromatin regulator,SF8628,None,Pontine,1,BRD2
63105|ATF1,1.4564788582226422e-13,Homo sapiens,ATF1,tf,HepG2,Epithelium,Liver,1,ATF1
45609|IRF3,1.5004012783042773e-13,Homo sapiens,IRF3,tf,GM12878,B Lymphocyte,Blood,1,IRF3
65057|TGIF2,1.5765133427604774e-13,Homo sapiens,TGIF2,tf,HepG2,Epithelium,Liver,1,TGIF2
64302|E2F5,2.315636729722909e-13,Homo sapiens,E2F5,,K562,Erythroblast,Bone Marrow,1,E2F5
50397|MYB,2.7627756164271435e-13,Homo sapiens,MYB,tf,Jurkat,T Lymphocyte,Blood,1,MYB
43104|NOTCH1,3.017109314925264e-13,Homo sapiens,NOTCH1,both predicted transcription factor and chromatin regulator,CUTLL1,T Lymphocyte,Blood,1,NOTCH1
41572|ING2,3.813102815797247e-13,Homo sapiens,ING2,predicted chromatin regulator,RKO,Epithelium,Colon,1,ING2
36362|GTF2B,3.9260762893609307e-13,Homo sapiens,GTF2B,tf,IMR90,Fibroblast,Lung,1,GTF2B
53324|NELFE,4.121708416559548e-13,Homo sapiens,NELFE,not sure,HeLa,Epithelium,Cervix,1,NELFE
42774|NFYC,4.4117547143930014e-13,Homo sapiens,NFYC,tf,LoVo,None,Colon,1,NFYC
45650|MAX,5.566587372504647e-13,Homo sapiens,MAX,tf,GM12878,B Lymphocyte,Blood,1,MAX
63363|C11orf30,5.620655343020954e-13,Homo sapiens,C11orf30,,K562,Erythroblast,Bone Marrow,1,C11orf30
