Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
FOXM1,32889;4.14E-114,56250;6.36E-74,43195;1.16E-65,53252;3.32E-59,39484;2.36E-52
E2F4,63740;5.38E-101,63739;1.55E-87,36812;6.11E-65,49480;3.54E-61,542;5.51E-58
MYBL2,56251;1.24E-94,5890;4.05E-17,5891;6.46E-17,46241;5.25E-16,38735;9.83E-15
HDAC2,72935;1.51E-50,68821;3.81E-21,72913;4.14E-18,8659;4.66E-17,8660;3.16E-15
RBL2,1876;1.05E-42,1880;5.98E-31,1874;1.08E-25,1878;4.04E-25,38488;2.63E-18
E2F1,67459;3.71E-36,75923;9.97E-34,67455;3.65E-30,67457;7.27E-29,70857;8.38E-29
HDAC1,8774;2.12E-34,68822;9.19E-25,8657;1.16E-17,8658;4.13E-17,72354;2.06E-15
RNF2,43572;1.61E-33,43561;1.39E-25,62639;6.34E-09,62638;1.92E-05,8549;4.52E-04
LIN9,5888;1.48E-28,5889;2.67E-19,38707;6.08E-02,,
SAP30,8799;1.88E-26,45419;7.28E-13,8800;1.42E-10,45234;1.78E-10,8821;1.78E-10
TFDP1,77534;4.51E-25,38731;1.65E-21,62550;2.30E-20,77535;4.53E-19,62551;4.74E-16
NFYA,42738;8.69E-19,45945;2.51E-16,45626;2.03E-15,45769;3.32E-14,38650;1.16E-11
ING2,41572;4.37E-18,,,,
IRF3,45609;8.19E-18,45748;5.77E-15,45831;1.60E-06,42679;6.04E-02,
AGO1,48594;3.33E-17,48601;3.33E-17,44026;9.31E-10,48609;1.68E-02,48610;5.99E-02
HBP1,64039;4.13E-17,64038;5.61E-14,38726;4.77E-03,,
NFYB,45758;2.36E-16,45936;1.60E-14,2095;1.01E-12,45625;2.74E-11,42773;4.55E-02
FOXA1,50039;5.27E-16,67712;8.21E-13,67713;3.33E-10,68871;5.61E-10,68869;5.94E-09
SIN3A,63656;7.49E-16,64868;1.94E-15,63655;5.27E-15,45639;4.03E-14,46329;4.26E-14
BARX1,42752;7.81E-16,42645;6.32E-02,,,
KMT2D,68635;8.93E-16,68632;7.72E-15,55405;8.75E-11,68638;1.37E-10,68627;9.05E-09
NFYC,42774;1.54E-15,,,,
CHD2,45802;2.43E-15,45701;3.51E-13,45638;1.11E-10,45764;1.06E-09,45905;1.91E-09
NKRF,63302;4.50E-15,63301;3.77E-11,,,
ERG,47416;5.61E-15,72359;8.60E-11,35298;3.04E-10,37583;3.29E-08,37633;9.92E-08
FOXP1,51750;1.53E-14,1013;8.58E-08,42760;4.71E-06,1012;2.86E-05,59437;1.10E-02
FOS,45606;1.82E-14,45959;3.49E-12,1992;3.49E-12,621;2.71E-11,45772;1.16E-08
MNT,63128;3.47E-14,38824;1.65E-10,63127;3.14E-07,,
CDK8,56353;4.11E-14,57171;2.50E-13,57167;6.46E-11,57165;2.61E-10,57169;4.51E-10
SP1,46234;4.74E-14,38771;2.49E-11,46135;3.69E-11,46215;7.39E-11,46190;3.93E-10
BARX2,38820;4.77E-14,,,,
CREB1,67715;5.32E-14,67714;7.15E-13,63306;1.07E-12,56049;1.77E-12,67711;3.30E-12
NELFA,55468;5.64E-14,43451;1.96E-10,55465;2.23E-10,55466;3.21E-09,55467;1.02E-03
KAT5,68490;8.99E-14,4632;3.41E-05,4631;8.81E-04,,
