,coefficients,cell_line,cell_type,tissue
44962,-0.7463721640069295,HepG2,Epithelium,Liver
63925,0.5653168434804884,A549,Epithelium,
44972,-0.4568462673510943,HL-60,Myeloblast,Blood
64049,0.43629973178457376,HAP-1,,
62499,0.4323866742735125,NCI-H460,,
47604,0.42791603333904576,L1236,B Lymphocyte,Blood
64337,0.32584960364410454,K562,Erythroblast,
45021,0.22523363103639216,K562,Erythroblast,Bone Marrow
45084,0.19604977771816026,WERI-Rb-1,,Eye
45020,0.19023971646246354,K562,Erythroblast,Bone Marrow
