Rank	sample_id	factor	cell_line	cell_type	tissue	DNase_p_value	ChIP-seq_p_value	H3K27ac_p_value	summary_p_value
6194	64119	HES2	A549	Epithelium	Lung	0.9999953075828679	0.0008538274433106018	0.0100343586788163	0.9999858382994035
6195	67598	FOXA1	CFPAC-1	None	Pancreatic ductal	0.9999953420498081	0.000647332041720136	0.10070123205005033	0.9999859242366315
6196	55294	WWTR1	MDA-MB-231	Epithelium	Breast	0.9999953460060622	0.0053616233699068155	0.05046425621485172	0.9999860246103864
6197	54078	ESR1	MCF-7	Epithelium	Breast	0.9999953495321523	0.12090567807015934	0.28208221705141984	0.9999860479194818
6198	68845	ESR1	T47D	Embryonic Stem Cell	Breast	0.999999050353081	1.1959906867189033e-06	0.0010780575716802536	0.9999861090819461
6199	73932	ZNF680	293T	None	None	0.9999953941043176	0.014920256754958595	0.137112261830177	0.9999861776138597
6200	53962	ESR1	T47D	Epithelium	Mammary Gland	0.9999955359237886	0.004448629841194352	0.013763554953845923	0.999986589968953
6201	54022	ESR1	MCF-7	Epithelium	Breast	0.9999955451419085	0.19122800033463938	0.2313352265141495	0.9999866349423903
6202	54061	PR	T47D	Epithelium	Mammary Gland	0.9999955671630977	0.001535654166306517	0.020926706205540106	0.9999866601610037
6203	4493	PPARG	SGBS	Adipocyte	Adipose	0.9999957563486818	0.004172352346224392	0.053193229989808695	0.9999872550767972
6204	54086	ESR1	MCF-7	Epithelium	Breast	0.9999957816040511	0.23268413178039177	0.5405361806149537	0.9999873446466018
6205	50100	AR	LNCaP	Epithelium	Prostate	0.9999958552574019	0.3608688862961993	0.70488095468995	0.9999875658180312
6206	35473	FOXA1	NCI-H3122	None	Lung	0.9999960116075942	0.003930724051773666	0.1780758039514212	0.9999880224304356
6207	74641	SMAD4	HepG2	Epithelium	Liver	0.999996344913759	7.579659347630086e-05	0.00010960582820518104	0.9999880608680335
6208	62717	FOSL2	A549	Epithelium	Lung	0.9999960360697839	0.010077586904449943	0.010650295003911554	0.9999880991020684
6209	43859	AR	VCaP	Epithelium	Prostate	0.9999962662981986	0.023313403001714306	0.6373790892198308	0.9999887971641648
6210	71866	NIPBL	MCF-7	None	Breast	0.9999963145620019	0.7215071160522055	0.8113608677991851	0.9999889439830336
6211	6560	ESR1	MCF-7	Epithelium	Breast	0.9999963218781583	0.7688560970965141	0.7496608580712216	0.9999889659052859
6212	51270	FOXA1	VCaP	Epithelium	Prostate	0.9999964323804703	0.31538283460445465	0.5798950616400254	0.9999892970935809
6213	74832	T	T47D	None	None	0.9999965091137585	0.8130154936637849	0.9487078318701142	0.999989528220276
