Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
E2F2,UP00001;1.94E-19,MS00712;3.40E-06,,,
E2F4,MC00523;1.15E-18,,,,
Nfya,MC00191;2.34E-18,,,,
E2F3,UP00003;1.46E-17,MS00734;2.08E-09,,,
E2f3,MC00510;1.50E-17,,,,
E2F1::TFDP2,M00737;1.85E-17,,,,
XBP1,UP00330;4.67E-17,MS00342;2.72E-03,,,
E2F1::TFDP1,M00736;1.18E-16,,,,
Zfp161,UP00065;1.37E-16,,,,
CENPB,MS00534;2.72E-16,,,,
NR2C2,MC00509;3.01E-16,MS00651;6.88E-02,,,
Tbx3,MC00221;3.18E-16,,,,
BRCA1,MC00299;6.40E-16,,,,
Gmeb1,UP00084;7.82E-16,,,,
DEAF1,M01002;9.18E-16,,,,
ZBTB33,MC00418;1.08E-15,M01119;1.71E-01,,,
PAX4,M00373;1.96E-15,M00378;1.63E-09,MS00121;2.25E-01,,
RUNX2,MS00174;2.12E-15,MS00173;6.26E-11,MC00215;7.98E-01,,
FOXN1,M00332;2.16E-15,,,,
TEAD2,M00695;2.26E-15,,,,
Gm5454,UP00423;2.29E-15,,,,
ELK4,MC00207;2.83E-15,,,,
Etv5,UP00412;2.83E-15,,,,
SP1,MC00113;3.39E-15,MS00212;3.84E-07,,,
ETV5,MS00019;5.11E-15,,,,
E2F1,MS00815;1.02E-14,MC00182;1.07E-13,,,
E2F8,MS00739;1.77E-14,,,,
E2f4,MC00158;2.43E-14,,,,
E2F6,MC00254;5.22E-14,M01252;7.03E-02,,,
PAX8,M00717;8.57E-14,,,,
Rfx1,MC00144;1.13E-13,,,,
WT1,M01118;1.23E-13,,,,
SREBF2,M01177;1.58E-13,MS00281;3.24E-01,,,
ETV1,MC00427;3.82E-13,,,,
Spdef,UP00038;3.98E-13,,,,
PAX5,MC00332;4.15E-13,M00143;7.07E-12,MA0014;5.04E-11,,
HINFP1,MS00090;4.17E-13,MS00079;7.71E-13,,,
ZNF143,MC00391;5.02E-13,,,,
ZBTB7A,MS00301;5.72E-13,MC00376;5.87E-10,M01100;2.79E-07,,
ZIC1,MS00334;6.84E-13,UP00102;3.33E-10,M00448;1.07E-08,,
PAX2,M00486;7.89E-13,MA0067;6.89E-08,MS00118;2.89E-07,,
NFYA,MC00364;1.21E-12,,,,
ETV3,MC00160;1.46E-12,,,,
Zfp128,UP00094;1.92E-12,,,,
SP2,M01783;2.04E-12,,,,
ZBTB7C,MS00323;2.08E-12,,,,
ELF1,MC00457;2.96E-12,,,,
Zscan10,M01742;3.45E-12,,,,
ZIC3,MS00346;3.97E-12,,,,
GABPB1,M00341;5.56E-12,,,,
Zic3,MS00523;7.72E-12,UP00006;1.27E-11,,,
ZIC4,MS00357;1.04E-11,,,,
ESR2,MC00333;1.09E-11,,,,
EGR4,MS00678;1.25E-11,,,,
GLIS2,MS00035;1.46E-11,,,,
PAX3,M00327;1.47E-11,MS00119;1.96E-01,,,
GABPA,MC00367;1.58E-11,,,,
HES1,M01009;2.09E-11,,,,
EGR3,MS00567;2.30E-11,,,,
KLF12,M00468;2.42E-11,,,,
AHR,M00139;3.07E-11,,,,
HINFP,MA0131;3.15E-11,,,,
Etv6,UP00418;3.54E-11,,,,
Zfx,MC00328;3.90E-11,,,,
MTF1,M01243;4.30E-11,MS00725;1.72E-04,,,
GMEB2,MS00183;4.40E-11,MS00721;7.30E-05,MS00182;2.81E-04,,
TFAP2B,MS00228;4.81E-11,MS00230;1.06E-08,MS00229;1.22E-07,,
ETV4,MS00018;5.60E-11,,,,
Tcfap2a,MS00240;6.96E-11,MS00239;9.44E-10,MS00241;1.79E-08,,
Ovol2,M01104;7.24E-11,,,,
PLAGL1,UP00088;7.43E-11,,,,
ZIC2,UP00057;7.66E-11,M00449;1.74E-05,,,
