,coefficients,cell_line,cell_type,tissue
40872,-2.5339718871002113,,T Lymphocyte,Blood
45080,0.9869118999542356,,Th2,Blood
63925,0.7316422043694834,A549,Epithelium,
45018,0.6328476339154666,Jurkat,T Lymphocyte,Blood
62489,0.43404904812927686,K562,Erythroblast,
47605,0.334047930999439,L428,B Lymphocyte,Blood
64199,0.32405367150814596,,,
44961,-0.24543319587944662,HepG2,Epithelium,Liver
8497,0.21995955903546272,MCF-7,Epithelium,Mammary Gland
64337,0.20891494634047098,K562,Erythroblast,
