,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
36812|E2F4,1.658518390296567e-97,Homo sapiens,E2F4,tf,MCF-7,Epithelium,Breast,1,E2F4
67455|E2F1,7.883023597977921e-68,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1,E2F1
58174|E2F7,7.06645380391711e-61,Homo sapiens,E2F7,tf,HeLa,Epithelium,Cervix,0,E2F7
1880|RBL2,1.220529933886029e-55,Homo sapiens,RBL2,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,1,RBL2
1872|RB1,2.9473768860117685e-51,Homo sapiens,RB1,tf,IMR90,Fibroblast,Lung,1,RB1
77534|TFDP1,7.86585356411619e-51,Homo sapiens,TFDP1,tf,U266B1,None,None,1,TFDP1
43572|RNF2,4.831160227269557e-36,Homo sapiens,RNF2,predicted transcription factor,None,Fibroblast,Foreskin,1,RNF2
8658|HDAC1,9.885726196281343e-30,Homo sapiens,HDAC1,cr,VCaP,Epithelium,Prostate,1,HDAC1
72913|HDAC2,2.6782096565094986e-29,Homo sapiens,HDAC2,cr,None,Cardiomyocyte,None,1,HDAC2
41572|ING2,7.289749002576286e-26,Homo sapiens,ING2,predicted chromatin regulator,RKO,Epithelium,Colon,1,ING2
8799|SAP30,8.622678803328147e-24,Homo sapiens,SAP30,not sure,K562,Erythroblast,Bone Marrow,1,SAP30
45776|E2F6,3.0170902226417056e-23,Homo sapiens,E2F6,tf,HeLa-S3,Epithelium,Cervix,1,E2F6
63655|SIN3A,5.2319347787181797e-23,Homo sapiens,SIN3A,tf,MCF-7,Epithelium,Breast,1,SIN3A
68632|KMT2D,7.053703999004552e-22,Homo sapiens,KMT2D,cr,None,patient derived xenograft cells,None,1,KMT2D
1312|PHF8,7.420153160274591e-22,Homo sapiens,PHF8,cr,HeLa,Epithelium,Cervix,0,PHF8
69872|AFF4,2.163648238657929e-21,Homo sapiens,AFF4,tf,None,Th1,None,1,AFF4
48824|MBD2,6.704095646042558e-21,Homo sapiens,MBD2,cr,MCF-7,Epithelium,Breast,1,MBD2
45742|KAT2B,1.1249069960774299e-20,Homo sapiens,KAT2B,predicted chromatin regulator,HeLa-S3,Epithelium,Cervix,1,KAT2B
