,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
36812|E2F4,4.9755551708897011949380214731376378259670155931721899365765131178297470857450305975108115532226624814697683247929786856860038509144170495351549196560391720181413619198637790399941518832692923163353867e-97,Homo sapiens,E2F4,tf,MCF-7,Epithelium,Breast,1,E2F4
67455|E2F1,2.3649070793933764200912910916439135974952513426205580841094958669765944686017683930372082399617508834224843587378010635599254315173718658026363325298661487683126036293376403954872302657741838142228437e-67,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1,E2F1
58174|E2F7,0.0000000000000000000000000000000000000000000000000000000000021199361411751332030583809586417827720483561637721986209013657495635223010396264535461197393559337840515541006580349929012346505045808202675381269610131714331091857566907090721678870402094174232714444,Homo sapiens,E2F7,tf,HeLa,Epithelium,Cervix,0,E2F7
1880|RBL2,0.00000000000000000000000000000000000000000000000000000036615898016580868920227780511949658653716930369519654056709969202425494563855052796218685032223061377540086273664196304257867457638773045385956420521028070592813464931625561103116291024274684017802566,Homo sapiens,RBL2,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,1,RBL2
1872|RB1,0.0000000000000000000000000000000000000000000000000088421306580353053505264897319138340659584717715592350916590730237284955133439537384464039129265503103969642108089195112973310108084611946010316061975325890451365459140383272892566892351333942898220626,Homo sapiens,RB1,tf,IMR90,Fibroblast,Lung,1,RB1
77534|TFDP1,0.000000000000000000000000000000000000000000000000023597560692348568844607912952841737527684552615806421935510485841077110755408161079362274340894706034402294336940408390944219347384146179305154511708157924299844532698982481249314293554677541224135005,Homo sapiens,TFDP1,tf,U266B1,None,None,1,TFDP1
43572|RNF2,0.000000000000000000000000000000000014493480681464956911287448622392589287792870342531622754425884989149620314883331307340115326058741128662952757164836555122674642679151981453419381766864599366373749260995324061320546983308937382473436,Homo sapiens,RNF2,predicted transcription factor,None,Fibroblast,Foreskin,1,RNF2
8658|HDAC1,0.000000000000000000000000000029657178582447684346439540969004773634625250729720609229378741132822935203098999424521472002477888071301617439627785824801506298409987324590593732360920965093562375417893935279594651187935841420092104,Homo sapiens,HDAC1,cr,VCaP,Epithelium,Prostate,1,HDAC1
72913|HDAC2,0.000000000000000000000000000080346286556482380454623926838793609950267467305696282834153739095736314714366898370258522125817064993177362291883847682280283997411827424388559896985906520888443455729572828599446368994427514762567824,Homo sapiens,HDAC2,cr,None,Cardiomyocyte,None,1,HDAC2
41572|ING2,0.00000000000000000000000021869244979460023965381405864019038642317574616025458325479233855998704504247948086872721474531030068798239616532249699453707028362660517786142130274573778090275795573184176953262465903748777837296895,Homo sapiens,ING2,predicted chromatin regulator,RKO,Epithelium,Colon,1,ING2
8799|SAP30,0.000000000000000000000025868036409081432300019063136564914092559416162462225418475785736484915368150931957463184386132953780252176504158247908880869087195595008265363243796725827977989786325330365222494665824128303047076586,Homo sapiens,SAP30,not sure,K562,Erythroblast,Bone Marrow,1,SAP30
45776|E2F6,0.000000000000000000000090512679152242810124359536331736541577036972453261183536629001192647408198940304122826802186224277322336322283765765256867120732041559861185694190667583502877731975930920491423130733561931687948714712,Homo sapiens,E2F6,tf,HeLa-S3,Epithelium,Cervix,1,E2F6
63655|SIN3A,0.00000000000000000000015695602334985131438637097756577278567262037726605588021777449969489918868403798086604066476551128995959173806580914237054398574801519721987878313575099528396388885239124471995538106769302191571280886,Homo sapiens,SIN3A,tf,MCF-7,Epithelium,Breast,1,SIN3A
68632|KMT2D,0.0000000000000000000021161111894073267729692527416497303723144129214532502263577700949967901593242374309525039798750191633369617901284182951437319722577752552344791182721236993923517415020821796109736522691120586090124195,Homo sapiens,KMT2D,cr,None,patient derived xenograft cells,None,1,KMT2D
1312|PHF8,0.0000000000000000000022260444314157607694313113981778474572848585775022127869329238858434628407985262681324280730218928977872401214761445014517904963035190905901071638361171967144464647272805996637020957579146713219928021,Homo sapiens,PHF8,cr,HeLa,Epithelium,Cervix,0,PHF8
69872|AFF4,0.0000000000000000000064909438841116639445075190817751760789232866202036234271941427136865228845898556875908403314842521498560362800117095029164860947591867787666633566028844363944816214134836168883946634035329914539426268,Homo sapiens,AFF4,tf,None,Th1,None,1,AFF4
48824|MBD2,0.00000000000000000002010821147665854837918412606478751656320541953709122163249665083969916803666909932713416701105634843453215708827628482551251826502880215739245151937400028073657989174655699245637514953230548703287276,Homo sapiens,MBD2,cr,MCF-7,Epithelium,Breast,1,MBD2
45742|KAT2B,0.000000000000000000033747209880935394636836531830747106342470462186361951213735690424887438397474389927577881500191512080770191379993634634670549422951229085361522528453986116838073350842312916105151102273792863661304863,Homo sapiens,KAT2B,predicted chromatin regulator,HeLa-S3,Epithelium,Cervix,1,KAT2B
46162|TAF1,0.000000000000000000044797927965942206734691712183475614408050285860222760444214455821123681632391877844666541727335475587564943630621346661482782704275774093764767383323388764654074734709909809445646641774241053087958091,Homo sapiens,TAF1,tf,GM12892,Lymphoblastoid,Blood,1,TAF1
9320|NIPBL,0.000000000000000000046919842872223491571844755923895460588958099415620718714275026891578865503922273049708242145409133100282719053346982087212056228731146007673327021953899563425916101721607850803417399919088915131144292,Homo sapiens,NIPBL,not sure,LCL,Lymphoblastoid,Blood,1,NIPBL
55468|NELFA,0.000000000000000000061198448950207987771019929082776158975265066877250042043946580524810814407584279473183236312328018545804840806003465129878379008606089598842552648712545638073778240657719004373610725063202940752704611,Homo sapiens,NELFA,not sure,HeLa,Epithelium,Cervix,1,NELFA
42738|NFYA,0.000000000000000000080214911834430264606876330199311527023381501930618374051725977913271498459317033496001581245949014603804603468573989059391078945433157712556880447010003593966659159029744801219113781017279595663619064,Homo sapiens,NFYA,tf,LoVo,None,Colon,1,NFYA
73713|AFF1,0.000000000000000000084996888720831515606020099938913433420568682277773461058230244025520746757326664006875553682037744587857390167881632089275663548743618719985292727511998621867522582782959305779052108032963650675597851,Homo sapiens,AFF1,tf,SEM,B Lymphocyte,None,1,AFF1
58843|XRN2,0.000000000000000000097452991942146704397452364557592913116754141885527730943932650005184091391070211250374662754390773084754127510404220393848862386683176407772127418535693827638595176764574104868282591195121275367514675,Homo sapiens,XRN2,not sure,HEK293,Epithelium,Embryonic Kidney,1,XRN2
43104|NOTCH1,0.00000000000000000022725351211312591154827582558736935525112264344259635374411508986967180981354471968461945891908147776413624015525447562824566027527369455259488729666268055301842434812474285485638742924623365448002507,Homo sapiens,NOTCH1,both predicted transcription factor and chromatin regulator,CUTLL1,T Lymphocyte,Blood,1,NOTCH1
72407|PARP1,0.00000000000000000024193798763584150801864488860443577429117005572069765739254194743911320320445579868379057006914574653687623440376612776267783860175570242339884677106115912049449800735863150600300792658005248474828421,Homo sapiens,PARP1,not sure,MCF-7,Human Breast Cancer Cell,Breast,1,PARP1
53346|CDK9,0.00000000000000000032384504176480239661292340093781827696296441723610697438796866117908220882259548027164972467883828135156321948688982775280006321466312727458567293167055196777637207064745170997531387666943901391240851,Homo sapiens,CDK9,tf,HeLa,Epithelium,Cervix,1,CDK9
8482|KAT7,0.00000000000000000050193192981808338390987044201782026461855075566296142258062061806476532691610300851789081138734227149027223389180215356111524904209394341372540978956128141517108929328152594427008385927464000317271253,Homo sapiens,KAT7,cr,RKO,Epithelium,Colon,1,KAT7
50876|SPI1,0.00000000000000000095610492076596424267254259324767127056344177680500232514257118669512775876686625659784943252492205051171018454902809518377475061655014678070722106726483596850676387347562589691017908492557024481271052,Homo sapiens,SPI1,predicted transcription factor,None,None,None,1,SPI1
47416|ERG,0.0000000000000000011514165118104530678357149751298778386219192562794863813653878051795650005671528343269085383735473039761434978465190755374510368891008864957008227070787885239125102333990069318341110739146870321134223,Homo sapiens,ERG,other,Jurkat,T Lymphocyte,Blood,1,ERG
9216|POLR2B,0.0000000000000000012242500725796631350955887531572982458108275856266341794306052570721899668214753912473768604490004989812774024659829663991165159997506263982355586578034472059248416423783132037633745678897971750903281,Homo sapiens,POLR2B,tf,HeLa,Epithelium,Cervix,1,POLR2B
43684|KDM4C,0.0000000000000000017356950230387594399531194187095546773806081284334874414328126098643654924834294176986442669334997283426844647888800307214306410976072865275406813479720105624652218502190944385365485432323812327321848,Homo sapiens,KDM4C,cr,KYSE-150,Epitheloid Cell,Esophagus,1,KDM4C
