,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
49480|E2F4,5.5210265623006174e-40,Homo sapiens,E2F4,tf,None,Retinal pigment cell,None,1,E2F4
67455|E2F1,2.2623605255800484e-32,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1,E2F1
77534|TFDP1,2.6233478871383877e-31,Homo sapiens,TFDP1,tf,U266B1,None,None,1,TFDP1
1880|RBL2,9.186848020219447e-28,Homo sapiens,RBL2,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,1,RBL2
1870|RB1,8.44870413224581e-25,Homo sapiens,RB1,tf,IMR90,Fibroblast,Lung,1,RB1
43572|RNF2,5.048781558188333e-22,Homo sapiens,RNF2,predicted transcription factor,None,Fibroblast,Foreskin,1,RNF2
72913|HDAC2,1.62685222053124e-19,Homo sapiens,HDAC2,cr,None,Cardiomyocyte,None,1,HDAC2
8658|HDAC1,7.786042577347597e-17,Homo sapiens,HDAC1,cr,VCaP,Epithelium,Prostate,1,HDAC1
38698|E2F7,3.571330714781713e-16,Homo sapiens,E2F7,tf,LoVo,None,Colon,1,E2F7
63655|SIN3A,1.0461580380870858e-15,Homo sapiens,SIN3A,tf,MCF-7,Epithelium,Breast,1,SIN3A
48824|MBD2,2.693469382902749e-15,Homo sapiens,MBD2,cr,MCF-7,Epithelium,Breast,1,MBD2
50877|SPI1,3.5388775289967023e-15,Homo sapiens,SPI1,predicted transcription factor,None,None,None,1,SPI1
58843|XRN2,3.7184862413036795e-15,Homo sapiens,XRN2,not sure,HEK293,Epithelium,Embryonic Kidney,1,XRN2
73714|AFF1,6.013374041290029e-15,Homo sapiens,AFF1,tf,SEM,B Lymphocyte,None,1,AFF1
46221|TAF1,1.3289074257671447e-14,Homo sapiens,TAF1,tf,HeLa-S3,Epithelium,Cervix,1,TAF1
46071|E2F6,1.4204667290261767e-14,Homo sapiens,E2F6,tf,A549,Epithelium,Lung,1,E2F6
9216|POLR2B,1.6926447395705444e-14,Homo sapiens,POLR2B,tf,HeLa,Epithelium,Cervix,1,POLR2B
58506|WDR5,2.232951935900359e-14,Homo sapiens,WDR5,cr,BE2-C,Neuroblast,Brain,1,WDR5
41572|ING2,2.7877325652146914e-14,Homo sapiens,ING2,predicted chromatin regulator,RKO,Epithelium,Colon,1,ING2
43684|KDM4C,3.8942965675479415e-14,Homo sapiens,KDM4C,cr,KYSE-150,Epitheloid Cell,Esophagus,1,KDM4C
1312|PHF8,1.0682141459404488e-13,Homo sapiens,PHF8,cr,HeLa,Epithelium,Cervix,0,PHF8
69874|RELA,1.3257835117365616e-13,Homo sapiens,RELA,tf,None,Th1,None,1,RELA
69872|AFF4,2.0254196688570786e-13,Homo sapiens,AFF4,tf,None,Th1,None,1,AFF4
38585|TAF3,2.422413381816698e-13,Homo sapiens,TAF3,cr,None,Epithelium,Colon,1,TAF3
59170|SETD1A,2.580896487848015e-13,Homo sapiens,SETD1A,predicted chromatin regulator,SEM,Pre-B Lymphocyte,None,1,SETD1A
45989|MYC,2.781353364373317e-13,Homo sapiens,MYC,tf,MCF-7,Epithelium,Breast,1,MYC
36230|TTF2,3.137902862546045e-13,Homo sapiens,TTF2,tf,HEK293,Epithelium,Embryonic Kidney,1,TTF2
42708|ATF2,3.726256353984678e-13,Homo sapiens,ATF2,predicted transcription factor,LoVo,None,Colon,1,ATF2
73716|KMT2A,3.856302823127641e-13,Homo sapiens,KMT2A,not sure,SEM,B Lymphocyte,None,1,KMT2A
42720|HOXA4,5.843606415311488e-13,Homo sapiens,HOXA4,tf,LoVo,None,Colon,1,HOXA4
72405|PARP1,6.149490121734286e-13,Homo sapiens,PARP1,not sure,MCF-7,Human Breast Cancer Cell,Breast,1,PARP1
45758|NFYB,6.964891008249607e-13,Homo sapiens,NFYB,tf,HeLa-S3,Epithelium,Cervix,1,NFYB
53346|CDK9,7.083997740863177e-13,Homo sapiens,CDK9,tf,HeLa,Epithelium,Cervix,1,CDK9
45390|KDM5B,7.975559545123768e-13,Homo sapiens,KDM5B,cr,K562,Erythroblast,Bone Marrow,1,KDM5B
8482|KAT7,8.485595147305765e-13,Homo sapiens,KAT7,cr,RKO,Epithelium,Colon,1,KAT7
53673|NIPBL,1.0624555494202655e-12,Homo sapiens,NIPBL,not sure,None,Embryonic Stem Cell,None,1,NIPBL
8800|SAP30,1.3974483124372178e-12,Homo sapiens,SAP30,not sure,K562,Erythroblast,Bone Marrow,1,SAP30
71069|MBD3,1.405265233143623e-12,Homo sapiens,MBD3,cr,HeLa,Epithelium,Cervix,1,MBD3
43400|XBP1,1.4369639786150853e-12,Homo sapiens,XBP1,tf,T47D,Epithelium,Mammary Gland,1,XBP1
64302|E2F5,1.570921170462411e-12,Homo sapiens,E2F5,,K562,Erythroblast,Bone Marrow,1,E2F5
394|RBPJ,1.642417501034807e-12,Homo sapiens,RBPJ,tf,CUTLL1,T Lymphocyte,Blood,1,RBPJ
45650|MAX,1.660784351668991e-12,Homo sapiens,MAX,tf,GM12878,B Lymphocyte,Blood,1,MAX
74682|FOXO3,1.8765958401682887e-12,Homo sapiens,FOXO3,tf,HepG2,Epithelium,Liver,1,FOXO3
42738|NFYA,2.3416122967563767e-12,Homo sapiens,NFYA,tf,LoVo,None,Colon,1,NFYA
43109|BRD4,2.6291986672217866e-12,Homo sapiens,BRD4,cr,CUTLL1,T Lymphocyte,Blood,1,BRD4
45638|CHD2,3.135179081140758e-12,Homo sapiens,CHD2,cr,GM12878,B Lymphocyte,Blood,1,CHD2
50163|TBP,3.882046617463661e-12,Homo sapiens,TBP,tf,K562,Erythroblast,Bone Marrow,1,TBP
63306|CREB1,4.353761165314872e-12,Homo sapiens,CREB1,tf,HepG2,Epithelium,Liver,1,CREB1
41574|BRD1,4.4985559314203165e-12,Homo sapiens,BRD1,cr,RKO,Epithelium,Colon,1,BRD1
68223|NR3C1,4.62281358111442e-12,Homo sapiens,NR3C1,tf,BEAS-2B,Epithelium,Lung,1,NR3C1
34997|FOXM1,4.9618347802014975e-12,Homo sapiens,FOXM1,tf,MDA-MB-231,Epithelium,Breast,1,FOXM1
68632|KMT2D,5.471758044740406e-12,Homo sapiens,KMT2D,cr,None,patient derived xenograft cells,None,1,KMT2D
73699|MED1,5.561595845524765e-12,Homo sapiens,MED1,predicted transcription factor,SEM,B Lymphocyte,None,1,MED1
42212|STAT3,6.906777685261543e-12,Homo sapiens,STAT3,tf,OCI-Ly10,B Lymphocyte,Bone Marrow,1,STAT3
45770|TFAP2C,9.238803165391641e-12,Homo sapiens,TFAP2C,predicted transcription factor,HeLa-S3,Epithelium,Cervix,1,TFAP2C
42712|E2F3,1.1508865002195074e-11,Homo sapiens,E2F3,tf,LoVo,None,Colon,1,E2F3
45949|IRF1,1.3152194013457367e-11,Homo sapiens,IRF1,tf,K562,Erythroblast,Bone Marrow,1,IRF1
7527|HEY1,1.3507400663771458e-11,Homo sapiens,HEY1,tf,K562,Erythroblast,Bone Marrow,1,HEY1
47601|KLF5,1.4020510646475482e-11,Homo sapiens,KLF5,tf,KATO III,None,Stomach,1,KLF5
47416|ERG,1.567701182439668e-11,Homo sapiens,ERG,other,Jurkat,T Lymphocyte,Blood,1,ERG
55465|NELFA,1.6270623945777068e-11,Homo sapiens,NELFA,not sure,HeLa,Epithelium,Cervix,1,NELFA
53323|INTS3,1.6886216313978405e-11,Homo sapiens,INTS3,predicted transcription factor,HeLa,Epithelium,Cervix,1,INTS3
58809|MAF,1.6975998380019122e-11,Homo sapiens,MAF,tf,None,Th2,None,1,MAF
49493|CDK7,1.7431963050332193e-11,Homo sapiens,CDK7,predicted transcription factor,Jurkat,T Lymphocyte,Blood,1,CDK7
3273|GATA1,2.0430321470380736e-11,Homo sapiens,GATA1,tf,None,Proerythroblast,Bone Marrow,1,GATA1
