,0,TF
UP00148|Hdx,1.1399285638761965e-11,Hdx
MS00050|GCM2,1.2569315356104047e-11,GCM2
UP00010|Tcfap2b,1.4214170719737496e-11,Tcfap2b
MS00067|IRF5,1.5531702514986203e-11,IRF5
MC00125|Rest,1.646079022453859e-11,Rest
MS00070|IRF7,2.5890655327763446e-11,IRF7
UP00093|Klf7,3.4740537060877424e-11,Klf7
MS00838|ELF5,3.6007558751998095e-11,ELF5
M01592|TFCP2L1,4.441318605732396e-11,TFCP2L1
UP00086|IRF3,5.135659502306735e-11,IRF3
M01744|ZFP42,6.439730289781621e-11,ZFP42
M00961|VDR,6.856007886274438e-11,VDR
MC00203|RFX3,7.80563045414199e-11,RFX3
MS00027|FLI1,7.989159191011655e-11,FLI1
MS00246|SP8,8.92598525921848e-11,SP8
MS00025|FEV,1.1404017287639597e-10,FEV
MS00211|TBX2,1.3142313807065685e-10,TBX2
MS00046|GLIS3,1.3873222983033957e-10,GLIS3
M00647|NR1H3,1.4049004983538575e-10,NR1H3
UP00018|Irf4,1.4395738724049732e-10,Irf4
UP00066|HNF4A,1.8062119611760734e-10,HNF4A
MC00140|Stat3,2.2036718876424017e-10,Stat3
MC00320|EGR1,2.836663616802394e-10,EGR1
M01037|GLI1,3.8318095768771757e-10,GLI1
MS00023|Elk3,3.842592180002988e-10,Elk3
MC00278|ETS1,7.328207786723638e-10,ETS1
MS00117|PAX1,8.295783481890624e-10,PAX1
MC00262|ARNT,8.811270376657982e-10,ARNT
MS00843|GLI2,1.126656761785348e-09,GLI2
UP00184|Lhx8,1.2051069486889213e-09,Lhx8
MC00170|PGR,1.2670935731791181e-09,PGR
M01241|GTF2IRD1,1.3159736806524565e-09,GTF2IRD1
MC00532|Mycn,1.8034473724911672e-09,Mycn
MS00778|EHF,1.8155135542552852e-09,EHF
MS00258|HEY1,2.3666903117527686e-09,HEY1
M01714|KLF15,3.297678796558742e-09,KLF15
MC00473|ATF3,3.3984540794159124e-09,ATF3
MS00217|TBX5,3.56447845026908e-09,TBX5
MS00188|MGA,4.345683487906898e-09,MGA
UP00000|SMAD3,4.961485065985746e-09,SMAD3
MS00194|TBX19,5.088638671030067e-09,TBX19
UP00085|Sfpi1,5.630372966458613e-09,Sfpi1
MS00423|ZNF524,6.491266087337182e-09,ZNF524
MC00187|Ctcf,6.492674467567856e-09,Ctcf
MS00146|KLF16,6.873719072020169e-09,KLF16
UP00031|Zbtb3,6.933775717692873e-09,Zbtb3
MS00260|HEY2,1.1275557266891671e-08,HEY2
MS00333|Mafb,1.2445050510638708e-08,Mafb
MS00331|MAFK,1.40318787798533e-08,MAFK
MS00285|TCF4,1.6852464961829334e-08,TCF4
MS00812|ELF3,1.9749484881184464e-08,ELF3
MS00308|CREB3,2.1011927635681537e-08,CREB3
MC00295|Esr1,2.7817137921966578e-08,Esr1
MS00327|MAFG,2.907415643464243e-08,MAFG
MA0163|PLAG1,2.9571645674887868e-08,PLAG1
MC00386|BCL6,3.323375367089308e-08,BCL6
M00491|PATZ1,3.705072140880444e-08,PATZ1
UP00027|Osr1,4.50875925297027e-08,Osr1
MS00024|GLIS1,4.6608545829951967e-08,GLIS1
